model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2027,Results_p1,all,MWh,319286.40125023935
GenX,BASN,BASN_biomass_1,Other,2027,Results_p1,all,MWh,70761.59999999971
GenX,BASN,BASN_biomass_2,Other,2027,Results_p1,all,MWh,179961.59999999808
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,8700961.98295644
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,6861025.285331586
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,11871463.982116267
GenX,BASN,BASN_geothermal_1,Geothermal,2027,Results_p1,all,MWh,4015294.448307885
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,156885.61001565197
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,15154819.449319076
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,21831.121732408
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,22639.78954448382
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,33396.45097483193
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,15894.2704487285
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,4113564.632086893
GenX,BASN,BASN_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,2135.991181071873
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,1512201.5999999796
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,19337107.05738749
GenX,CANO,CANO_batteries_1,Battery,2027,Results_p1,all,MWh,647146.6431514191
GenX,CANO,CANO_biomass_1,Other,2027,Results_p1,all,MWh,1364563.2000000104
GenX,CANO,CANO_biomass_2,Other,2027,Results_p1,all,MWh,624624.0
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,19962060.15236741
GenX,CANO,CANO_geothermal_1,Geothermal,2027,Results_p1,all,MWh,0.0
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,382545.9624094576
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,895169.7490972758
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,38933476.814374834
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,29536.23220095335
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,28579.85718097709
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,54955.31803993823
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,10303.823527258804
GenX,CANO,CANO_nuclear_1,Nuclear,2027,Results_p1,all,MWh,0.0
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,2768201.803397893
GenX,CANO,CANO_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,2981.52939484456
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,2007532.8000001155
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,14894912.080100484
GenX,CASO,CASO_batteries_1,Battery,2027,Results_p1,all,MWh,3257067.9838193143
GenX,CASO,CASO_biomass_1,Other,2027,Results_p1,all,MWh,1024732.79999999
GenX,CASO,CASO_biomass_2,Other,2027,Results_p1,all,MWh,207916.8000000025
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,2342218.3701458466
GenX,CASO,CASO_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,0.0
GenX,CASO,CASO_geothermal_1,Geothermal,2027,Results_p1,all,MWh,198897.08008591316
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,372587.0335465372
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,50896.27510184383
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,39309741.79063216
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,28225.174827031904
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,32370.033598367823
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,58466.59168951339
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,6150.380749351504
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,11538065.948943904
GenX,CASO,CASO_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,2128.606743449518
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,593174.3999999957
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,30855478.163880862
GenX,FRCC,FRCC_batteries_1,Battery,2027,Results_p1,all,MWh,113688.5688997697
GenX,FRCC,FRCC_biomass_1,Other,2027,Results_p1,all,MWh,734697.6000000077
GenX,FRCC,FRCC_biomass_2,Other,2027,Results_p1,all,MWh,996777.6000000144
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,106977.52925111998
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,2474784.271715645
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,19978.599975793342
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,185608464.25307223
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,456170.51472468994
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,35609.24214546936
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,17814.440465359403
GenX,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,63748.82199303484
GenX,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,23832.657329239984
GenX,FRCC,FRCC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,32621350.377856378
GenX,FRCC,FRCC_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,2649.7599753439613
GenX,FRCC,FRCC_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,18818064.52787709
GenX,ISNE,ISNE_batteries_1,Battery,2027,Results_p1,all,MWh,191378.3055870168
GenX,ISNE,ISNE_biomass_1,Other,2027,Results_p1,all,MWh,528528.0
GenX,ISNE,ISNE_biomass_2,Other,2027,Results_p1,all,MWh,1153152.0
GenX,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,3241516.3011070997
GenX,ISNE,ISNE_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,0.0
GenX,ISNE,ISNE_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,2854039.4147102837
GenX,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,333155.81497335766
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,1890752.220410445
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,55463943.65263563
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,124524.03836927042
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,32153.21975165411
GenX,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,63295.77366058032
GenX,ISNE,ISNE_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,36716.69666514386
GenX,ISNE,ISNE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,29286888.10793056
GenX,ISNE,ISNE_offshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,109144.07249942912
GenX,ISNE,ISNE_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,3025648.4656458194
GenX,ISNE,ISNE_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,15701.780632908847
GenX,ISNE,ISNE_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,2301062.4000000204
GenX,ISNE,ISNE_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,5265395.338820478
GenX,MISC,MISC_batteries_1,Battery,2027,Results_p1,all,MWh,40898.63312703508
GenX,MISC,MISC_biomass_1,Other,2027,Results_p1,all,MWh,364291.19999999617
GenX,MISC,MISC_biomass_2,Other,2027,Results_p1,all,MWh,362544.0
GenX,MISC,MISC_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,1414927.3146631345
GenX,MISC,MISC_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,500714.35740349465
GenX,MISC,MISC_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,41360633.71953831
GenX,MISC,MISC_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,377640.0277563247
GenX,MISC,MISC_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,1679750.0836948708
GenX,MISC,MISC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,20636123.76862572
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,125900.9807814491
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,28510.54552603715
GenX,MISC,MISC_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,21487.849180083627
GenX,MISC,MISC_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,89956.28099348805
GenX,MISC,MISC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,20434683.14059413
GenX,MISC,MISC_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,12548682.862494424
GenX,MISC,MISC_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,3921.2681214807294
GenX,MISC,MISC_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,135408.0
GenX,MISC,MISC_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,8028885.868290046
GenX,MISE,MISE_batteries_1,Battery,2027,Results_p1,all,MWh,2768.968090123092
GenX,MISE,MISE_biomass_1,Other,2027,Results_p1,all,MWh,619382.4000000108
GenX,MISE,MISE_biomass_2,Other,2027,Results_p1,all,MWh,507561.600000005
GenX,MISE,MISE_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,88011.7776397539
GenX,MISE,MISE_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,10647243.75646704
GenX,MISE,MISE_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,0.0
GenX,MISE,MISE_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,547463.1273288352
GenX,MISE,MISE_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,42353569.93402174
GenX,MISE,MISE_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,746606.45671244
GenX,MISE,MISE_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,31912.987310852448
GenX,MISE,MISE_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,88756.60559428543
GenX,MISE,MISE_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,107652.32567146156
GenX,MISE,MISE_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,17212.25012960458
GenX,MISE,MISE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,10117031.089757737
GenX,MISE,MISE_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,7573274.747041541
GenX,MISE,MISE_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,3435.2165042631195
GenX,MISE,MISE_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,105705.59999999874
GenX,MISE,MISE_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,2445020.323493962
GenX,MISS,MISS_batteries_1,Battery,2027,Results_p1,all,MWh,18733.689637131225
GenX,MISS,MISS_biomass_1,Other,2027,Results_p1,all,MWh,50668.79999999937
GenX,MISS,MISS_biomass_2,Other,2027,Results_p1,all,MWh,742560.0
GenX,MISS,MISS_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,1221945.1747459776
GenX,MISS,MISS_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,405674.5815048576
GenX,MISS,MISS_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,4453804.033880807
GenX,MISS,MISS_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,103916173.4470852
GenX,MISS,MISS_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,43205.94285250329
GenX,MISS,MISS_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,30774.36776407195
GenX,MISS,MISS_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,30329.8821349783
GenX,MISS,MISS_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,70708.69897952746
GenX,MISS,MISS_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,22183.323422147125
GenX,MISS,MISS_natural_gas_steam_turbine_2,Natural Gas,2027,Results_p1,all,MWh,39536.45340219508
GenX,MISS,MISS_nuclear_1,Nuclear,2027,Results_p1,all,MWh,45962200.82617135
GenX,MISS,MISS_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,358027.2276637054
GenX,MISS,MISS_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,2520.2946247804166
GenX,MISS,MISS_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,22713.59999999889
GenX,MISS,MISS_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,4642054.622068462
GenX,MISW,MISW_batteries_1,Battery,2027,Results_p1,all,MWh,42708.23150580941
GenX,MISW,MISW_biomass_1,Other,2027,Results_p1,all,MWh,689270.3999999942
GenX,MISW,MISW_biomass_2,Other,2027,Results_p1,all,MWh,184329.59999999808
GenX,MISW,MISW_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,261227.83520016036
GenX,MISW,MISW_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,27355255.384482253
GenX,MISW,MISW_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,8578.458319958403
GenX,MISW,MISW_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,1538620.5235336232
GenX,MISW,MISW_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,41626900.507606335
GenX,MISW,MISW_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,10887.316565907067
GenX,MISW,MISW_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,143286.6310092764
GenX,MISW,MISW_natural_gas_fired_combustion_turbine_3,Natural Gas,2027,Results_p1,all,MWh,35311.129235048495
GenX,MISW,MISW_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,441608.80703642464
GenX,MISW,MISW_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,73973.98822352834
GenX,MISW,MISW_nuclear_1,Nuclear,2027,Results_p1,all,MWh,22997449.959533
GenX,MISW,MISW_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,58196452.01420528
GenX,MISW,MISW_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,3260.6011830436164
GenX,MISW,MISW_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,4029916.80000004
GenX,MISW,MISW_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,6667289.889542951
GenX,NWPP,NWPP_batteries_1,Battery,2027,Results_p1,all,MWh,72929.52275115706
GenX,NWPP,NWPP_biomass_1,Other,2027,Results_p1,all,MWh,413212.80000000633
GenX,NWPP,NWPP_biomass_2,Other,2027,Results_p1,all,MWh,636854.399999997
GenX,NWPP,NWPP_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,147642481.62899905
GenX,NWPP,NWPP_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,6925688.590034345
GenX,NWPP,NWPP_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,58738.10888090513
GenX,NWPP,NWPP_geothermal_1,Geothermal,2027,Results_p1,all,MWh,180154.60388312707
GenX,NWPP,NWPP_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,94211.98596652402
GenX,NWPP,NWPP_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,886434.8787003211
GenX,NWPP,NWPP_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,9719962.602364032
GenX,NWPP,NWPP_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,21079.18939024472
GenX,NWPP,NWPP_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,14624.154781893008
GenX,NWPP,NWPP_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,49999.7188175552
GenX,NWPP,NWPP_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,9384.59259143396
GenX,NWPP,NWPP_nuclear_1,Nuclear,2027,Results_p1,all,MWh,10054648.655615125
GenX,NWPP,NWPP_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,19046822.031240992
GenX,NWPP,NWPP_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,2793.7641006725494
GenX,NWPP,NWPP_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,3807148.799999839
GenX,NWPP,NWPP_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,3440740.2049435
GenX,NYCW,NYCW_batteries_1,Battery,2027,Results_p1,all,MWh,41107.946098246255
GenX,NYCW,NYCW_biomass_1,Other,2027,Results_p1,all,MWh,92601.59999999873
GenX,NYCW,NYCW_biomass_2,Other,2027,Results_p1,all,MWh,362544.0
GenX,NYCW,NYCW_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,10258646.310773076
GenX,NYCW,NYCW_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,13047437.56731802
GenX,NYCW,NYCW_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,0.0
GenX,NYCW,NYCW_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,577914.4306034319
GenX,NYCW,NYCW_natural_gas_fired_combustion_turbine_3,Natural Gas,2027,Results_p1,all,MWh,1086114.3687563848
GenX,NYCW,NYCW_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,136337.5004892139
GenX,NYCW,NYCW_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,0.0
GenX,NYCW,NYCW_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,7564.332943390375
GenX,NYCW,NYCW_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,286733.58693502424
GenX,NYUP,NYUP_batteries_1,Battery,2027,Results_p1,all,MWh,128408.415214334
GenX,NYUP,NYUP_biomass_1,Other,2027,Results_p1,all,MWh,666556.7999999936
GenX,NYUP,NYUP_biomass_2,Other,2027,Results_p1,all,MWh,418454.39999999496
GenX,NYUP,NYUP_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,18346898.556385536
GenX,NYUP,NYUP_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,127722.87972472822
GenX,NYUP,NYUP_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,42035325.84761424
GenX,NYUP,NYUP_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,467714.6487913508
GenX,NYUP,NYUP_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,0.0
GenX,NYUP,NYUP_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,29701.749418994383
GenX,NYUP,NYUP_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,56909.991695953184
GenX,NYUP,NYUP_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,126034.22063726927
GenX,NYUP,NYUP_nuclear_1,Nuclear,2027,Results_p1,all,MWh,29305791.488411468
GenX,NYUP,NYUP_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,6049186.117598125
GenX,NYUP,NYUP_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,3149.3061107303847
GenX,NYUP,NYUP_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,3711926.4000000586
GenX,NYUP,NYUP_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,3322488.296049675
GenX,PJMC,PJMC_batteries_1,Battery,2027,Results_p1,all,MWh,87520.511184241
GenX,PJMC,PJMC_biomass_1,Other,2027,Results_p1,all,MWh,126672.0
GenX,PJMC,PJMC_biomass_2,Other,2027,Results_p1,all,MWh,138902.40000000125
GenX,PJMC,PJMC_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,28092.92994603545
GenX,PJMC,PJMC_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,1057714.9614945317
GenX,PJMC,PJMC_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,0.0
GenX,PJMC,PJMC_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,33007607.147371747
GenX,PJMC,PJMC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,24078.980189986785
GenX,PJMC,PJMC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,49219.45023233254
GenX,PJMC,PJMC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,236932.63433420856
GenX,PJMC,PJMC_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,136125.67237395857
GenX,PJMC,PJMC_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,5292.333847509744
GenX,PJMC,PJMC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,93473326.87991165
GenX,PJMC,PJMC_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,9030506.95269789
GenX,PJMC,PJMC_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,3824.532757587419
GenX,PJMC,PJMC_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,82118.4000000008
GenX,PJMC,PJMC_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,721471.5749493417
GenX,PJMD,PJMD_batteries_1,Battery,2027,Results_p1,all,MWh,45276.96242928077
GenX,PJMD,PJMD_biomass_1,Other,2027,Results_p1,all,MWh,352060.80000000336
GenX,PJMD,PJMD_biomass_2,Other,2027,Results_p1,all,MWh,493584.0
GenX,PJMD,PJMD_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,602009.7414223402
GenX,PJMD,PJMD_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,0.0
GenX,PJMD,PJMD_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,571921.4849871668
GenX,PJMD,PJMD_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,913029.373066676
GenX,PJMD,PJMD_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,36276194.64050008
GenX,PJMD,PJMD_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,736797.4611805608
GenX,PJMD,PJMD_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,23917.536666010943
GenX,PJMD,PJMD_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,32174.797621610556
GenX,PJMD,PJMD_natural_gas_fired_combustion_turbine_3,Natural Gas,2027,Results_p1,all,MWh,33380.73419499494
GenX,PJMD,PJMD_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,8933.28535112502
GenX,PJMD,PJMD_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,44337.65848501469
GenX,PJMD,PJMD_nuclear_1,Nuclear,2027,Results_p1,all,MWh,32366820.08158341
GenX,PJMD,PJMD_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,344466.8782542707
GenX,PJMD,PJMD_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,3032.321964253681
GenX,PJMD,PJMD_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,39312.0
GenX,PJMD,PJMD_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,10456263.107470416
GenX,PJME,PJME_batteries_1,Battery,2027,Results_p1,all,MWh,86365.62097779203
GenX,PJME,PJME_biomass_1,Other,2027,Results_p1,all,MWh,805459.2000000101
GenX,PJME,PJME_biomass_2,Other,2027,Results_p1,all,MWh,1369804.8000000434
GenX,PJME,PJME_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,3172537.185755528
GenX,PJME,PJME_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,12625075.43122589
GenX,PJME,PJME_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,30347.68284832323
GenX,PJME,PJME_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,1105157.291235993
GenX,PJME,PJME_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,1085601.4135871036
GenX,PJME,PJME_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,184219466.4841278
GenX,PJME,PJME_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,8979.141332381805
GenX,PJME,PJME_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,164507.9481012486
GenX,PJME,PJME_natural_gas_fired_combustion_turbine_3,Natural Gas,2027,Results_p1,all,MWh,137371.93659507736
GenX,PJME,PJME_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,323766.469994525
GenX,PJME,PJME_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,15904.101722048856
GenX,PJME,PJME_nuclear_1,Nuclear,2027,Results_p1,all,MWh,112046632.66426171
GenX,PJME,PJME_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,2498943.3610055987
GenX,PJME,PJME_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,2428.2480217985467
GenX,PJME,PJME_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,598416.0
GenX,PJME,PJME_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,4200352.3526447145
