Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,planning_year,model,percent_total,case,configuration,scenario,child_scenario
cStart,2025195911.6,1.5724617885519102e7,3.301464474541094e7,2.594248441878682e7,3.342256773899373e8,7.184145099342674e7,8.837462085523908e7,6.083561744759078e7,1.24413925654575e8,6.614187654125936e7,1.0411526642844902e7,2.5223273726143472e7,2.3382095076279316e7,2.99968023089791e7,2.981702757715801e7,1.800935566092352e8,2.94087088595578e8,4.937569977654362e6,1.0087531698572416e7,6.854919555106886e6,3.3993137203982055e7,1.1412216639488752e8,7.350818460687537e7,1.4832500068274853e8,3.121727152828606e7,1.662782915239351e8,2.2345551957760848e7,2030,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.0,20-week-foresight,foresight,base,none
cNetworkExp,11116875817.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.1,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,9552.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.0,20-week-foresight,foresight,base,none
cFix,176750184994.0,6.478683309349999e9,3.10978448622e9,3.566897280990001e9,9.35567024626e9,8.14477326474e9,9.702571178400002e9,4.48733928272e9,4.619989590339999e9,1.2378965622840004e10,6.949611108960001e9,1.0170942601e8,4.387055490070003e9,3.3591361269e9,3.71868130789e9,7.450332459219999e9,1.5651150922470001e10,6.738503243490003e9,3.3987789051699986e9,3.276536475930001e9,1.2275764122840002e10,8.741713342629997e9,8.870565813589998e9,7.404695938530002e9,5.261564516040001e9,1.436048782601e10,2.9592237063600006e9,2035,GenX,0.8,20-week-foresight,foresight,base,none
cVar,37763448709.0,2.5165830509980354e8,1.0088098199762108e9,1.1572847919098234e9,4.6468297039091215e9,1.0241615928942951e9,1.6533216870163982e9,1.0642741738079547e9,2.0283371003642523e9,1.020503764343637e9,2.6793012160738936e8,1.6800896394988996e8,4.5557876584808105e8,1.0008963889191997e9,6.395172185166e8,2.363561774588684e9,7.255235266197205e9,3.699803594106805e7,1.2172116130402668e8,7.012778580227388e7,2.091581216298583e8,3.2461214436780457e9,2.1629377204756255e9,2.7843904875232167e9,5.480496708316962e8,2.470222576576298e9,1.0781226630455084e8,2035,GenX,0.2,20-week-foresight,foresight,base,none
cNSE,441311993.1,15856.575760206815,15853.195856520795,15910.315466292117,15966.230388385447,4.177934257629454e8,15855.186776249895,15912.816755782007,15862.491555736446,15916.899654621553,15865.038512657782,2.313723288540299e7,15929.588299345203,15920.216288989202,15898.78414614514,15999.483897686809,15887.874366740512,15801.051724104225,15844.385174507195,15809.125555971235,15817.567391628487,15902.517410982662,15887.346231702453,15908.373145129079,16021.895050666937,15927.397338820929,15780.099625886296,2035,GenX,0.0,20-week-foresight,foresight,base,none
cStart,6490490713.0,7.65334826208622e7,1.5912626771422428e8,2.0008053539122668e8,8.665396776786729e8,2.1051354411841354e8,2.5982073177702308e8,1.8769936548971304e8,3.6224646030836457e8,2.1779120126605445e8,4.688383315593315e7,7.248677316371104e7,6.833535439512469e7,9.233028323655657e7,1.395854876133758e8,5.214254613186156e8,1.0466773673225762e9,1.32132352376052e7,1.947208606318995e7,1.1443564783260912e7,7.498865062861183e7,3.944729806329468e8,3.056626076548934e8,5.3017463625727284e8,9.932350450548065e7,4.7930762147457254e8,3.435599914668296e7,2035,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,GenX,0.0,20-week-foresight,foresight,base,none
cNetworkExp,13116486841.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,GenX,0.1,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,830733307.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,GenX,0.0,20-week-foresight,foresight,base,none
cFix,201940001568.5,7.614058479139999e9,4.08230334845e9,5.93816574882e9,1.0878688078609999e10,1.0124057101740002e10,1.093045855842e10,4.770463187330001e9,5.31548686086e9,1.417632035364e10,8.069247778309999e9,1.6376864258999997e8,4.70189133149e9,3.7622616476499996e9,4.17207153004e9,7.45519180554e9,1.960431049938e10,7.567684911640001e9,3.8526293578300004e9,3.2822168546099997e9,1.2655955608659998e10,9.60703995367e9,9.552315662070004e9,8.897956329310001e9,5.39789813179e9,1.6158259282279997e10,3.20930052466e9,2040,GenX,0.7,20-week-foresight,foresight,base,none
cVar,44215307540.2,2.6899782842760813e8,1.5403022509320583e9,2.0826929714782605e9,5.275906332047106e9,9.485947415430933e8,2.1126827097352111e9,1.287075705391321e9,2.147485303533965e9,1.6664179158707652e9,3.418436658309837e8,1.1858336734190501e8,3.992402385074361e8,9.494365318090575e8,5.488018257811561e8,1.9028847406058962e9,9.913919258026875e9,5.372328391335364e7,1.2456771731705566e8,7.449283741592464e7,1.7558615611801612e8,3.5444470277621365e9,2.2193567957237067e9,3.1486938209345574e9,6.057242782923461e8,2.675650390919655e9,8.819984490175717e7,2040,GenX,0.2,20-week-foresight,foresight,base,none
cNSE,707967365.7,2.3969438717332777e7,18722.589895609202,19614.023521817133,21684.027135933313,6.106073257194043e8,20076.55669424806,19152.89159831674,20261.957751197016,20423.85226856892,4.751201747760663e7,2.5442967854473248e7,19417.7197723413,20012.51151408864,20174.90392763245,20145.762266219874,20837.336515355288,18197.9952393311,19138.6904122358,17818.756862450446,19018.373125288424,20273.455446369764,20266.57375681233,20622.013880676015,21700.122153680248,21052.620675286304,17003.16705215001,2040,GenX,0.0,20-week-foresight,foresight,base,none
cStart,9089219094.3,1.2041946891177507e8,3.519205982995557e8,5.1051795118036264e8,1.0852027107856019e9,2.0548773253813654e8,3.905123877021901e8,2.444463618074431e8,4.957934153143204e8,3.8473712734614795e8,9.220901914491618e7,6.039443968904718e7,6.0934892015237555e7,9.585920967606215e7,1.4668040797646755e8,5.04768746835818e8,1.5901727763987753e9,2.680109019287168e7,2.4424847182911016e7,1.4986521155896194e7,8.633672200319363e7,5.529243257597487e8,4.210527393020241e8,7.770878448313048e8,1.6176379706135005e8,6.424502635609734e8,4.133369763941786e7,2040,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2040,GenX,0.0,20-week-foresight,foresight,base,none
cNetworkExp,14565140586.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2040,GenX,0.1,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,5208386643.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2040,GenX,0.0,20-week-foresight,foresight,base,none
cFix,225345006736.0,8.70172391723e9,5.1544502753e9,8.064789767379999e9,1.2137790129099998e10,1.1126980647430002e10,1.155149940958e10,5.112404335240001e9,5.762200473759999e9,1.5215183372280003e10,9.50339075731e9,2.8292614809999996e8,4.86375376426e9,3.818143918430001e9,4.943992116279999e9,7.971431166699999e9,2.251901215102e10,8.430408344430001e9,4.1375616149299984e9,3.2308375426799994e9,1.4253040970730001e10,1.0501506526540003e10,1.051198262557e10,1.032035156637e10,6.58322839166e9,1.724388311627e10,3.4025336874e9,2045,GenX,0.7,20-week-foresight,foresight,base,none
cVar,54156969294.4,3.036018695531269e8,2.27539322564266e9,3.1220894560917788e9,6.069693251569218e9,9.832835364721605e8,2.68109523198853e9,1.56633322717792e9,2.6663522254984694e9,2.171450902382569e9,7.841367662474195e8,1.2559652759261306e8,4.1673696360890687e8,9.877525788882844e8,5.416655956184914e8,1.8506729096779046e9,1.196699646965725e10,7.226556546912836e7,1.3750775493483785e8,8.696533102389617e7,1.754323611728758e8,4.280229890944492e9,2.7585812572978945e9,3.857881063105165e9,6.431471025890082e8,3.5469637743755093e9,8.51444558140175e7,2045,GenX,0.2,20-week-foresight,foresight,base,none
cNSE,1339138419.9,5.574327197633304e7,20299.002253033665,20552.648132925457,21749.077860855003,7.354066809751748e8,19951.861725190636,20333.847275100863,20106.974296844182,1.5144868641579913e7,4.9172426607609814e8,4.06886941761646e7,21492.789700737245,20883.861284282702,21059.77673707169,21423.854768234945,20494.551326834047,19719.184910108026,19695.460259946936,19394.81684679274,19631.137231847366,20324.509150888833,21521.001234535415,20434.353871707375,21726.295350419918,20742.84571142088,19100.177742035343,2045,GenX,0.0,20-week-foresight,foresight,base,none
cStart,10904740672.5,1.2520557190946381e8,4.699463119361601e8,6.488313736752832e8,1.2651126562829845e9,1.862238066310271e8,4.991493973021282e8,2.8781617720704705e8,6.113265316004682e8,5.116466330706535e8,1.6799439868222705e8,5.499403918521476e7,6.257179995152762e7,1.0512287065595168e8,1.4489859103327236e8,4.8791513835371464e8,1.8100959875039196e9,3.637763584667048e7,2.933696435123875e7,1.9879264517680787e7,9.166493444749947e7,6.908094531415524e8,5.648396749308374e8,9.953951293067706e8,1.5897706519112736e8,8.349111657095404e8,4.369810011219484e7,2045,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2045,GenX,0.0,20-week-foresight,foresight,base,none
cNetworkExp,15338043721.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2045,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,16475898634.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2045,GenX,0.1,20-week-foresight,foresight,base,none
cFix,242529923521.8,9.72858806218e9,6.278346880790001e9,9.158976867179998e9,1.3255921214589993e10,1.1481461244020006e10,1.175345378497e10,5.2323781067e9,5.45669586262e9,1.622507729768e10,1.060394353116e10,3.9488050494000006e8,4.93076247106e9,3.8472453649900002e9,6.079192313340002e9,8.35566319979e9,2.363311028135e10,9.899126518800001e9,4.293002525649999e9,3.5015860246700006e9,1.51151754887e10,1.1496322988779997e10,1.1148584140799997e10,1.0851437935419998e10,8.2720897424800005e9,1.7972637809720005e10,3.5642633594199996e9,2050,GenX,0.7,20-week-foresight,foresight,base,none
cVar,56111736500.1,2.7446834973547256e8,2.246560085398911e9,3.1866115970429735e9,6.235602903345554e9,9.807022528961718e8,2.957740802990084e9,1.624355008219737e9,2.692809350196883e9,2.324380162076167e9,1.2228813622075496e9,1.1625274880616644e8,3.227688745326225e8,9.762857170702819e8,4.7586486651868176e8,1.7661085616621494e9,1.2276764386368021e10,5.2236423222498626e7,1.3132481661745647e8,8.220258444745909e7,1.5862499050457424e8,4.404125857182774e9,2.9676480978488364e9,4.1585162586348634e9,5.309750035689777e8,3.861140889899199e9,8.478454914223376e7,2050,GenX,0.2,20-week-foresight,foresight,base,none
cNSE,1998206394.8,7.34554554897195e7,45682.07503089823,45896.63380542205,45612.9555252893,8.286389543340133e8,46208.80084571355,1.806056356015417e7,45724.38719572943,1.778383468206344e8,7.485898175751897e8,3.576811506301391e7,783658.7793614333,45719.7970502654,45845.93837974439,46137.63450055399,45621.24994499954,2.408857164530401e7,45743.66345751976,45485.5208203577,46082.460604094806,45682.57066873461,46039.46177870277,45494.14117190907,45757.21608916487,9.020417927251099e7,45997.708837778344,2050,GenX,0.0,20-week-foresight,foresight,base,none
cStart,10942904093.2,1.0234429645603384e8,4.234921457890338e8,5.453415467314748e8,1.2933685830208943e9,1.7825105109277165e8,5.3647810713287854e8,2.96231921261953e8,6.18102090099154e8,5.038888182015405e8,2.082200392021624e8,4.6000218575535096e7,6.006614300814912e7,1.0070871412078938e8,9.704749534593081e7,4.216073342416465e8,1.842779652432855e9,2.535285153207313e7,2.3938760391713172e7,1.6016433943964276e7,8.121728014972481e7,7.276946125115733e8,6.477621532377911e8,1.088673924189708e9,1.0138866096903566e8,9.130476524205832e8,4.3883607114355065e7,2050,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,GenX,0.0,20-week-foresight,foresight,base,none
cNetworkExp,15874811203.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,23699705526.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,GenX,0.1,20-week-foresight,foresight,base,none
cFix,3661156106096.7,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.7,20-week-foresight,foresight,base,none
cNSE,16030251146.7,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,20-week-foresight,foresight,base,none
cNetworkExp,252779393281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,20-week-foresight,foresight,base,none
cStart,140375142541.4,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,153493944072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,20-week-foresight,foresight,base,none
cVar,985826145251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.2,20-week-foresight,foresight,base,none
cFix,64797680136.7,2.467642664569999e9,9.434197383400002e8,9.388044678299999e8,1.7756291967600002e9,1.5357769692299998e9,4.46115764664e9,1.3523607059899998e9,2.850373562329999e9,3.4935716005600004e9,2.44886277921e9,1.0550118541999999e8,1.3994066781699998e9,2.5241818412e9,1.2711072064700003e9,4.1531083839099994e9,4.360247392160001e9,2.65686778342e9,1.64948886195e9,1.7801264880299997e9,2.6275496776699996e9,4.516784592340001e9,3.7243227499899993e9,3.12398080277e9,1.79583380196e9,5.681887405670001e9,1.15968595409e9,2027,Switch,0.5,20-week-foresight,foresight,base,none
cVar,60880621448.8,1.242600831035064e9,1.7442534294467452e9,1.7564838880083609e9,6.276531764379469e9,2.3130209691870236e9,1.754988738926506e9,1.8292741744088998e9,3.9196423192774167e9,2.120837497400957e9,1.0139779623776408e9,7.591299592751596e8,1.1246490099465399e9,1.8007694475329587e9,1.771953024927202e9,5.623438291603048e9,5.292074400966061e9,3.603959226658185e8,5.433492754785506e8,2.695965435454407e8,1.0677738878677104e9,3.3309065290590496e9,3.061296621647572e9,4.737480529144848e9,2.238420045164132e9,4.452970893468445e9,4.7480549198977745e8,2027,Switch,0.5,20-week-foresight,foresight,base,none
cNSE,151351337.4,27150.35717413354,27136.142186500947,27130.972916765462,27539.62978032127,1.0289372634671023e8,27140.579759884826,27232.870152766096,27454.766041688104,27331.572824278188,27107.122828040814,4.780442875938356e7,27132.91643677683,27193.565630714642,27191.29075184869,27333.749823113165,27134.801096645308,27137.495600133643,27180.577509577663,27100.552010530555,27200.657086860214,27122.500522441176,27205.520392277347,27238.448619505427,27288.980600770647,27313.300216123112,27183.895018433202,2027,Switch,0.0,20-week-foresight,foresight,base,none
cStart,592580239.3,4.1139315327736135e6,1.71701563591604e6,2.4947241016078154e6,6.012924426568381e6,7.318692368941964e6,4.076580569475456e7,1.0243299734706368e7,1.816137914435647e7,9.381986440807118e7,1.1682875447508628e6,4.323848216349565e6,918809.1873008296,1.4281861878028994e7,2.913589184341477e6,2.6421554453450516e7,3.6750281401270255e7,9.797625451353466e6,2.4145798440540526e7,1.5103848664539509e7,3.30451631135495e7,1.9575422717707586e7,6.5086508759e6,8.16653935333837e6,4.243813457602693e6,1.8361320347397846e8,1.6954304815962095e7,2027,Switch,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,Switch,0.0,20-week-foresight,foresight,base,none
cNetworkExp,712699222.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,Switch,0.0,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,368680.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,Switch,0.0,20-week-foresight,foresight,base,none
cFix,127463237001.2,4.053267838100001e9,2.26819153955e9,2.7161804937500005e9,7.04297842731e9,4.987301727760001e9,7.365131970830001e9,3.5283723596699996e9,3.8790944500400004e9,7.42932608596e9,4.0811756830800004e9,9.278432507999998e7,2.7328811993400006e9,2.6197406168599997e9,3.2055382984400005e9,6.722017415219999e9,1.1458797376260002e10,5.496912810140001e9,2.73973371165e9,2.3096720169399996e9,6.916651665890001e9,7.110070909269999e9,6.91871584213e9,6.673680895379998e9,3.21215794346e9,1.0000820132380001e10,1.90204126668e9,2030,Switch,0.7,20-week-foresight,foresight,base,none
cVar,45419003768.4,2.8495243030883974e8,1.4402662910696146e9,1.2754228255144808e9,5.589126203102217e9,1.010275152158374e9,2.317431286780376e9,1.5152237936674247e9,2.0463805243061767e9,1.7798685300837283e9,2.278509550977063e8,2.8679477457202154e8,5.639064770027308e8,1.1892533259660997e9,5.553698850089861e8,3.2157118170183277e9,8.403980280638898e9,3.592283706950569e7,1.510386366110965e8,8.02167158260442e7,3.499622832034586e8,3.2469943814851294e9,2.1508800006038237e9,4.2545454037677774e9,6.48612728032915e8,2.5654143261486826e9,2.3360190330374315e8,2030,Switch,0.3,20-week-foresight,foresight,base,none
cNSE,112315285.3,236055.82341886096,228510.14204174536,229958.02097480342,237591.40864579313,1.0650251321240649e8,232181.21561508282,229330.53976617393,233511.079539788,232175.15182758737,231093.20326486632,231546.17781344385,230717.84810717517,231969.78779742695,234184.98894049917,243165.76151610675,236618.58295560634,226730.91816211466,230198.53952671704,225319.20026534362,230402.44975540024,234832.48891928155,234964.03486834167,234900.05503874124,230724.48160781123,241836.7825500474,224253.41549157028,2030,Switch,0.0,20-week-foresight,foresight,base,none
cStart,1854335237.0,1.868255023778478e7,4.358694177492216e7,5.214444154510296e7,2.208313165579644e8,7.398509305096616e7,1.056463719821955e8,3.9310561444168754e7,1.2901855805613156e8,1.30296012779797e8,1.2936722285813354e7,2.249721364073681e7,2.016514868930749e7,2.2525378023444656e7,2.3223313167444605e7,1.4394296875559115e8,1.569525191303369e8,5.197409348167035e6,9.248327837090671e6,5.659751502516327e6,3.4190864916140065e7,7.067347352159452e7,7.38260279270656e7,1.3563748796989542e8,2.7044733359516036e7,2.5066944437883586e8,2.644260507012572e7,2030,Switch,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,Switch,0.0,20-week-foresight,foresight,base,none
cNetworkExp,6328719303.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,Switch,0.0,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,10968431.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,Switch,0.0,20-week-foresight,foresight,base,none
cFix,167138959818.6,5.991092050290002e9,3.3169413417999997e9,4.372776400829998e9,8.735408648679996e9,6.886283035939998e9,1.0117139314619997e10,4.41678610767e9,5.235643356490001e9,1.001622746562e10,5.720188340500002e9,9.277785694e7,3.83771531555e9,3.3049004070599995e9,3.489913338870001e9,7.483847702e9,1.6664793168330002e10,6.011607572889998e9,3.3238402941299996e9,3.01665286175e9,8.238374886740001e9,8.460702303230002e9,8.343702294140001e9,8.93380041499e9,4.705612113200001e9,1.4376823269820004e10,2.04540995654e9,2035,Switch,0.7,20-week-foresight,foresight,base,none
cVar,51130380077.5,2.7919210756475776e8,1.5353784517763212e9,2.1348045603188758e9,5.810784563976459e9,1.2454829103825383e9,2.559254122707385e9,1.3846435079840736e9,2.41160733497088e9,2.2032282529661345e9,3.637050368579088e8,1.478655525333524e8,4.6517777908250266e8,1.0712133927570046e9,6.449634835437567e8,2.425479077067609e9,1.020728668360033e10,4.172887521235004e7,1.3861444289092278e8,7.723545275898771e7,2.2198192344941056e8,3.691263289419745e9,2.6420264453449717e9,4.728927339003509e9,6.287202946377493e8,3.9536509814908004e9,1.161642151235609e8,2035,Switch,0.2,20-week-foresight,foresight,base,none
cNSE,435790480.6,21693.732768358506,21692.124149091618,21784.169865580057,22408.197384391773,4.1729317236019707e8,21802.9878848158,21992.424822557485,21973.73242675047,22261.61566144221,22030.855833696998,1.796974287455339e7,21844.952231658903,22301.490840279886,21806.014742802727,22244.566790567576,22091.45786383795,21455.461508717817,21859.38347341331,21394.81146728188,21592.18087917235,22037.3402240873,22058.107525553292,22219.69674944535,22733.10275577696,22388.836723556782,21898.16504356486,2035,Switch,0.0,20-week-foresight,foresight,base,none
cStart,6719548474.7,8.143118157018207e7,1.9819979871789452e8,2.9810834511919856e8,7.437973873063722e8,2.1277748875058708e8,3.2608109193943053e8,1.7022226909965885e8,3.849532484654403e8,3.643759206725878e8,6.1844679017127834e7,5.794688064356293e7,5.195079193667182e7,8.723011933775283e7,1.3161738087918878e8,5.297069696751315e8,9.069117382753425e8,1.6040939111386552e7,2.09401694289518e7,1.0684462626831487e7,7.693351648046009e7,3.4642758616363543e8,3.061633143305008e8,6.018328974718357e8,1.0267793478892817e8,5.950835102120839e8,3.5608852720489204e7,2035,Switch,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,Switch,0.0,20-week-foresight,foresight,base,none
cNetworkExp,7811646913.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,Switch,0.0,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,1940544239.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,Switch,0.0,20-week-foresight,foresight,base,none
