Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
NY_Z_F_landbasedwind_class1_moderate_3,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_F_landbasedwind_class1_moderate_4,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_F_landbasedwind_class1_moderate_5,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_F_landbasedwind_class1_moderate_6,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_F_utilitypv_class1_moderate_1,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_F_utilitypv_class1_moderate_2,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_F_utilitypv_class1_moderate_3,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_F_utilitypv_class1_moderate_4,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_F_utilitypv_class1_moderate_5,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_F_utilitypv_class1_moderate_6,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_naturalgas_ccavgcf_moderate_0,0.037,15.0,15.0,0.0,0.0,0.0
NY_Z_G-I_naturalgas_ctavgcf_moderate_0,0.037,15.0,15.0,0.0,0.0,0.0
NY_Z_G-I_battery_moderate_0,0.024,15.0,15.0,0.0,0.0,0.0
NY_Z_G-I_nuclear_nuclear_moderate_0,0.033,40.0,40.0,0.0,0.0,0.0
NY_Z_G-I_naturalgas_ccs100_moderate_0,0.037,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_landbasedwind_class1_moderate_1,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_landbasedwind_class1_moderate_2,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_landbasedwind_class1_moderate_3,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_landbasedwind_class1_moderate_4,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_landbasedwind_class1_moderate_5,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_landbasedwind_class1_moderate_6,0.031,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_utilitypv_class1_moderate_1,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_utilitypv_class1_moderate_2,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_utilitypv_class1_moderate_3,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_utilitypv_class1_moderate_4,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_utilitypv_class1_moderate_5,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_G-I_utilitypv_class1_moderate_6,0.024,20.0,20.0,0.0,0.0,0.0
NY_Z_J_naturalgas_ccavgcf_moderate_0,0.037,15.0,15.0,0.0,0.0,0.0
NY_Z_J_naturalgas_ctavgcf_moderate_0,0.037,15.0,15.0,0.0,0.0,0.0
NY_Z_J_battery_moderate_0,0.024,15.0,15.0,0.0,0.0,0.0
NY_Z_J_nuclear_nuclear_moderate_0,0.033,40.0,40.0,0.0,0.0,0.0
NY_Z_J_naturalgas_ccs100_moderate_0,0.037,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_1_0,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_1_1,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_1_2,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_1_3,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_1_4,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_1_5,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_0_0,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_0_1,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_0_2,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_0_3,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_0_4,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class3_moderate_fixed_0_5,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_0_0,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_0_1,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_0_2,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_0_3,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_0_4,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_0_5,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_1_0,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_1_1,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_1_2,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_1_3,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_1_4,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_J_offshorewind_class12_moderate_floating_1_5,0.042,20.0,20.0,0.0,0.0,0.0
NY_Z_K_naturalgas_ccavgcf_moderate_0,0.037,15.0,15.0,0.0,0.0,0.0
NY_Z_K_naturalgas_ctavgcf_moderate_0,0.037,15.0,15.0,0.0,0.0,0.0
NY_Z_K_battery_moderate_0,0.024,15.0,15.0,0.0,0.0,0.0
NY_Z_K_nuclear_nuclear_moderate_0,0.033,40.0,40.0,0.0,0.0,0.0
NY_Z_K_naturalgas_ccs100_moderate_0,0.037,20.0,20.0,0.0,0.0,0.0
NY_Z_K_utilitypv_class1_moderate_1,0.024,20.0,20.0,0.0,0.0,0.0
