model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
TEMOA,FRCC,FRCC_batteries_1,Battery,2027,base_short_no_ccs,MW,555.204,549.732
TEMOA,SPPS,SPPS_batteries_1,Battery,2027,base_short_no_ccs,MW,222,219.945
TEMOA,PJMW,PJMW_batteries_1,Battery,2027,base_short_no_ccs,MW,76.3,76.3
TEMOA,MISW,MISW_batteries_1,Battery,2027,base_short_no_ccs,MW,31.2,31.2
TEMOA,SRSG,SRSG_batteries_1,Battery,2027,base_short_no_ccs,MW,2075.01,2054.26
TEMOA,NYCW,NYCW_batteries_1,Battery,2027,base_short_no_ccs,MW,24.2,24.2
TEMOA,ISNE,ISNE_batteries_1,Battery,2027,base_short_no_ccs,MW,368.345,368.096
TEMOA,SRCE,SRCE_batteries_1,Battery,2027,base_short_no_ccs,MW,122.3,121.095
TEMOA,NWPP,NWPP_batteries_1,Battery,2027,base_short_no_ccs,MW,140.998,139.609
TEMOA,MISS,MISS_batteries_1,Battery,2027,base_short_no_ccs,MW,10.5,10.5
TEMOA,TRE,TRE_batteries_1,Battery,2027,base_short_no_ccs,MW,2829.5,2826.26
TEMOA,TREW,TREW_batteries_1,Battery,2027,base_short_no_ccs,MW,1876.4,1875.07
TEMOA,MISC,MISC_batteries_1,Battery,2027,base_short_no_ccs,MW,36.3,36.3
TEMOA,BASN,BASN_batteries_1,Battery,2027,base_short_no_ccs,MW,935.808,926.466
TEMOA,NYUP,NYUP_batteries_1,Battery,2027,base_short_no_ccs,MW,169.984,168.378
TEMOA,PJME,PJME_batteries_1,Battery,2027,base_short_no_ccs,MW,107.003,106.015
TEMOA,SRSE,SRSE_batteries_1,Battery,2027,base_short_no_ccs,MW,151.698,150.254
TEMOA,CANO,CANO_batteries_1,Battery,2027,base_short_no_ccs,MW,2650.61,2624.28
TEMOA,PJMC,PJMC_batteries_1,Battery,2027,base_short_no_ccs,MW,95.8,95.8
TEMOA,PJMD,PJMD_batteries_1,Battery,2027,base_short_no_ccs,MW,40.5,40.5
TEMOA,SRCA,SRCA_batteries_1,Battery,2027,base_short_no_ccs,MW,160.804,159.199
TEMOA,CASO,CASO_batteries_1,Battery,2027,base_short_no_ccs,MW,8927.82,8838.55
TEMOA,RMRG,RMRG_batteries_1,Battery,2027,base_short_no_ccs,MW,240.198,237.85
TEMOA,TRE,TRE_batteries_1,Battery,2030,base_short_no_ccs,MW,2826.26,2826.17
TEMOA,MISS,MISS_batteries_1,Battery,2030,base_short_no_ccs,MW,10.5,10.5
TEMOA,SRSG,SRSG_batteries_1,Battery,2030,base_short_no_ccs,MW,2054.26,2054.26
TEMOA,PJMD,PJMD_batteries_1,Battery,2030,base_short_no_ccs,MW,40.5,40.5
TEMOA,SRSE,SRSE_batteries_1,Battery,2030,base_short_no_ccs,MW,150.254,150.192
TEMOA,CANO,CANO_batteries_1,Battery,2030,base_short_no_ccs,MW,2624.28,2624.25
TEMOA,ISNE,ISNE_batteries_1,Battery,2030,base_short_no_ccs,MW,368.096,366.329
TEMOA,MISW,MISW_batteries_1,Battery,2030,base_short_no_ccs,MW,31.2,31.2
TEMOA,NYCW,NYCW_batteries_1,Battery,2030,base_short_no_ccs,MW,24.2,24.2
TEMOA,SRCE,SRCE_batteries_1,Battery,2030,base_short_no_ccs,MW,121.095,121.08
TEMOA,CASO,CASO_batteries_1,Battery,2030,base_short_no_ccs,MW,8838.55,8838.53
TEMOA,PJMW,PJMW_batteries_1,Battery,2030,base_short_no_ccs,MW,76.3,76.3
TEMOA,BASN,BASN_batteries_1,Battery,2030,base_short_no_ccs,MW,926.466,926.452
TEMOA,NWPP,NWPP_batteries_1,Battery,2030,base_short_no_ccs,MW,139.609,134.922
TEMOA,TREW,TREW_batteries_1,Battery,2030,base_short_no_ccs,MW,1875.07,1875.01
TEMOA,RMRG,RMRG_batteries_1,Battery,2030,base_short_no_ccs,MW,237.85,237.806
TEMOA,PJMC,PJMC_batteries_1,Battery,2030,base_short_no_ccs,MW,95.8,95.8
TEMOA,MISC,MISC_batteries_1,Battery,2030,base_short_no_ccs,MW,36.3,36.3
TEMOA,SRCA,SRCA_batteries_1,Battery,2030,base_short_no_ccs,MW,159.199,159.197
TEMOA,FRCC,FRCC_batteries_1,Battery,2030,base_short_no_ccs,MW,549.732,549.68
TEMOA,SPPS,SPPS_batteries_1,Battery,2030,base_short_no_ccs,MW,219.945,219.876
TEMOA,NYUP,NYUP_batteries_1,Battery,2030,base_short_no_ccs,MW,168.378,168.296
TEMOA,ISNE,ISNE_batteries_1,Battery,2035,base_short_no_ccs,MW,366.329,244.519
TEMOA,FRCC,FRCC_battery_moderate_0_4hour,Battery,2035,base_short_no_ccs,MW,0,1299.07
TEMOA,MISC,MISC_batteries_1,Battery,2035,base_short_no_ccs,MW,36.3,36.3
TEMOA,NYUP,NYUP_batteries_1,Battery,2035,base_short_no_ccs,MW,168.296,112.778
TEMOA,PJMD,PJMD_battery_moderate_0_4hour,Battery,2035,base_short_no_ccs,MW,0,871.47
TEMOA,NYCW,NYCW_battery_moderate_0_2hour,Battery,2035,base_short_no_ccs,MW,0,16.2464
TEMOA,TREW,TREW_batteries_1,Battery,2035,base_short_no_ccs,MW,1875.01,1784.94
TEMOA,NYCW,NYCW_batteries_1,Battery,2035,base_short_no_ccs,MW,24.2,24.2
TEMOA,MISW,MISW_battery_moderate_0_4hour,Battery,2035,base_short_no_ccs,MW,0,444.04
TEMOA,BASN,BASN_batteries_1,Battery,2035,base_short_no_ccs,MW,926.452,926.395
TEMOA,SRSE,SRSE_batteries_1,Battery,2035,base_short_no_ccs,MW,150.192,150.09
TEMOA,ISNE,ISNE_battery_moderate_0_4hour,Battery,2035,base_short_no_ccs,MW,0,2861.78
TEMOA,TRE,TRE_batteries_1,Battery,2035,base_short_no_ccs,MW,2826.17,2738.73
TEMOA,SPPS,SPPS_batteries_1,Battery,2035,base_short_no_ccs,MW,219.876,199.908
TEMOA,PJMC,PJMC_batteries_1,Battery,2035,base_short_no_ccs,MW,95.8,95.8
TEMOA,CANO,CANO_batteries_1,Battery,2035,base_short_no_ccs,MW,2624.25,2623.95
TEMOA,ISNE,ISNE_battery_moderate_0_2hour,Battery,2035,base_short_no_ccs,MW,0,115.252
TEMOA,MISE,MISE_battery_moderate_0_4hour,Battery,2035,base_short_no_ccs,MW,0,43.2264
TEMOA,SRCE,SRCE_batteries_1,Battery,2035,base_short_no_ccs,MW,121.08,121.014
TEMOA,PJMW,PJMW_batteries_1,Battery,2035,base_short_no_ccs,MW,76.3,76.3
TEMOA,NWPP,NWPP_batteries_1,Battery,2035,base_short_no_ccs,MW,134.922,130.935
TEMOA,NYCW,NYCW_battery_moderate_0_4hour,Battery,2035,base_short_no_ccs,MW,0,24.6683
TEMOA,PJMW,PJMW_battery_moderate_0_4hour,Battery,2035,base_short_no_ccs,MW,0,1577.16
TEMOA,PJMD,PJMD_batteries_1,Battery,2035,base_short_no_ccs,MW,40.5,40.5
TEMOA,MISW,MISW_battery_moderate_0_2hour,Battery,2035,base_short_no_ccs,MW,0,11.175
TEMOA,SRCA,SRCA_battery_moderate_0_4hour,Battery,2035,base_short_no_ccs,MW,0,1177.24
TEMOA,SRSG,SRSG_batteries_1,Battery,2035,base_short_no_ccs,MW,2054.26,2002.95
TEMOA,FRCC,FRCC_batteries_1,Battery,2035,base_short_no_ccs,MW,549.68,513.517
TEMOA,MISW,MISW_batteries_1,Battery,2035,base_short_no_ccs,MW,31.2,31.2
TEMOA,CASO,CASO_batteries_1,Battery,2035,base_short_no_ccs,MW,8838.53,8439.46
TEMOA,SRCA,SRCA_batteries_1,Battery,2035,base_short_no_ccs,MW,159.197,146.427
TEMOA,MISS,MISS_batteries_1,Battery,2035,base_short_no_ccs,MW,10.5,10.5
TEMOA,RMRG,RMRG_batteries_1,Battery,2035,base_short_no_ccs,MW,237.806,230.873
TEMOA,FRCC,FRCC_battery_moderate_0_6hour,Battery,2035,base_short_no_ccs,MW,0,23.9828
TEMOA,PJMW,PJMW_battery_moderate_0_10hour,Battery,2040,base_short_no_ccs,MW,0,10.2938
TEMOA,MISC,MISC_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,60.7963
TEMOA,BASN,BASN_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,91.9211
TEMOA,NYUP,NYUP_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,55.8579
TEMOA,NYUP,NYUP_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,24.5801
TEMOA,PJMD,PJMD_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,483.033
TEMOA,CASO,CASO_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,4473.4
TEMOA,PJMD,PJMD_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,871.47,4490.83
TEMOA,BASN,BASN_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,180.102
TEMOA,PJMD,PJMD_batteries_1,Battery,2040,base_short_no_ccs,MW,40.5,40.5
TEMOA,MISC,MISC_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,29.3205
TEMOA,MISE,MISE_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,24.8405
TEMOA,SRSE,SRSE_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,186.541
TEMOA,RMRG,RMRG_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,35.0183
TEMOA,NWPP,NWPP_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,1789.36
TEMOA,MISE,MISE_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,221.998
TEMOA,NWPP,NWPP_battery_moderate_0_10hour,Battery,2040,base_short_no_ccs,MW,0,12.2136
TEMOA,NYCW,NYCW_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,24.6683,918.955
TEMOA,CASO,CASO_battery_moderate_0_10hour,Battery,2040,base_short_no_ccs,MW,0,10.9572
TEMOA,CANO,CANO_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,1985.97
TEMOA,MISC,MISC_batteries_1,Battery,2040,base_short_no_ccs,MW,36.3,36.3
TEMOA,FRCC,FRCC_battery_moderate_0_10hour,Battery,2040,base_short_no_ccs,MW,0,10.6802
TEMOA,SRSE,SRSE_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,2806.06
TEMOA,MISE,MISE_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,72.3928
TEMOA,PJME,PJME_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,126.945
TEMOA,FRCC,FRCC_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,1299.07,4696.18
TEMOA,PJMW,PJMW_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,80.3819
TEMOA,RMRG,RMRG_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,39.0046
TEMOA,TREW,TREW_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,33.121
TEMOA,SRCA,SRCA_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,67.8663
TEMOA,PJMW,PJMW_batteries_1,Battery,2040,base_short_no_ccs,MW,76.3,76.3
TEMOA,MISS,MISS_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,113.158
TEMOA,MISE,MISE_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,43.2264,1491.91
TEMOA,SRSG,SRSG_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,65.8091
TEMOA,BASN,BASN_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,25.3138
TEMOA,PJMW,PJMW_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,458.759
TEMOA,ISNE,ISNE_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,12.1762
TEMOA,PJMC,PJMC_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,55.8242
TEMOA,SPPN,SPPN_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,42.1318
TEMOA,SPPC,SPPC_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,20.2625
TEMOA,PJMD,PJMD_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,58.7912
TEMOA,SRCA,SRCA_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,520.428
TEMOA,NYUP,NYUP_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,11.0358
TEMOA,SRCA,SRCA_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,1177.24,5061.45
TEMOA,TRE,TRE_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,85.4524
TEMOA,FRCC,FRCC_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,23.9828,1700.86
TEMOA,NWPP,NWPP_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,54.2536
TEMOA,SRSE,SRSE_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,27.7509
TEMOA,MISW,MISW_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,147.563
TEMOA,MISC,MISC_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,40.4852
TEMOA,NWPP,NWPP_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,551.489
TEMOA,SPPS,SPPS_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,29.2326
TEMOA,SRSG,SRSG_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,21.1597
TEMOA,MISS,MISS_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,14.9484
TEMOA,SPPS,SPPS_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,31.6847
TEMOA,PJME,PJME_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,64.8583
TEMOA,FRCC,FRCC_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,64.9955
TEMOA,SPPC,SPPC_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,39.3561
TEMOA,MISC,MISC_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,12.9872
TEMOA,BASN,BASN_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,51.2522
TEMOA,PJMW,PJMW_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,31.5329
TEMOA,CANO,CANO_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,1517.32
TEMOA,MISW,MISW_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,444.04,4905.12
TEMOA,TRE,TRE_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,25.5893
TEMOA,PJMD,PJMD_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,24.7552
TEMOA,SPPC,SPPC_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,40.2199
TEMOA,SPPN,SPPN_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,40.6632
TEMOA,MISW,MISW_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,26.3118
TEMOA,PJMC,PJMC_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,73.4263
TEMOA,CASO,CASO_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,55.2727
TEMOA,ISNE,ISNE_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,115.252,667.224
TEMOA,TRE,TRE_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,79.8624
TEMOA,BASN,BASN_battery_moderate_0_10hour,Battery,2040,base_short_no_ccs,MW,0,10.4601
TEMOA,TREW,TREW_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,40.4383
TEMOA,MISS,MISS_batteries_1,Battery,2040,base_short_no_ccs,MW,10.5,10.5
TEMOA,MISW,MISW_batteries_1,Battery,2040,base_short_no_ccs,MW,31.2,31.2
TEMOA,ISNE,ISNE_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,36.5017
TEMOA,SRSE,SRSE_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,70.8463
TEMOA,CANO,CANO_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,59.0396
TEMOA,MISW,MISW_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,11.175,139.244
TEMOA,PJMC,PJMC_batteries_1,Battery,2040,base_short_no_ccs,MW,95.8,95.8
TEMOA,FRCC,FRCC_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,36.6886
TEMOA,NYCW,NYCW_batteries_1,Battery,2040,base_short_no_ccs,MW,24.2,24.2
TEMOA,PJMW,PJMW_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,1577.16,7623.41
TEMOA,SPPN,SPPN_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,19.9807
TEMOA,SRCE,SRCE_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,866.549
TEMOA,NYUP,NYUP_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,74.7306
TEMOA,RMRG,RMRG_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,10.094
TEMOA,SPPN,SPPN_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,10.3762
TEMOA,NYCW,NYCW_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,11.0376
TEMOA,CANO,CANO_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,50.4701
TEMOA,NYCW,NYCW_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,16.2464,133.06
TEMOA,MISW,MISW_battery_moderate_0_10hour,Battery,2040,base_short_no_ccs,MW,0,11.1033
TEMOA,SRCE,SRCE_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,23.095
TEMOA,PJME,PJME_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,12.6285
TEMOA,SPPC,SPPC_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,10.36
TEMOA,NYCW,NYCW_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,36.2168
TEMOA,SRSG,SRSG_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,79.1804
TEMOA,ISNE,ISNE_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,2861.78,8028.39
TEMOA,PJMC,PJMC_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,17.9068
TEMOA,CANO,CANO_battery_moderate_0_10hour,Battery,2040,base_short_no_ccs,MW,0,12.6712
TEMOA,RMRG,RMRG_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,18.2764
TEMOA,TRE,TRE_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,11.9793
TEMOA,NWPP,NWPP_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,36.2363
TEMOA,PJME,PJME_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,39.4251
TEMOA,SPPS,SPPS_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,16.3494
TEMOA,SRCE,SRCE_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,74.8243
TEMOA,MISS,MISS_battery_moderate_0_2hour,Battery,2040,base_short_no_ccs,MW,0,50.7929
TEMOA,TREW,TREW_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,15.8227
TEMOA,MISS,MISS_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,44.7211
TEMOA,CASO,CASO_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,39.2686
TEMOA,SRSG,SRSG_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,319.132
TEMOA,SRCE,SRCE_battery_moderate_0_6hour,Battery,2040,base_short_no_ccs,MW,0,102.383
TEMOA,PJMC,PJMC_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,253.699
TEMOA,SRCA,SRCA_battery_moderate_0_8hour,Battery,2040,base_short_no_ccs,MW,0,27.1822
TEMOA,CASO,CASO_battery_moderate_0_4hour,Battery,2040,base_short_no_ccs,MW,0,4766.06
TEMOA,PJME,PJME_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,126.945,3923.07
TEMOA,ISNE,ISNE_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,36.5017,85.4389
TEMOA,PJMW,PJMW_battery_moderate_0_10hour,Battery,2045,base_short_no_ccs,MW,10.2938,15.6789
TEMOA,PJMW,PJMW_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,7623.41,14784.4
TEMOA,SRSG,SRSG_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,65.8091,340.149
TEMOA,RMRG,RMRG_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,39.0046,128.714
TEMOA,SRSE,SRSE_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,27.7509,42.5471
TEMOA,SRCE,SRCE_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,866.549,8693.36
TEMOA,ISNE,ISNE_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,667.224,724.248
TEMOA,SPPS,SPPS_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,29.2326,54.1304
TEMOA,PJMD,PJMD_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,58.7912,113.875
TEMOA,BASN,BASN_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,91.9211,167.254
TEMOA,TRE,TRE_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,85.4524,1792.58
TEMOA,NYCW,NYCW_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,11.0376,15.513
TEMOA,SPPN,SPPN_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,42.1318,124.831
TEMOA,PJMC,PJMC_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,253.699,3373.62
TEMOA,PJMC,PJMC_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,73.4263,169.375
TEMOA,CASO,CASO_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,4473.4,4591.3
TEMOA,CASO,CASO_battery_moderate_0_10hour,Battery,2045,base_short_no_ccs,MW,10.9572,15.3654
TEMOA,BASN,BASN_battery_moderate_0_10hour,Battery,2045,base_short_no_ccs,MW,10.4601,15.4335
TEMOA,FRCC,FRCC_battery_moderate_0_10hour,Battery,2045,base_short_no_ccs,MW,10.6802,16.31
TEMOA,SPPC,SPPC_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,40.2199,80.6515
TEMOA,FRCC,FRCC_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,36.6886,66.7456
TEMOA,MISE,MISE_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,72.3928,146.115
TEMOA,MISE,MISE_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,24.8405,39.517
TEMOA,SRSG,SRSG_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,21.1597,34.4696
TEMOA,RMRG,RMRG_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,10.094,15.6579
TEMOA,SPPN,SPPN_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,19.9807,33.643
TEMOA,TRE,TRE_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,25.5893,52.0432
TEMOA,CASO,CASO_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,4766.06,9421.63
TEMOA,PJMW,PJMW_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,31.5329,51.4186
TEMOA,NYCW,NYCW_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,133.06,172.259
TEMOA,SPPS,SPPS_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,16.3494,27.4905
TEMOA,CANO,CANO_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,50.4701,194.72
TEMOA,TREW,TREW_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,40.4383,98.0975
TEMOA,MISC,MISC_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,40.4852,171.582
TEMOA,SPPC,SPPC_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,10.36,16.2307
TEMOA,PJMC,PJMC_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,55.8242,149.652
TEMOA,CANO,CANO_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,1985.97,2338.6
TEMOA,CANO,CANO_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,1517.32,5194.57
TEMOA,MISC,MISC_batteries_1,Battery,2045,base_short_no_ccs,MW,36.3,36.3
TEMOA,RMRG,RMRG_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,35.0183,67.6631
TEMOA,PJME,PJME_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,39.4251,104.158
TEMOA,MISC,MISC_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,12.9872,22.0398
TEMOA,NWPP,NWPP_battery_moderate_0_10hour,Battery,2045,base_short_no_ccs,MW,12.2136,16.7929
TEMOA,MISS,MISS_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,50.7929,195.657
TEMOA,SRSE,SRSE_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,70.8463,215.07
TEMOA,BASN,BASN_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,51.2522,1365.02
TEMOA,SRCA,SRCA_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,67.8663,98.0248
TEMOA,NYCW,NYCW_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,36.2168,46.1637
TEMOA,SPPC,SPPC_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,20.2625,34.6918
TEMOA,NYUP,NYUP_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,55.8579,424.175
TEMOA,MISS,MISS_batteries_1,Battery,2045,base_short_no_ccs,MW,10.5,10.5
TEMOA,MISS,MISS_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,14.9484,24.0828
TEMOA,PJME,PJME_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,64.8583,123.633
TEMOA,CASO,CASO_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,39.2686,54.1751
TEMOA,NYUP,NYUP_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,24.5801,64.8313
TEMOA,MISW,MISW_battery_moderate_0_6hour,Battery,2045,base_short_no_ccs,MW,147.563,223.383
TEMOA,PJME,PJME_battery_moderate_0_8hour,Battery,2045,base_short_no_ccs,MW,12.6285,22.4784
TEMOA,SRCE,SRCE_battery_moderate_0_2hour,Battery,2045,base_short_no_ccs,MW,74.8243,229.671
TEMOA,SRCA,SRCA_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,5061.45,5227.18
TEMOA,FRCC,FRCC_battery_moderate_0_4hour,Battery,2045,base_short_no_ccs,MW,4696.18,5081.72
