model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2027,Results_p1,MW,100,100
GenX,2,BASN_to_CASO,2027,Results_p1,MW,5920,5920.62
GenX,3,BASN_to_NWPP,2027,Results_p1,MW,3350,3350.94
GenX,4,BASN_to_RMRG,2027,Results_p1,MW,3750,3750.08
GenX,5,BASN_to_SRSG,2027,Results_p1,MW,5385,5385.63
GenX,6,CANO_to_CASO,2027,Results_p1,MW,3675,3675.03
GenX,7,CANO_to_NWPP,2027,Results_p1,MW,3675,3675.39
GenX,8,CASO_to_NWPP,2027,Results_p1,MW,2858,2858
GenX,9,CASO_to_SRSG,2027,Results_p1,MW,4354,4354.02
GenX,10,FRCC_to_SRSE,2027,Results_p1,MW,3600,3600.16
GenX,11,ISNE_to_NYCW,2027,Results_p1,MW,760,760.005
GenX,12,ISNE_to_NYUP,2027,Results_p1,MW,1400,1400.58
GenX,13,MISC_to_MISE,2027,Results_p1,MW,0,2.02422
GenX,14,MISC_to_MISS,2027,Results_p1,MW,1039,1039.03
GenX,15,MISC_to_MISW,2027,Results_p1,MW,1655,1655.01
GenX,16,MISC_to_PJMC,2027,Results_p1,MW,5244,5244.02
GenX,17,MISC_to_PJMW,2027,Results_p1,MW,5441,5441.06
GenX,18,MISC_to_SPPC,2027,Results_p1,MW,1430,1430.16
GenX,19,MISC_to_SPPN,2027,Results_p1,MW,0,4.60542
GenX,20,MISC_to_SPPS,2027,Results_p1,MW,1172,1172.04
GenX,21,MISC_to_SRCE,2027,Results_p1,MW,3745,3745.06
GenX,22,MISE_to_MISW,2027,Results_p1,MW,0,1.75231
GenX,23,MISE_to_PJMW,2027,Results_p1,MW,2662,2662.01
GenX,24,MISS_to_SPPC,2027,Results_p1,MW,0,4.52606
GenX,25,MISS_to_SPPS,2027,Results_p1,MW,1697,1698.86
GenX,26,MISS_to_SRCE,2027,Results_p1,MW,4092,4092
GenX,27,MISS_to_SRSE,2027,Results_p1,MW,891,891.014
GenX,28,MISW_to_NWPP,2027,Results_p1,MW,200,200.002
GenX,29,MISW_to_PJMC,2027,Results_p1,MW,3200,3200.1
GenX,30,MISW_to_SPPC,2027,Results_p1,MW,0,1.74306
GenX,31,MISW_to_SPPN,2027,Results_p1,MW,5512,5512.06
GenX,32,NWPP_to_RMRG,2027,Results_p1,MW,400,400.089
GenX,33,NYCW_to_NYUP,2027,Results_p1,MW,2489,2489.02
GenX,34,NYCW_to_PJME,2027,Results_p1,MW,660,4704.73
GenX,35,NYUP_to_PJME,2027,Results_p1,MW,1255,1255.74
GenX,36,PJMC_to_PJMW,2027,Results_p1,MW,980,980.234
GenX,37,PJMD_to_PJME,2027,Results_p1,MW,1200,1200.15
GenX,38,PJMD_to_PJMW,2027,Results_p1,MW,6930,6930.07
GenX,39,PJMD_to_SRCA,2027,Results_p1,MW,1000,1000.02
