Zone,value,zone,planning_year,model,agg_zone,case,scenario,configuration,child_scenario
1,20373614.586078327,BASN,2027,GenX,WECC,full-base-200,base,base,carbon_price
2,20495828.63625498,CANO,2027,GenX,CA,full-base-200,base,base,carbon_price
3,21213288.976839256,CASO,2027,GenX,CA,full-base-200,base,base,carbon_price
4,76095317.44753887,FRCC,2027,GenX,SOU,full-base-200,base,base,carbon_price
5,28581355.535413433,ISNE,2027,GenX,NE,full-base-200,base,base,carbon_price
6,41646900.32823624,MISC,2027,GenX,MISO,full-base-200,base,base,carbon_price
7,31483545.34457875,MISE,2027,GenX,MISO,full-base-200,base,base,carbon_price
8,51614820.84188061,MISS,2027,GenX,MISO,full-base-200,base,base,carbon_price
9,44609069.64742093,MISW,2027,GenX,MISO,full-base-200,base,base,carbon_price
10,12347541.01535294,NWPP,2027,GenX,WECC,full-base-200,base,base,carbon_price
11,11390530.216471769,NYCW,2027,GenX,NE,full-base-200,base,base,carbon_price
12,12964331.85381374,NYUP,2027,GenX,NE,full-base-200,base,base,carbon_price
13,13296783.877525888,PJMC,2027,GenX,PJM,full-base-200,base,base,carbon_price
14,17826766.30499586,PJMD,2027,GenX,PJM,full-base-200,base,base,carbon_price
15,76208294.58670871,PJME,2027,GenX,PJM,full-base-200,base,base,carbon_price
16,100321009.9537748,PJMW,2027,GenX,PJM,full-base-200,base,base,carbon_price
17,10063110.001983088,RMRG,2027,GenX,WECC,full-base-200,base,base,carbon_price
18,19098541.989955716,SPPC,2027,GenX,SPP,full-base-200,base,base,carbon_price
19,8412173.19768204,SPPN,2027,GenX,SPP,full-base-200,base,base,carbon_price
20,20068276.39755853,SPPS,2027,GenX,SPP,full-base-200,base,base,carbon_price
21,39232296.237484,SRCA,2027,GenX,SOU,full-base-200,base,base,carbon_price
22,37150271.16403636,SRCE,2027,GenX,MISO,full-base-200,base,base,carbon_price
23,55722586.9542616,SRSE,2027,GenX,SOU,full-base-200,base,base,carbon_price
24,22337593.005955473,SRSG,2027,GenX,WECC,full-base-200,base,base,carbon_price
25,73072987.62144253,TRE,2027,GenX,TRE,full-base-200,base,base,carbon_price
26,7360997.585860137,TREW,2027,GenX,TRE,full-base-200,base,base,carbon_price
1,3829152.0063197007,BASN,2030,GenX,WECC,full-base-200,base,base,carbon_price
2,5671277.6401949385,CANO,2030,GenX,CA,full-base-200,base,base,carbon_price
3,7874637.409803234,CASO,2030,GenX,CA,full-base-200,base,base,carbon_price
4,12209344.567764657,FRCC,2030,GenX,SOU,full-base-200,base,base,carbon_price
5,9845249.50319597,ISNE,2030,GenX,NE,full-base-200,base,base,carbon_price
6,3705962.931580609,MISC,2030,GenX,MISO,full-base-200,base,base,carbon_price
7,3375820.5639480567,MISE,2030,GenX,MISO,full-base-200,base,base,carbon_price
8,12566478.741550628,MISS,2030,GenX,MISO,full-base-200,base,base,carbon_price
9,6714119.105558555,MISW,2030,GenX,MISO,full-base-200,base,base,carbon_price
10,1299774.7471273392,NWPP,2030,GenX,WECC,full-base-200,base,base,carbon_price
11,4592221.2127007805,NYCW,2030,GenX,NE,full-base-200,base,base,carbon_price
12,4603101.889707957,NYUP,2030,GenX,NE,full-base-200,base,base,carbon_price
