model,zone,planning_year,case,unit,value,agg_zone
GenX,BASN,2027,full-base-200,tons,27537000.0,WECC
GenX,CANO,2027,full-base-200,tons,19492500.0,CA
GenX,CASO,2027,full-base-200,tons,20119400.0,CA
GenX,FRCC,2027,full-base-200,tons,75164600.0,SOU
GenX,ISNE,2027,full-base-200,tons,28419700.0,NE
GenX,MISC,2027,full-base-200,tons,37528000.0,MISO
GenX,MISE,2027,full-base-200,tons,32758300.0,MISO
GenX,MISS,2027,full-base-200,tons,52031100.0,MISO
GenX,MISW,2027,full-base-200,tons,43390000.0,MISO
GenX,NWPP,2027,full-base-200,tons,16218400.0,WECC
GenX,NYCW,2027,full-base-200,tons,9951140.0,NE
GenX,NYUP,2027,full-base-200,tons,13545300.0,NE
GenX,PJMC,2027,full-base-200,tons,13371400.0,PJM
GenX,PJMD,2027,full-base-200,tons,17466400.0,PJM
GenX,PJME,2027,full-base-200,tons,78382700.0,PJM
GenX,PJMW,2027,full-base-200,tons,94024900.0,PJM
GenX,RMRG,2027,full-base-200,tons,16304100.0,WECC
GenX,SPPC,2027,full-base-200,tons,19598600.0,SPP
GenX,SPPN,2027,full-base-200,tons,8343360.0,SPP
GenX,SPPS,2027,full-base-200,tons,20139800.0,SPP
GenX,SRCA,2027,full-base-200,tons,39742000.0,SOU
GenX,SRCE,2027,full-base-200,tons,36217100.0,MISO
GenX,SRSE,2027,full-base-200,tons,54152300.0,SOU
GenX,SRSG,2027,full-base-200,tons,20662200.0,WECC
GenX,TRE,2027,full-base-200,tons,70687800.0,TRE
GenX,TREW,2027,full-base-200,tons,7756160.0,TRE
GenX,BASN,2030,full-base-200,tons,3422050.0,WECC
GenX,CANO,2030,full-base-200,tons,5461240.0,CA
GenX,CASO,2030,full-base-200,tons,7288280.0,CA
GenX,FRCC,2030,full-base-200,tons,11265000.0,SOU
GenX,ISNE,2030,full-base-200,tons,9930460.0,NE
GenX,MISC,2030,full-base-200,tons,3756390.0,MISO
GenX,MISE,2030,full-base-200,tons,3155880.0,MISO
GenX,MISS,2030,full-base-200,tons,12439700.0,MISO
GenX,MISW,2030,full-base-200,tons,6489220.0,MISO
GenX,NWPP,2030,full-base-200,tons,995940.0,WECC
GenX,NYCW,2030,full-base-200,tons,3736770.0,NE
GenX,NYUP,2030,full-base-200,tons,4291690.0,NE
GenX,PJMC,2030,full-base-200,tons,5202660.0,PJM
GenX,PJMD,2030,full-base-200,tons,4796720.0,PJM
GenX,PJME,2030,full-base-200,tons,33407000.0,PJM
GenX,PJMW,2030,full-base-200,tons,15235700.0,PJM
GenX,RMRG,2030,full-base-200,tons,731419.0,WECC
GenX,SPPC,2030,full-base-200,tons,858970.0,SPP
GenX,SPPN,2030,full-base-200,tons,325210.0,SPP
GenX,SPPS,2030,full-base-200,tons,4622220.0,SPP
GenX,SRCA,2030,full-base-200,tons,6315220.0,SOU
GenX,SRCE,2030,full-base-200,tons,7624830.0,MISO
GenX,SRSE,2030,full-base-200,tons,11612000.0,SOU
GenX,SRSG,2030,full-base-200,tons,3735920.0,WECC
GenX,TRE,2030,full-base-200,tons,16515900.0,TRE
GenX,TREW,2030,full-base-200,tons,2811250.0,TRE
GenX,BASN,2035,full-base-200,tons,3184840.0,WECC
GenX,CANO,2035,full-base-200,tons,3234350.0,CA
