Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0,Total
Zone,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,11,0
AnnualSum,17471.999629812894,0.0013701211050971551,0.002194290052292658,0.007515437176379448,0.0053133105056676596,0.00031648505606129973,0.004447617957747515,0.024466135978395923,6684.007189396742,0.007788413703123058,0.0,0.0011831259421902773,0.0010066382353347558,0.008817205824453334,0.005646633256043269,25481.21708618645,0.0026741615646154516,0.005333632836872617,43701.94307579515,0.0063694580850424815,0.0,7627.6954469268685,0.014762319466336552,0.010679877118830448,2592.046225997838,38748.33569973171,10373.710556325741,0.005445297381357763,0.009557377683092129,2206.6051831519785,5247.314951936844,0.005182256053967545,3702.6068038795584,0.0,1746.733975478479,85563.38455340319,0.00020919874855230568,0.006927949130155762,0.003141248462394073,0.0034252342481989415,52415.857045230296,0.0004369181905526931,506684.91831315216,0.009103508885264233,97071.44693181445,0.036434001946589946,0.0026837785881420103,0.001405464316344329,0.005191327383449455,192192.16888887458,226391.06861406416,0.0022401730019485275,0.000139549730246909,0.0002163794102377516,0.001274575624707051,0.0018910530950979423,0.0001701849851504393,0.00023396245773848185,3449.6599460806397,0.002363544085395564,0.0002020006849241349,0.00026532985689251416,0.001122787321713036,0.001851455068785677,0.00015875092789581022,0.0002151209290562604,0.001194674468363281,0.0026499217177216477,0.00016814943693599607,0.00019027403609187188,0.002200688179258494,0.002705927678790453,0.00021248910580094987,0.0002706517304353533,0.0011900724933178175,0.005345419350599179,0.00022050150243913195,0.00021747644822920536,0.0015774789811192607,2384.498458264029,0.00018230167191093285,0.00024035314824290334,0.0006099492513223298,0.0023906984873207572,0.00016131362246938843,0.0002073905758197914,0.0005509177197261016,0.0033985723884641843,0.0001822647466741212,0.0003066358727895025,0.0002693213112285739,0.0030573277395080866,3641.1281985384026,0.0002657447182174798,0.0003403468842547468,1.3353785884541979e6
t1,1.9999999657792142,1.5132360786651589e-7,1.7287389653120044e-7,6.785197542212698e-7,4.7526869967664363e-7,3.570262085972331e-8,5.737899467070999e-7,2.3675029741966537e-6,0.999999140146057,1.0907180479156635e-6,0.0,1.610065715196285e-7,1.1915440589760351e-7,1.250789680578844e-6,6.383803142140777e-7,2.9168059919698197,3.1417265133203193e-7,8.275567864682367e-7,9.999993704127503,7.300471153347811e-7,0.0,0.9999999241349775,1.3360358401981208e-6,9.526443447397335e-7,7.708184256532532e-6,3.055313991935393e-6,4.387602528333718e-7,4.954069791719393e-7,8.621931099254104e-7,1.2284147049198534e-6,3.044621827400839e-6,4.91087363012769e-7,7.468744581787653e-7,0.0,3.950357365973144e-7,11.343137773587868,2.0121456542431428e-8,6.429177724767295e-7,3.0599515810067317e-7,2.6427729985529817e-7,5.9999836376914395,4.982213142046277e-8,57.99964725188914,3.134555797146277e-7,4.621537010158025,2.508301402587105e-6,2.4087159191816917e-7,1.3639184034113233e-7,4.952861630835297e-7,22.000019334183307,27.092907972192272,2.6245200462789974e-7,1.5804158525133218e-8,2.4993032679971912e-8,1.667163382272967e-7,2.6042101897344344e-7,2.0320760065010553e-8,3.2295590237153994e-8,0.457029685342183,3.456093898365009e-7,2.4231954504497883e-8,3.836344307159172e-8,1.4566849977999687e-7,2.5561159487733143e-7,1.8982660057076127e-8,2.9685063666490827e-8,1.6004441505152745e-7,4.260616509895607e-7,2.0314594743322544e-8,2.6218787088916363e-8,2.6022604014085356e-7,3.364308299498574e-7,2.4398074897440498e-8,3.358767667970197e-8,1.397155709111931e-7,5.906186850121943e-7,2.5069123772096472e-8,2.5897890786215376e-8,1.8367913231941775e-7,1.083288803249462e-6,2.0671359169662406e-8,2.8699067812811747e-8,7.126992525072762e-8,2.794278770988738e-7,1.8347680965463543e-8,2.4767071606241504e-8,6.400871249344065e-8,3.9541517880080026e-7,2.075388488462428e-8,3.723350368834099e-8,3.2709377445088043e-8,3.5438983675821056e-7,6.815681325756986e-7,2.9964699854418185e-8,4.073351897414955e-8,146.4311037866887
t2,1.999999965818558,1.5130105168736918e-7,1.8177986582657013e-7,6.785493487927065e-7,4.7611981987918207e-7,3.570859696822026e-8,5.755539685246074e-7,2.3692527653761245e-6,0.9999991442960868,1.0939636672445145e-6,0.0,1.611038739079973e-7,1.1918127229559872e-7,1.2537020833422439e-6,6.393501833990412e-7,2.9168059919920504,3.149215237405611e-7,8.310996816676743e-7,9.999993705389295,7.326254066929718e-7,0.0,0.999999924644878,1.3370076920193617e-6,9.532156647527974e-7,7.709567090672185e-6,3.0622618333487004e-6,4.393170021466903e-7,4.943469892341771e-7,8.63936372105977e-7,1.232258111401816e-6,3.046351552652759e-6,4.908000396765957e-7,7.487691932483728e-7,0.0,3.964920969629514e-7,11.343137774372027,2.01184075369389e-8,6.443988070641551e-7,3.0661548773253825e-7,2.637938687823475e-7,5.999983637710334,4.9834874560339415e-8,57.99964725224153,3.1439008907341304e-7,4.621537010811262,2.512872647107027e-6,2.4118670047984845e-7,1.3588923112761996e-7,4.941069085711759e-7,22.000019334201756,27.092907972293503,2.625757459444151e-7,1.5806047027185004e-8,2.503310146119326e-8,1.668246564042844e-7,2.6048136742678416e-7,2.0328202620071008e-8,3.226817698464607e-8,0.45702968572185265,3.4586364073817e-7,2.424076400432065e-8,3.8341198097680914e-8,1.457498456396892e-7,2.5569154467824186e-7,1.8989822520808593e-8,2.9661291459193376e-8,1.6016198953581545e-7,4.2661630759280346e-7,2.032265690678151e-8,2.6199894423352985e-8,2.603355704409511e-7,3.365849501483135e-7,2.4405365358418537e-8,3.355397845604169e-8,1.3974195667927766e-7,5.911787911475992e-7,2.5076940916852544e-8,2.5863000094859846e-8,1.837543019300713e-7,1.084311596076982e-6,2.067906138432049e-8,2.8670014344336015e-8,7.125066088930024e-8,2.794792216382451e-7,1.8353877062452008e-8,2.4740198407577774e-8,6.400241793951449e-8,3.958755708455116e-7,2.076143639997561e-8,3.7224398937828795e-8,3.266226382153414e-8,3.545911004130394e-7,6.828562140826412e-7,2.997622506793636e-8,4.069358846691677e-8,146.43110385301583
t3,1.9999999658605367,1.5131378106048032e-7,1.76327073830862e-7,6.78613035798041e-7,4.770444708219426e-7,3.571455353679198e-8,5.766214741640478e-7,2.3705405627920507e-6,0.9999991470878961,1.095497826044513e-6,0.0,1.6116687806544405e-7,1.1920074460824992e-7,1.2554877731604783e-6,6.401010171275657e-7,2.9168059920091283,3.1547692213450324e-7,8.332379819822657e-7,9.999993706170322,7.341417883798553e-7,0.0,0.9999999249621095,1.3364305103835426e-6,9.535713488948307e-7,7.710599091567613e-6,3.0671991248132578e-6,4.396867801326993e-7,4.925136237863567e-7,8.650699478052342e-7,1.2348099061773009e-6,3.0475106441422144e-6,4.897444354759332e-7,7.497596113227345e-7,0.0,3.973425953013742e-7,11.343137774872414,2.0086009452723498e-8,6.449770843018102e-7,3.0671569483404156e-7,2.6515747312290153e-7,5.999983637723981,4.984388513040727e-8,57.99964725252205,3.15138063200493e-7,4.621537011366359,2.5165519586182394e-6,2.413924653949619e-7,1.3542374091022853e-7,4.928007387653191e-7,22.0000193342166,27.092907972427998,2.62727886028142e-7,1.5808129673672256e-8,2.507782891916915e-8,1.6685893181520697e-7,2.604608987614282e-7,2.0333180705841206e-8,3.2223457769810046e-8,0.45702968594662957,3.459922228763931e-7,2.4246455546489184e-8,3.829532343475579e-8,1.4575674079166678e-7,2.5566216150589334e-7,1.899455153302867e-8,2.9616989864813187e-8,1.601952895002016e-7,4.269946271488414e-7,2.0327957896107602e-8,2.6161635708290968e-8,2.603590588736647e-7,3.3661710375402225e-7,2.4409857994910443e-8,3.34981514763482e-8,1.3970375453624293e-7,5.915628241135557e-7,2.5081642455868266e-8,2.581370048588801e-8,1.8375784605731832e-7,1.0851142318160206e-6,2.068411216525141e-8,2.862406654014244e-8,7.118645752856214e-8,2.7939916486905163e-7,1.8357736893242303e-8,2.46970485472217e-8,6.394759254360577e-8,3.9615085462673464e-7,2.076659577892098e-8,3.718160246516252e-8,3.2612704470789224e-8,3.5472985349337525e-7,6.840265564440493e-7,2.998521363990848e-8,4.0647692550793393e-8,146.43110388262636
t4,1.999999965895464,1.512386056390369e-7,1.624084102758161e-7,6.786291944957457e-7,4.776080921314969e-7,3.5719434521297444e-8,5.770337990049849e-7,2.3713780518300533e-6,0.9999991486243496,1.095425657773154e-6,0.0,1.6119651069512742e-7,1.1921305342887933e-7,1.2561995664514534e-6,6.406418829241601e-7,2.9168059920211364,3.1584985959319573e-7,8.341321685959082e-7,9.999993706530127,7.346799454543142e-7,0.0,0.9999999251065473,1.3344434750694765e-6,9.537245133604682e-7,7.711298292225625e-6,3.070412715984205e-6,4.3994523161513706e-7,4.899189222933495e-7,8.656207954293096e-7,1.2360920245887396e-6,3.0481332891888473e-6,4.878590155527497e-7,7.498216961694707e-7,0.0,3.9756395600891605e-7,11.34313777512345,2.0029431488187878e-8,6.446631964576544e-7,3.063007299888307e-7,2.649888764307388e-7,5.999983637732669,4.984939994123749e-8,57.99964725273661,3.157188892544127e-7,4.621537011791459,2.519385811531746e-6,2.415007974315706e-7,1.349826268626515e-7,4.91386483171463e-7,22.000019334228142,27.092907972537095,2.628504311881981e-7,1.5810065702982784e-8,2.5109307138251466e-8,1.6682262869794023e-7,2.603572144194258e-7,2.0336145179409682e-8,3.217210988353469e-8,0.45702968602389016,3.459934028587494e-7,2.4249522924367024e-8,3.8225954758746405e-8,1.4569506643237536e-7,2.5552521850017367e-7,1.8997294925695854e-8,2.9552507895161874e-8,1.6015175932395293e-7,4.272050194876602e-7,2.0331015775660737e-8,2.6104895436175603e-8,2.603017843415224e-7,3.3652890296843844e-7,2.4411973536216532e-8,3.3420568460814444e-8,1.396051136316884e-7,5.917719027711412e-7,2.5083810967877044e-8,2.574980267335131e-8,1.8369523950908078e-7,1.0856994614144823e-6,2.068703939410518e-8,2.85614966820087e-8,7.107580742997249e-8,2.791753298024194e-7,1.8359464803566163e-8,2.4634588842380814e-8,6.384501565248207e-8,3.9624356138879136e-7,2.0769724300149557e-8,3.7104856980650457e-8,3.256194971235276e-8,3.5481172803878496e-7,6.850868358420758e-7,2.999213747208721e-8,4.059733758680605e-8,146.4311038786104
t5,1.999999965918843,1.5104203399118887e-7,1.6408660918898477e-7,6.785795812683718e-7,4.777207289136844e-7,3.572200091284117e-8,5.772374636456927e-7,2.3719854367760906e-6,0.9999991496010685,1.0948834079725371e-6,0.0,1.6121524115675356e-7,1.1922223219773542e-7,1.2573594048989598e-6,6.411082361024568e-7,2.9168059920319513,3.16166881779476e-7,8.348075920908196e-7,9.999993706801796,7.350968905993906e-7,0.0,0.9999999252120993,1.3328217343277791e-6,9.538437180031982e-7,7.711870254870206e-6,3.0732449570925134e-6,4.4018347792670505e-7,4.880575243279534e-7,8.661070571268525e-7,1.2371238982863385e-6,3.048686334576111e-6,4.863182787788438e-7,7.497928744901261e-7,0.0,3.9771342577881055e-7,11.343137775323987,1.998427183439362e-8,6.443766723172184e-7,3.059293586277029e-7,2.6435946257636937e-7,5.99998363773975,4.985392498824126e-8,57.99964725291456,3.1630994890008424e-7,4.6215370122372645,2.5218170947811076e-6,2.4164741209168113e-7,1.3471928489545555e-7,4.90367846478721e-7,22.000019334238235,27.092907972612693,2.629321232068621e-7,1.5811138844792736e-8,2.512548791792889e-8,1.6678094501474187e-7,2.60292555493776e-7,2.033824614731861e-8,3.213317581613993e-8,0.45702968604556315,3.4598944775011384e-7,2.425140064149342e-8,3.816700857402346e-8,1.456392010690925e-7,2.5542953019553723e-7,1.8999300412280522e-8,2.9499423067779303e-8,1.6010997728759709e-7,4.2739299669948206e-7,2.0333244796031634e-8,2.6058277628206035e-8,2.6024894368214776e-7,3.3646496623532364e-7,2.4413247846614143e-8,3.3356722793804665e-8,1.3951787093037852e-7,5.91946841609529e-7,2.5085118572122446e-8,2.5698883461016227e-8,1.8364423521518272e-7,1.0862093840001015e-6,2.0689242853471984e-8,2.8512316410578885e-8,7.097770312261291e-8,2.7898408727532857e-7,1.8360288098047984e-8,2.458181731451539e-8,6.375809470383768e-8,3.963334176329061e-7,2.0772309723685606e-8,3.7043495052403326e-8,3.253109308113143e-8,3.548878445711253e-7,6.861056764135621e-7,2.9998006825376807e-8,4.0565149665625506e-8,146.43110388801063
t6,1.9999999659313819,1.5074078163479498e-7,1.5984794110579514e-7,6.784727948472165e-7,4.774477845665685e-7,3.572095375048434e-8,5.773348786106762e-7,2.3724043222546153e-6,0.9999991501659539,1.094118860214101e-6,0.0,1.6122767809712002e-7,1.1922898557337192e-7,1.2586067324735204e-6,6.415005325200297e-7,2.9168059920412093,3.1642730290858174e-7,8.352785713464153e-7,9.999993706988782,7.354117325296951e-7,0.0,0.9999999252814944,1.3315550977543743e-6,9.53928013438084e-7,7.712310329458081e-6,3.075728867059113e-6,4.4036826655554813e-7,4.869012427924138e-7,8.665415441174986e-7,1.2379160659511367e-6,3.0491756540499397e-6,4.851021223711277e-7,7.496815073647386e-7,0.0,3.97781975389243e-7,11.343137775474963,1.9950213411644892e-8,6.441211477652451e-7,3.056033688693148e-7,2.6515272580924824e-7,5.9999836377451805,4.985744839203221e-8,57.99964725305674,3.169088191867786e-7,4.621537012656844,2.5238398173625426e-6,2.4183282892814983e-7,1.3461031275865192e-7,4.897070928155066e-7,22.00001933424714,27.09290797267478,2.629846845200176e-7,1.581088540022875e-8,2.5140890601255854e-8,1.667491296311396e-7,2.602800241609947e-7,2.033995011160448e-8,3.211327838713184e-8,0.4570296860327475,3.459948750062077e-7,2.4252629394281495e-8,3.812524076861387e-8,1.455929474394548e-7,2.5536737426843924e-7,1.9000895181806658e-8,2.94577015018624e-8,1.600735034377789e-7,4.275512703427816e-7,2.0335036832887713e-8,2.6021254123412356e-8,2.602042282066477e-7,3.3641895663854237e-7,2.441410756644356e-8,3.3306661923062713e-8,1.394458260921712e-7,5.920827839829075e-7,2.5086006158932043e-8,2.5660548909499895e-8,1.8360847566536107e-7,1.0866393899580514e-6,2.0691121420293992e-8,2.8476788072210322e-8,7.089575580027941e-8,2.788185993257401e-7,1.8360596242323813e-8,2.453826947050879e-8,6.369025530742976e-8,3.9641693206998005e-7,2.0774549594033557e-8,3.699758734505246e-8,3.251941932916796e-8,3.549596100308153e-7,6.870778246068035e-7,3.000323915339973e-8,4.055036428350391e-8,146.431103891471
t7,1.9999999659399,1.5035448441835797e-7,1.507866969063798e-7,6.782970558401897e-7,4.768304649704555e-7,3.571601903118449e-8,5.773351033198164e-7,2.372643038487884e-6,0.9999991503290153,1.0931557222003134e-6,0.0,1.6123649770882764e-7,1.1923383669287801e-7,1.2602508839551483e-6,6.418297470645441e-7,2.9168059920489626,3.1664212351433014e-7,8.355910556071047e-7,9.999993707099819,7.356720753880776e-7,0.0,0.99999992532212,1.3306906035004139e-6,9.53986564514995e-7,7.712633683097664e-6,3.077914377498403e-6,4.405598675128703e-7,4.865239834875061e-7,8.669634579471463e-7,1.238521564269288e-6,3.0496145383122058e-6,4.842780743437792e-7,7.495522030949151e-7,0.0,3.9778720676013504e-7,11.343137775572783,1.9927755376213564e-8,6.439221168468885e-7,3.053360866381207e-7,2.645756727372554e-7,5.999983637748894,4.98599004306044e-8,57.99964725316501,3.175482135020502e-7,4.621537013118444,2.5255257884255296e-6,2.420770732790391e-7,1.346763062159723e-7,4.894697282441937e-7,22.000019334255093,27.09290797274985,2.63002965282596e-7,1.5809709299852645e-8,2.5232776571101304e-8,1.6672361011046804e-7,2.6031634382074143e-7,2.0341374499987816e-8,3.211130089970755e-8,0.45702968598346366,3.460081722521614e-7,2.4253731646201297e-8,3.8097646713778546e-8,1.455565349123312e-7,2.553441198156194e-7,1.9002619621615837e-8,2.942607971561931e-8,1.6004246023835356e-7,4.276855597611981e-7,2.0337097707401343e-8,2.5993582012659655e-8,2.601692775738743e-7,3.3639657612895625e-7,2.441523361719531e-8,3.326928674576535e-8,1.3938927601010267e-7,5.921857623988729e-7,2.508713879420534e-8,2.5634006015871993e-8,1.835901105639263e-7,1.0869960908506355e-6,2.0693256480129255e-8,2.845543986975486e-8,7.082996165140951e-8,2.786877195028444e-7,1.8361022417793494e-8,2.45036418776599e-8,6.364113132851954e-8,3.96498657588626e-7,2.0776223167401727e-8,3.696655009874764e-8,3.252888731536756e-8,3.5503151479230293e-7,6.880140285605492e-7,3.00076429055804e-8,4.055501629895156e-8,146.431103888822
t8,1.9999999659589385,1.5009429787937734e-7,1.7626093651301744e-7,6.782588565677762e-7,4.767059018024158e-7,3.572255158346138e-8,5.763576856174861e-7,2.372275527822208e-6,0.999999148882468,1.0898211984320964e-6,0.0,1.6120309331846272e-7,1.1922959963772684e-7,1.260429585453192e-6,6.419180050210428e-7,2.916805992049553,3.1663997700913433e-7,8.344003419683057e-7,9.99999370671661,7.347017910907251e-7,0.0,0.9999999251600394,1.3277596458016481e-6,9.537864965613673e-7,7.712548736402493e-6,3.0780552852283314e-6,4.4055573526277266e-7,4.847144483785184e-7,8.666365782453774e-7,1.2377000032278683e-6,3.0494509922466266e-6,4.823331011842701e-7,7.483666742205019e-7,0.0,3.972524167700652e-7,11.343137775474423,1.988195834338087e-8,6.42904810528841e-7,3.0459781904532483e-7,2.6451464777439463e-7,5.999983637747858,4.9859110839989285e-8,57.99964725315977,3.177622502903432e-7,4.621537013395424,2.525725576132876e-6,2.420037447000685e-7,1.344216574789507e-7,4.881581557844264e-7,22.00001933425765,27.092907972737798,2.6302248001029307e-7,1.581163694273188e-8,2.5170257505643212e-8,1.6656943025039002e-7,2.601314242859956e-7,2.034145889123774e-8,3.2065352111257754e-8,0.4570296857120389,3.457667941508748e-7,2.4253740802202316e-8,3.801151635540944e-8,1.454208062183663e-7,2.551293885511209e-7,1.900421327905765e-8,2.935577797841992e-8,1.5990436954078952e-7,4.275848374411631e-7,2.0339277339074886e-8,2.593192321526831e-8,2.6002021992449884e-7,3.3617645252470936e-7,2.4416456205333017e-8,3.3189841388459885e-8,1.39240945047813e-7,5.920404885030984e-7,2.508818493269652e-8,2.5573682354624027e-8,1.8347742706991832e-7,1.0870675574187886e-6,2.069525975930448e-8,2.8399887979987556e-8,7.070241205969419e-8,2.7835467676316347e-7,1.8361606573825967e-8,2.443737057132804e-8,6.355262663542735e-8,3.9641754477621346e-7,2.0775878490665968e-8,3.690300363441252e-8,3.2498204194319036e-8,3.549564297721487e-7,6.887415000848175e-7,3.000902277386775e-8,4.0516870639212814e-8,146.43110388969004
t9,1.9999999659789272,1.4981629092858384e-7,1.7102068206042986e-7,6.781637571489289e-7,4.76322988163928e-7,3.572693829667628e-8,5.744221143586596e-7,2.371303601647454e-6,0.9999991457979549,1.0841535640702686e-6,0.0,1.6113443357390622e-7,1.1921688092275673e-7,1.26020925325626e-6,6.417836655925725e-7,2.9168059920428004,3.1644477793001164e-7,8.318034150725575e-7,9.999993705854596,7.32595849891521e-7,0.0,0.9999999248090973,1.3228902746731129e-6,9.533753212727623e-7,7.712153116832718e-6,3.076338647729515e-6,4.4039520145430396e-7,4.816651800181548e-7,8.656356312782686e-7,1.2356065715776164e-6,3.0487458771691893e-6,4.794311209385076e-7,7.462586562544234e-7,0.0,3.9622815698196914e-7,11.343137775189843,1.98109420394323e-8,6.411481342393976e-7,3.034345863486213e-7,2.6541761880567486e-7,5.999983637742603,4.985549340030815e-8,57.99964725308356,3.179460339453044e-7,4.621537013562473,2.5294386755138844e-6,2.41945185742302e-7,1.3410988777841956e-7,4.866700750791217e-7,22.00001933425797,27.09290797274398,2.629201899459245e-7,1.5813677617270444e-8,2.5110058224661305e-8,1.6628397940571535e-7,2.59721044655481e-7,2.034223062178594e-8,3.1985625034326065e-8,0.45702968521283005,3.452670589824849e-7,2.4254354560620893e-8,3.786780964273912e-8,1.4519153463522029e-7,2.547291453536456e-7,1.900703985148531e-8,2.9249728050563387e-8,1.5966315636525464e-7,4.272488785445586e-7,2.0343031838455556e-8,2.5838358305697074e-8,2.59765103381159e-7,3.3576279161803415e-7,2.4419456244532183e-8,3.30714616410761e-8,1.3900806511765737e-7,5.916528879164022e-7,2.5090562933184445e-8,2.5481844313434913e-8,1.8327729576392834e-7,1.0868639087854317e-6,2.0698544991128117e-8,2.8314289775338346e-8,7.05178264998828e-8,2.7783901419617503e-7,1.8363759618130056e-8,2.4345017027191875e-8,6.342835055825459e-8,3.9619176610337085e-7,2.0773432743045937e-8,3.680858375765643e-8,3.246803635352636e-8,3.548230553195821e-7,6.895807458599855e-7,3.000894571635328e-8,4.04810233093283e-8,146.4311038387679
