resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value,start_MWh,end_MWh
BASN_batteries_1,BASN,Battery,SWITCH,2027,current_policies_20_week,MW,935.8,935.8,2195.6,2195.6
BASN_biomass_1,BASN,Other,SWITCH,2027,current_policies_20_week,MW,12.6,12.6,0.0,0.0
BASN_biomass_2,BASN,Other,SWITCH,2027,current_policies_20_week,MW,32.0,32.0,0.0,0.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2027,current_policies_20_week,MW,2489.6,2489.6,0.0,0.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2027,current_policies_20_week,MW,1700.2,1178.2,0.0,0.0
BASN_conventional_steam_coal_2,BASN,Coal,SWITCH,2027,current_policies_20_week,MW,3622.0,1822.0,0.0,0.0
BASN_distributed_generation_1,BASN,Distributed Solar,SWITCH,2027,current_policies_20_week,MW,1193.0,1193.0,0.0,0.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2027,current_policies_20_week,MW,893.5,893.5,0.0,0.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2027,current_policies_20_week,MW,1508.3,1508.3,0.0,0.0
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2027,current_policies_20_week,MW,6454.0,7294.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2027,current_policies_20_week,MW,1946.8,1946.8,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_2,BASN,Natural Gas,SWITCH,2027,current_policies_20_week,MW,236.2,236.2,0.0,0.0
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2027,current_policies_20_week,MW,221.4,221.4,0.0,0.0
BASN_natural_gas_steam_turbine_1,BASN,Natural Gas,SWITCH,2027,current_policies_20_week,MW,576.5,468.5,0.0,0.0
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2027,current_policies_20_week,MW,1510.1,2030.1,0.0,0.0
BASN_petroleum_liquids_1,BASN,Other,SWITCH,2027,current_policies_20_week,MW,39.8,39.8,0.0,0.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2027,current_policies_20_week,MW,435.6,405.4,0.0,0.0
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2027,current_policies_20_week,MW,6777.2,8006.2,0.0,0.0
CANO_batteries_1,CANO,Battery,SWITCH,2027,current_policies_20_week,MW,2273.6,2652.6,9058.7,10574.7
CANO_biomass_1,CANO,Other,SWITCH,2027,current_policies_20_week,MW,465.7,463.7,0.0,0.0
CANO_biomass_2,CANO,Other,SWITCH,2027,current_policies_20_week,MW,212.1,212.1,0.0,0.0
CANO_conventional_hydroelectric_1,CANO,Hydro,SWITCH,2027,current_policies_20_week,MW,7326.0,7231.1,0.0,0.0
CANO_distributed_generation_1,CANO,Distributed Solar,SWITCH,2027,current_policies_20_week,MW,4478.0,4478.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,CANO,Hydro,SWITCH,2027,current_policies_20_week,MW,2276.9,2276.9,35291.95,35291.9
CANO_natural_gas_fired_combined_cycle_1,CANO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,3112.8,3112.8,0.0,0.0
CANO_natural_gas_fired_combined_cycle_2,CANO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,8296.9,8296.9,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_1,CANO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,2248.7,2248.7,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_2,CANO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,2426.8,2426.8,0.0,0.0
CANO_natural_gas_internal_combustion_engine_1,CANO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,444.4,444.4,0.0,0.0
CANO_natural_gas_steam_turbine_1,CANO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,2.9,2.9,0.0,0.0
CANO_onshore_wind_turbine_1,CANO,Wind,SWITCH,2027,current_policies_20_week,MW,1442.0,1442.0,0.0,0.0
CANO_petroleum_liquids_1,CANO,Other,SWITCH,2027,current_policies_20_week,MW,177.3,177.3,0.0,0.0
CANO_small_hydroelectric_1,CANO,Hydro,SWITCH,2027,current_policies_20_week,MW,664.8,636.0,0.0,0.0
CANO_solar_photovoltaic_1,CANO,Solar,SWITCH,2027,current_policies_20_week,MW,5278.0,6328.3,0.0,0.0
CASO_batteries_1,CASO,Battery,SWITCH,2027,current_policies_20_week,MW,6682.4,8929.3,24587.6,33575.2
CASO_biomass_1,CASO,Other,SWITCH,2027,current_policies_20_week,MW,310.3,265.3,0.0,0.0
CASO_biomass_2,CASO,Other,SWITCH,2027,current_policies_20_week,MW,53.8,53.8,0.0,0.0
CASO_conventional_hydroelectric_1,CASO,Hydro,SWITCH,2027,current_policies_20_week,MW,1022.0,973.3,0.0,0.0
CASO_distributed_generation_1,CASO,Distributed Solar,SWITCH,2027,current_policies_20_week,MW,6969.0,6969.0,0.0,0.0
CASO_geothermal_1,CASO,Geothermal,SWITCH,2027,current_policies_20_week,MW,44.4,44.4,0.0,0.0
CASO_hydroelectric_pumped_storage_1,CASO,Hydro,SWITCH,2027,current_policies_20_week,MW,1665.0,1665.0,25807.5,25807.5
CASO_natural_gas_fired_combined_cycle_1,CASO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,2250.9,2250.9,0.0,0.0
CASO_natural_gas_fired_combined_cycle_2,CASO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,7481.6,7481.6,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_1,CASO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,1926.1,1872.1,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_2,CASO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,4877.4,4573.4,0.0,0.0
CASO_natural_gas_internal_combustion_engine_1,CASO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,50.2,50.2,0.0,0.0
CASO_natural_gas_steam_turbine_1,CASO,Natural Gas,SWITCH,2027,current_policies_20_week,MW,1753.8,1.5,0.0,0.0
CASO_onshore_wind_turbine_1,CASO,Wind,SWITCH,2027,current_policies_20_week,MW,4089.0,4069.1,0.0,0.0
CASO_petroleum_liquids_1,CASO,Other,SWITCH,2027,current_policies_20_week,MW,17.2,14.1,0.0,0.0
CASO_small_hydroelectric_1,CASO,Hydro,SWITCH,2027,current_policies_20_week,MW,250.3,236.0,0.0,0.0
CASO_solar_photovoltaic_1,CASO,Solar,SWITCH,2027,current_policies_20_week,MW,12607.4,13797.4,0.0,0.0
FRCC_batteries_1,FRCC,Battery,SWITCH,2027,current_policies_20_week,MW,555.2,555.2,1129.4,1129.4
FRCC_biomass_1,FRCC,Other,SWITCH,2027,current_policies_20_week,MW,411.6,376.6,0.0,0.0
FRCC_biomass_2,FRCC,Other,SWITCH,2027,current_policies_20_week,MW,412.1,432.1,0.0,0.0
FRCC_conventional_hydroelectric_1,FRCC,Hydro,SWITCH,2027,current_policies_20_week,MW,43.5,43.5,0.0,0.0
FRCC_conventional_steam_coal_1,FRCC,Coal,SWITCH,2027,current_policies_20_week,MW,4229.0,3135.0,0.0,0.0
FRCC_conventional_steam_coal_2,FRCC,Coal,SWITCH,2027,current_policies_20_week,MW,442.0,442.0,0.0,0.0
FRCC_distributed_generation_1,FRCC,Distributed Solar,SWITCH,2027,current_policies_20_week,MW,2946.0,2946.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,FRCC,Natural Gas,SWITCH,2027,current_policies_20_week,MW,34026.2,34356.2,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_2,FRCC,Natural Gas,SWITCH,2027,current_policies_20_week,MW,2791.7,2791.7,0.0,0.0
FRCC_natural_gas_fired_combustion_turbine_1,FRCC,Natural Gas,SWITCH,2027,current_policies_20_week,MW,7864.4,7864.4,0.0,0.0
FRCC_natural_gas_fired_combustion_turbine_2,FRCC,Natural Gas,SWITCH,2027,current_policies_20_week,MW,1108.9,1068.9,0.0,0.0
FRCC_natural_gas_internal_combustion_engine_1,FRCC,Natural Gas,SWITCH,2027,current_policies_20_week,MW,130.9,250.9,0.0,0.0
FRCC_natural_gas_steam_turbine_1,FRCC,Natural Gas,SWITCH,2027,current_policies_20_week,MW,3824.0,2164.0,0.0,0.0
FRCC_nuclear_1,FRCC,Nuclear,SWITCH,2027,current_policies_20_week,MW,3737.0,3737.0,0.0,0.0
FRCC_petroleum_liquids_1,FRCC,Other,SWITCH,2027,current_policies_20_week,MW,455.6,455.6,0.0,0.0
FRCC_solar_photovoltaic_1,FRCC,Solar,SWITCH,2027,current_policies_20_week,MW,6776.1,9458.5,0.0,0.0
ISNE_batteries_1,ISNE,Battery,SWITCH,2027,current_policies_20_week,MW,344.0,368.4,712.5,761.3
ISNE_biomass_1,ISNE,Other,SWITCH,2027,current_policies_20_week,MW,393.0,331.0,0.0,0.0
