model,line,line_name,planning_year,case,unit,value,end_value,start_region,dest_region,km,end_cap,start_cap,scenario,configuration,child_scenario,cap
GenX,1.0,BASN_to_CANO,2023,full-base-200,MW,161338.0,161338.0,BASN,CANO,1613.3847128003597,100.0,100.0,base,base,carbon_price,
GenX,2.0,BASN_to_CASO,2023,full-base-200,MW,6232667.0,6233320.0,BASN,CASO,1052.8154002870249,5920.62,5920.0,base,base,carbon_price,
GenX,3.0,BASN_to_NWPP,2023,full-base-200,MW,7181335.0,7183350.0,BASN,NWPP,2143.6820330805017,3350.94,3350.0,base,base,carbon_price,
GenX,4.0,BASN_to_RMRG,2023,full-base-200,MW,5546133.0,5546251.0,BASN,RMRG,1478.968739910536,3750.08,3750.0,base,base,carbon_price,
GenX,5.0,BASN_to_SRSG,2023,full-base-200,MW,6445229.0,6445984.0,BASN,SRSG,1196.8856954277987,5385.63,5385.0,base,base,carbon_price,
GenX,6.0,CANO_to_CASO,2023,full-base-200,MW,2493475.0,2493495.0,CANO,CASO,678.496525078502,3675.03,3675.0,base,base,carbon_price,
GenX,7.0,CANO_to_NWPP,2023,full-base-200,MW,4787096.0,4787604.0,CANO,NWPP,1302.6110658309303,3675.39,3675.0,base,base,carbon_price,
GenX,8.0,CASO_to_NWPP,2023,full-base-200,MW,5313368.0,5313368.0,CASO,NWPP,1859.1210098249192,2858.0,2858.0,base,base,carbon_price,
GenX,9.0,CASO_to_SRSG,2023,full-base-200,MW,2919044.0,2919057.0,CASO,SRSG,670.4280089248628,4354.02,4354.0,base,base,carbon_price,
GenX,10.0,FRCC_to_SRSE,2023,full-base-200,MW,3350541.0,3350690.0,FRCC,SRSE,930.705776696937,3600.16,3600.0,base,base,carbon_price,
GenX,11.0,ISNE_to_NYCW,2023,full-base-200,MW,158660.0,158661.0,ISNE,NYCW,208.76319678780865,760.005,760.0,base,base,carbon_price,
GenX,12.0,ISNE_to_NYUP,2023,full-base-200,MW,591379.0,591624.0,ISNE,NYUP,422.4133412443229,1400.58,1400.0,base,base,carbon_price,
GenX,13.0,MISC_to_MISE,2023,full-base-200,MW,0.0,2011.0,MISC,MISE,993.3851724175372,2.02422,0.0,base,base,carbon_price,
GenX,14.0,MISC_to_MISS,2023,full-base-200,MW,1488088.0,1488131.0,MISC,MISS,1432.2313664952487,1039.03,1039.0,base,base,carbon_price,
GenX,15.0,MISC_to_MISW,2023,full-base-200,MW,2268174.0,2268188.0,MISC,MISW,1370.4981771620598,1655.01,1655.0,base,base,carbon_price,
GenX,16.0,MISC_to_PJMC,2023,full-base-200,MW,3283817.0,3283830.0,MISC,PJMC,626.2046711986147,5244.02,5244.0,base,base,carbon_price,
GenX,17.0,MISC_to_PJMW,2023,full-base-200,MW,3464702.0,3464740.0,MISC,PJMW,636.7767278564246,5441.06,5441.0,base,base,carbon_price,
GenX,18.0,MISC_to_SPPC,2023,full-base-200,MW,995388.0,995499.0,MISC,SPPC,696.0754685319118,1430.16,1430.0,base,base,carbon_price,
GenX,19.0,MISC_to_SPPN,2023,full-base-200,MW,0.0,4233.0,MISC,SPPN,919.2234841721058,4.60542,0.0,base,base,carbon_price,
GenX,20.0,MISC_to_SPPS,2023,full-base-200,MW,1364560.0,1364607.0,MISC,SPPS,1164.3004320004338,1172.04,1172.0,base,base,carbon_price,
GenX,21.0,MISC_to_SRCE,2023,full-base-200,MW,3024383.0,3024431.0,MISC,SRCE,807.5788459671032,3745.06,3745.0,base,base,carbon_price,
GenX,22.0,MISE_to_MISW,2023,full-base-200,MW,0.0,2345.0,MISE,MISW,1338.0895372438338,1.75231,0.0,base,base,carbon_price,
GenX,23.0,MISE_to_PJMW,2023,full-base-200,MW,1789648.0,1789655.0,MISE,PJMW,672.2944948093907,2662.01,2662.0,base,base,carbon_price,
GenX,24.0,MISS_to_SPPC,2023,full-base-200,MW,0.0,5722.0,MISS,SPPC,1264.309793619994,4.52606,0.0,base,base,carbon_price,
GenX,25.0,MISS_to_SPPS,2023,full-base-200,MW,1838598.0,1840613.0,MISS,SPPS,1083.4402589451677,1698.86,1697.0,base,base,carbon_price,
GenX,26.0,MISS_to_SRCE,2023,full-base-200,MW,3726069.0,3726069.0,MISS,SRCE,910.5740119711644,4092.0,4092.0,base,base,carbon_price,
GenX,27.0,MISS_to_SRSE,2023,full-base-200,MW,735738.0,735749.0,MISS,SRSE,825.7437764420143,891.014,891.0,base,base,carbon_price,
GenX,28.0,MISW_to_NWPP,2023,full-base-200,MW,2808140.0,2808168.0,MISW,NWPP,14040.700523946523,200.002,200.0,base,base,carbon_price,
GenX,29.0,MISW_to_PJMC,2023,full-base-200,MW,1847606.0,1847664.0,MISW,PJMC,577.3769837220765,3200.1,3200.0,base,base,carbon_price,
GenX,30.0,MISW_to_SPPC,2023,full-base-200,MW,0.0,2083.0,MISW,SPPC,1195.0293103479462,1.74306,0.0,base,base,carbon_price,
GenX,31.0,MISW_to_SPPN,2023,full-base-200,MW,5589987.0,5590048.0,MISW,SPPN,1014.1486283848258,5512.06,5512.0,base,base,carbon_price,
GenX,32.0,NWPP_to_RMRG,2023,full-base-200,MW,102557.0,102580.0,NWPP,RMRG,256.39318164425606,400.089,400.0,base,base,carbon_price,
GenX,33.0,NYCW_to_NYUP,2023,full-base-200,MW,794072.0,794078.0,NYCW,NYUP,319.03239545042265,2489.02,2489.0,base,base,carbon_price,
GenX,34.0,NYCW_to_PJME,2023,full-base-200,MW,53474.0,381181.0,NYCW,PJME,81.02077938846139,4704.73,660.0,base,base,carbon_price,
GenX,35.0,NYUP_to_PJME,2023,full-base-200,MW,397354.0,397588.0,NYUP,PJME,316.61636032760543,1255.74,1255.0,base,base,carbon_price,
GenX,36.0,PJMC_to_PJMW,2023,full-base-200,MW,475254.0,475367.0,PJMC,PJMW,484.9526117173539,980.234,980.0,base,base,carbon_price,
GenX,37.0,PJMD_to_PJME,2023,full-base-200,MW,167117.0,167138.0,PJMD,PJME,139.26433395480618,1200.15,1200.0,base,base,carbon_price,
GenX,38.0,PJMD_to_PJMW,2023,full-base-200,MW,3421719.0,3421753.0,PJMD,PJMW,493.7545177764829,6930.07,6930.0,base,base,carbon_price,
GenX,39.0,PJMD_to_SRCA,2023,full-base-200,MW,525255.0,525265.0,PJMD,SRCA,525.2547915890101,1000.02,1000.0,base,base,carbon_price,
GenX,40.0,PJME_to_PJMW,2023,full-base-200,MW,1876405.0,1876419.0,PJME,PJMW,482.9870637110515,3885.03,3885.0,base,base,carbon_price,
GenX,41.0,PJMW_to_SRCA,2023,full-base-200,MW,1097455.0,1097482.0,PJMW,SRCA,900.2912298442393,1219.03,1219.0,base,base,carbon_price,
GenX,42.0,PJMW_to_SRCE,2023,full-base-200,MW,1809620.0,1809636.0,PJMW,SRCE,542.940224506259,3333.03,3333.0,base,base,carbon_price,
GenX,43.0,RMRG_to_SPPC,2023,full-base-200,MW,196692.0,197766.0,RMRG,SPPC,936.6269837220768,211.147,210.0,base,base,carbon_price,
GenX,44.0,RMRG_to_SPPN,2023,full-base-200,MW,320034.0,1482734.0,RMRG,SPPN,780.5713741841813,1899.55,410.0,base,base,carbon_price,
GenX,45.0,RMRG_to_SRSG,2023,full-base-200,MW,891491.0,896556.0,RMRG,SRSG,1451.9389962866967,617.489,614.0,base,base,carbon_price,
GenX,46.0,SPPC_to_SPPN,2023,full-base-200,MW,374290.0,781146.0,SPPC,SPPN,261.19343417595013,2990.68,1433.0,base,base,carbon_price,
GenX,47.0,SPPC_to_SPPS,2023,full-base-200,MW,1534354.0,1534376.0,SPPC,SPPS,455.0277413171593,3372.05,3372.0,base,base,carbon_price,
GenX,48.0,SPPN_to_SPPS,2023,full-base-200,MW,0.0,9518.0,SPPN,SPPS,679.4249275747745,14.0087,0.0,base,base,carbon_price,
GenX,49.0,SPPS_to_SRSG,2023,full-base-200,MW,1545958.0,1546233.0,SPPS,SRSG,1530.6511537017682,1010.18,1010.0,base,base,carbon_price,
GenX,50.0,SPPS_to_TRE,2023,full-base-200,MW,300783.0,301128.0,SPPS,TRE,501.3042951289656,600.69,600.0,base,base,carbon_price,
GenX,51.0,SPPS_to_TREW,2023,full-base-200,MW,130810.0,965378.0,SPPS,TREW,594.5912331781975,1623.6,220.0,base,base,carbon_price,
GenX,52.0,SRCA_to_SRCE,2023,full-base-200,MW,226220.0,226275.0,SRCA,SRCE,1047.313910703395,216.053,216.0,base,base,carbon_price,
GenX,53.0,SRCA_to_SRSE,2023,full-base-200,MW,1051339.0,1051384.0,SRCA,SRSE,750.9564568673488,1400.06,1400.0,base,base,carbon_price,
GenX,54.0,SRCE_to_SRSE,2023,full-base-200,MW,2585542.0,2585558.0,SRCE,SRSE,808.9930595294763,3196.02,3196.0,base,base,carbon_price,
GenX,55.0,TRE_to_TREW,2023,full-base-200,MW,11487357.0,11487357.0,TRE,TREW,694.9819646586291,16529.0,16529.0,base,base,carbon_price,
GenX,56.0,NWPP_to_SPPN,2023,full-base-200,MW,0.0,3884.0,NWPP,SPPN,2877.9361274282305,1.34952,0.0,base,base,carbon_price,
GenX,57.0,SRSG_to_TRE,2023,full-base-200,MW,0.0,3270.0,SRSG,TRE,1692.23667175099,1.93225,0.0,base,base,carbon_price,
GenX,1.0,BASN_to_CANO,2027,full-base-200,MW,0.0,,BASN,CANO,1613.3847128003597,,,base,base,carbon_price,3.75517e-05
GenX,2.0,BASN_to_CASO,2027,full-base-200,MW,655.0,,BASN,CASO,1052.8154002870249,,,base,base,carbon_price,0.621678
GenX,3.0,BASN_to_NWPP,2027,full-base-200,MW,2022.0,,BASN,NWPP,2143.6820330805017,,,base,base,carbon_price,0.943469
GenX,4.0,BASN_to_RMRG,2027,full-base-200,MW,122.0,,BASN,RMRG,1478.968739910536,,,base,base,carbon_price,0.0824565
GenX,5.0,BASN_to_SRSG,2027,full-base-200,MW,753.0,,BASN,SRSG,1196.8856954277987,,,base,base,carbon_price,0.629438
GenX,6.0,CANO_to_CASO,2027,full-base-200,MW,22.0,,CANO,CASO,678.496525078502,,,base,base,carbon_price,0.0320572
GenX,7.0,CANO_to_NWPP,2027,full-base-200,MW,509.0,,CANO,NWPP,1302.6110658309303,,,base,base,carbon_price,0.390766
GenX,8.0,CASO_to_NWPP,2027,full-base-200,MW,0.0,,CASO,NWPP,1859.1210098249192,,,base,base,carbon_price,3.52374e-05
GenX,9.0,CASO_to_SRSG,2027,full-base-200,MW,13.0,,CASO,SRSG,670.4280089248628,,,base,base,carbon_price,0.0189082
GenX,10.0,FRCC_to_SRSE,2027,full-base-200,MW,150.0,,FRCC,SRSE,930.705776696937,,,base,base,carbon_price,0.160708
GenX,11.0,ISNE_to_NYCW,2027,full-base-200,MW,1.0,,ISNE,NYCW,208.76319678780865,,,base,base,carbon_price,0.00452997
GenX,12.0,ISNE_to_NYUP,2027,full-base-200,MW,246.0,,ISNE,NYUP,422.4133412443229,,,base,base,carbon_price,0.581828
GenX,13.0,MISC_to_MISE,2027,full-base-200,MW,2011.0,,MISC,MISE,993.3851724175372,,,base,base,carbon_price,2.02422
GenX,14.0,MISC_to_MISS,2027,full-base-200,MW,44.0,,MISC,MISS,1432.2313664952487,,,base,base,carbon_price,0.0310198
GenX,15.0,MISC_to_MISW,2027,full-base-200,MW,8.0,,MISC,MISW,1370.4981771620598,,,base,base,carbon_price,0.00603979
GenX,16.0,MISC_to_PJMC,2027,full-base-200,MW,14.0,,MISC,PJMC,626.2046711986147,,,base,base,carbon_price,0.0228153
GenX,17.0,MISC_to_PJMW,2027,full-base-200,MW,36.0,,MISC,PJMW,636.7767278564246,,,base,base,carbon_price,0.0572945
GenX,18.0,MISC_to_SPPC,2027,full-base-200,MW,110.0,,MISC,SPPC,696.0754685319118,,,base,base,carbon_price,0.157832
GenX,19.0,MISC_to_SPPN,2027,full-base-200,MW,4233.0,,MISC,SPPN,919.2234841721058,,,base,base,carbon_price,4.60542
GenX,20.0,MISC_to_SPPS,2027,full-base-200,MW,45.0,,MISC,SPPS,1164.3004320004338,,,base,base,carbon_price,0.0388683
GenX,21.0,MISC_to_SRCE,2027,full-base-200,MW,46.0,,MISC,SRCE,807.5788459671032,,,base,base,carbon_price,0.0575762
GenX,22.0,MISE_to_MISW,2027,full-base-200,MW,2345.0,,MISE,MISW,1338.0895372438338,,,base,base,carbon_price,1.75231
GenX,23.0,MISE_to_PJMW,2027,full-base-200,MW,8.0,,MISE,PJMW,672.2944948093907,,,base,base,carbon_price,0.0122068
GenX,24.0,MISS_to_SPPC,2027,full-base-200,MW,5722.0,,MISS,SPPC,1264.309793619994,,,base,base,carbon_price,4.52606
GenX,25.0,MISS_to_SPPS,2027,full-base-200,MW,2017.0,,MISS,SPPS,1083.4402589451677,,,base,base,carbon_price,1.86196
GenX,26.0,MISS_to_SRCE,2027,full-base-200,MW,0.0,,MISS,SRCE,910.5740119711644,,,base,base,carbon_price,5.98354e-05
GenX,27.0,MISS_to_SRSE,2027,full-base-200,MW,11.0,,MISS,SRSE,825.7437764420143,,,base,base,carbon_price,0.01359
GenX,28.0,MISW_to_NWPP,2027,full-base-200,MW,30.0,,MISW,NWPP,14040.700523946523,,,base,base,carbon_price,0.00211085
GenX,29.0,MISW_to_PJMC,2027,full-base-200,MW,60.0,,MISW,PJMC,577.3769837220765,,,base,base,carbon_price,0.104408
GenX,30.0,MISW_to_SPPC,2027,full-base-200,MW,2083.0,,MISW,SPPC,1195.0293103479462,,,base,base,carbon_price,1.74306
GenX,31.0,MISW_to_SPPN,2027,full-base-200,MW,65.0,,MISW,SPPN,1014.1486283848258,,,base,base,carbon_price,0.0637194
GenX,32.0,NWPP_to_RMRG,2027,full-base-200,MW,23.0,,NWPP,RMRG,256.39318164425606,,,base,base,carbon_price,0.0893023
GenX,33.0,NYCW_to_NYUP,2027,full-base-200,MW,5.0,,NYCW,NYUP,319.03239545042265,,,base,base,carbon_price,0.0158653
GenX,34.0,NYCW_to_PJME,2027,full-base-200,MW,327707.0,,NYCW,PJME,81.02077938846139,,,base,base,carbon_price,4044.73
GenX,35.0,NYUP_to_PJME,2027,full-base-200,MW,235.0,,NYUP,PJME,316.61636032760543,,,base,base,carbon_price,0.741137
GenX,36.0,PJMC_to_PJMW,2027,full-base-200,MW,114.0,,PJMC,PJMW,484.9526117173539,,,base,base,carbon_price,0.234332
GenX,37.0,PJMD_to_PJME,2027,full-base-200,MW,21.0,,PJMD,PJME,139.26433395480618,,,base,base,carbon_price,0.150825
GenX,38.0,PJMD_to_PJMW,2027,full-base-200,MW,36.0,,PJMD,PJMW,493.7545177764829,,,base,base,carbon_price,0.0735478
GenX,39.0,PJMD_to_SRCA,2027,full-base-200,MW,9.0,,PJMD,SRCA,525.2547915890101,,,base,base,carbon_price,0.0177453
GenX,40.0,PJME_to_PJMW,2027,full-base-200,MW,16.0,,PJME,PJMW,482.9870637110515,,,base,base,carbon_price,0.0326978
GenX,41.0,PJMW_to_SRCA,2027,full-base-200,MW,26.0,,PJMW,SRCA,900.2912298442393,,,base,base,carbon_price,0.0283869
GenX,42.0,PJMW_to_SRCE,2027,full-base-200,MW,14.0,,PJMW,SRCE,542.940224506259,,,base,base,carbon_price,0.026102
GenX,43.0,RMRG_to_SPPC,2027,full-base-200,MW,1074.0,,RMRG,SPPC,936.6269837220768,,,base,base,carbon_price,1.14666
GenX,44.0,RMRG_to_SPPN,2027,full-base-200,MW,1162700.0,,RMRG,SPPN,780.5713741841813,,,base,base,carbon_price,1489.55
GenX,45.0,RMRG_to_SRSG,2027,full-base-200,MW,5066.0,,RMRG,SRSG,1451.9389962866967,,,base,base,carbon_price,3.48919
GenX,46.0,SPPC_to_SPPN,2027,full-base-200,MW,406856.0,,SPPC,SPPN,261.19343417595013,,,base,base,carbon_price,1557.68
GenX,47.0,SPPC_to_SPPS,2027,full-base-200,MW,23.0,,SPPC,SPPS,455.0277413171593,,,base,base,carbon_price,0.0502631
GenX,48.0,SPPN_to_SPPS,2027,full-base-200,MW,9518.0,,SPPN,SPPS,679.4249275747745,,,base,base,carbon_price,14.0087
GenX,49.0,SPPS_to_SRSG,2027,full-base-200,MW,281.0,,SPPS,SRSG,1530.6511537017682,,,base,base,carbon_price,0.183826
GenX,50.0,SPPS_to_TRE,2027,full-base-200,MW,346.0,,SPPS,TRE,501.3042951289656,,,base,base,carbon_price,0.689901
GenX,51.0,SPPS_to_TREW,2027,full-base-200,MW,834568.0,,SPPS,TREW,594.5912331781975,,,base,base,carbon_price,1403.6
GenX,52.0,SRCA_to_SRCE,2027,full-base-200,MW,56.0,,SRCA,SRCE,1047.313910703395,,,base,base,carbon_price,0.0534997
GenX,53.0,SRCA_to_SRSE,2027,full-base-200,MW,42.0,,SRCA,SRSE,750.9564568673488,,,base,base,carbon_price,0.0565067
GenX,54.0,SRCE_to_SRSE,2027,full-base-200,MW,14.0,,SRCE,SRSE,808.9930595294763,,,base,base,carbon_price,0.0172636
GenX,55.0,TRE_to_TREW,2027,full-base-200,MW,26.0,,TRE,TREW,694.9819646586291,,,base,base,carbon_price,0.0378473
GenX,56.0,NWPP_to_SPPN,2027,full-base-200,MW,3884.0,,NWPP,SPPN,2877.9361274282305,,,base,base,carbon_price,1.34952
GenX,57.0,SRSG_to_TRE,2027,full-base-200,MW,3270.0,,SRSG,TRE,1692.23667175099,,,base,base,carbon_price,1.93225
GenX,1.0,BASN_to_CANO,2030,full-base-200,MW,1092.0,,BASN,CANO,1613.3847128003597,,,base,base,carbon_price,0.677071
GenX,2.0,BASN_to_CASO,2030,full-base-200,MW,650.0,,BASN,CASO,1052.8154002870249,,,base,base,carbon_price,0.617823
GenX,3.0,BASN_to_NWPP,2030,full-base-200,MW,1807.0,,BASN,NWPP,2143.6820330805017,,,base,base,carbon_price,0.843076
GenX,4.0,BASN_to_RMRG,2030,full-base-200,MW,19309.0,,BASN,RMRG,1478.968739910536,,,base,base,carbon_price,13.0554
GenX,5.0,BASN_to_SRSG,2030,full-base-200,MW,318.0,,BASN,SRSG,1196.8856954277987,,,base,base,carbon_price,0.265784
GenX,6.0,CANO_to_CASO,2030,full-base-200,MW,3786.0,,CANO,CASO,678.496525078502,,,base,base,carbon_price,5.58008
GenX,7.0,CANO_to_NWPP,2030,full-base-200,MW,1454.0,,CANO,NWPP,1302.6110658309303,,,base,base,carbon_price,1.11647
GenX,8.0,CASO_to_NWPP,2030,full-base-200,MW,375.0,,CASO,NWPP,1859.1210098249192,,,base,base,carbon_price,0.201551
GenX,9.0,CASO_to_SRSG,2030,full-base-200,MW,1860947.0,,CASO,SRSG,670.4280089248628,,,base,base,carbon_price,2775.76
GenX,10.0,FRCC_to_SRSE,2030,full-base-200,MW,755.0,,FRCC,SRSE,930.705776696937,,,base,base,carbon_price,0.811008
GenX,11.0,ISNE_to_NYCW,2030,full-base-200,MW,45.0,,ISNE,NYCW,208.76319678780865,,,base,base,carbon_price,0.215626
GenX,12.0,ISNE_to_NYUP,2030,full-base-200,MW,2144626.0,,ISNE,NYUP,422.4133412443229,,,base,base,carbon_price,5077.08
GenX,13.0,MISC_to_MISE,2030,full-base-200,MW,1699513.0,,MISC,MISE,993.3851724175372,,,base,base,carbon_price,1710.83
GenX,14.0,MISC_to_MISS,2030,full-base-200,MW,1570.0,,MISC,MISS,1432.2313664952487,,,base,base,carbon_price,1.09651
GenX,15.0,MISC_to_MISW,2030,full-base-200,MW,25.0,,MISC,MISW,1370.4981771620598,,,base,base,carbon_price,0.0178974
GenX,16.0,MISC_to_PJMC,2030,full-base-200,MW,954.0,,MISC,PJMC,626.2046711986147,,,base,base,carbon_price,1.52283
GenX,17.0,MISC_to_PJMW,2030,full-base-200,MW,3354.0,,MISC,PJMW,636.7767278564246,,,base,base,carbon_price,5.26744
GenX,18.0,MISC_to_SPPC,2030,full-base-200,MW,3347343.0,,MISC,SPPC,696.0754685319118,,,base,base,carbon_price,4808.88
GenX,19.0,MISC_to_SPPN,2030,full-base-200,MW,1990496.0,,MISC,SPPN,919.2234841721058,,,base,base,carbon_price,2165.41
GenX,20.0,MISC_to_SPPS,2030,full-base-200,MW,4021750.0,,MISC,SPPS,1164.3004320004338,,,base,base,carbon_price,3454.22
GenX,21.0,MISC_to_SRCE,2030,full-base-200,MW,3693.0,,MISC,SRCE,807.5788459671032,,,base,base,carbon_price,4.57232
GenX,22.0,MISE_to_MISW,2030,full-base-200,MW,1450636.0,,MISE,MISW,1338.0895372438338,,,base,base,carbon_price,1084.11
