case,tech_type,planning_year,agg_zone,value,min,max
full-base-200,Battery,2027,CA,3816917.5,3398874.0,4180169.0
full-base-200,Battery,2027,MISO,70302.25,49232.0,85144.0
full-base-200,Battery,2027,NE,170264.5,112835.0,220244.0
full-base-200,Battery,2027,PJM,122077.75,109830.0,132996.0
full-base-200,Battery,2027,SOU,141386.25,127234.0,159990.0
full-base-200,Battery,2027,SPP,122910.0,110427.0,137262.0
full-base-200,Battery,2027,TRE,1888962.5,1778323.0,1999463.0
full-base-200,Battery,2027,WECC,554981.75,487931.0,659807.0
full-base-200,Battery,2030,CA,14112007.0,13398109.0,14640160.0
full-base-200,Battery,2030,MISO,249152.5,168765.0,459150.0
full-base-200,Battery,2030,NE,536740.25,461340.0,684364.0
full-base-200,Battery,2030,PJM,199161.75,127496.0,351360.0
full-base-200,Battery,2030,SOU,770412.5,675189.0,928750.0
full-base-200,Battery,2030,SPP,258085.75,168149.0,432503.0
full-base-200,Battery,2030,TRE,3394743.25,2988639.0,3933867.0
full-base-200,Battery,2030,WECC,2624036.75,2150817.0,3182281.0
full-base-200,Battery,2035,CA,15106916.0,14337406.0,15992969.0
full-base-200,Battery,2035,MISO,215905.0,133948.0,307648.0
full-base-200,Battery,2035,NE,3982172.0,3482715.0,4506884.0
full-base-200,Battery,2035,PJM,168114.5,72528.0,360548.0
full-base-200,Battery,2035,SOU,789025.0,695542.0,937157.0
full-base-200,Battery,2035,SPP,242668.5,168429.0,334598.0
full-base-200,Battery,2035,TRE,3756190.5,3257868.0,4861529.0
full-base-200,Battery,2035,WECC,3033189.25,2540572.0,4037835.0
full-base-200,Battery,2040,CA,2365623.0,118682.0,6263159.0
full-base-200,Battery,2040,MISO,209142.33333333334,7.0,454114.0
full-base-200,Battery,2040,NE,15127928.75,13532727.0,17835089.0
full-base-200,Battery,2040,PJM,2071346.25,128816.0,5981713.0
full-base-200,Battery,2040,SOU,176034.66666666666,14.0,443894.0
full-base-200,Battery,2040,SPP,111120.0,4.0,210692.0
full-base-200,Battery,2040,TRE,65586.66666666667,2.0,113809.0
full-base-200,Battery,2040,WECC,2871116.75,1028431.0,4870179.0
full-base-200,Battery,2045,CA,7571662.5,3948693.0,13122026.0
full-base-200,Battery,2045,MISO,3793092.5,1475241.0,5783289.0
full-base-200,Battery,2045,NE,22038796.0,19118448.0,24614443.0
full-base-200,Battery,2045,PJM,12911757.75,8678503.0,19211260.0
full-base-200,Battery,2045,SOU,1612042.0,191057.0,2536187.0
full-base-200,Battery,2045,SPP,190870.66666666666,4.0,459399.0
full-base-200,Battery,2045,TRE,135509.66666666666,3.0,324663.0
full-base-200,Battery,2045,WECC,19581253.25,13646522.0,25839989.0
full-base-200,Battery,2050,CA,21146854.25,16281406.0,27358131.0
full-base-200,Battery,2050,MISO,20182084.5,15994800.0,23894788.0
full-base-200,Battery,2050,NE,25783821.0,23840293.0,28289366.0
full-base-200,Battery,2050,PJM,26067809.5,21885005.0,30298877.0
full-base-200,Battery,2050,SOU,14286552.25,9815479.0,19501294.0
full-base-200,Battery,2050,SPP,6327904.0,5068977.0,7054451.0
full-base-200,Battery,2050,TRE,6781935.0,5922096.0,7915995.0
full-base-200,Battery,2050,WECC,43801635.75,37221755.0,55198464.0
full-base-200,CCS,2027,CA,1930.5,0.0,3861.0
full-base-200,CCS,2027,MISO,5538.0,0.0,11076.0
full-base-200,CCS,2027,NE,,,
full-base-200,CCS,2027,PJM,2123.0,0.0,4246.0
full-base-200,CCS,2027,SOU,3090.5,0.0,6181.0
full-base-200,CCS,2027,SPP,2723.0,0.0,5446.0
full-base-200,CCS,2027,TRE,1843.5,0.0,3687.0
full-base-200,CCS,2027,WECC,2461.0,0.0,4922.0
full-base-200,CCS,2030,CA,32847337.25,28664480.0,35855232.0
full-base-200,CCS,2030,MISO,72196007.5,66696777.0,78766788.0
full-base-200,CCS,2030,NE,,,
full-base-200,CCS,2030,PJM,117842057.75,115594000.0,119810027.0
full-base-200,CCS,2030,SOU,182373026.25,175821000.0,186966644.0
full-base-200,CCS,2030,SPP,142848.0,0.0,285696.0
full-base-200,CCS,2030,TRE,40040835.25,37017722.0,42346022.0
full-base-200,CCS,2030,WECC,104010.5,0.0,208021.0
full-base-200,CCS,2035,CA,91930993.25,86816400.0,95166717.0
