Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Var_OM_Cost_per_MWh_In,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,variable_CF
NY_Z_A_res_water_heat_1,2,0,1,9.8,NY_Z_A,res_water_heat,1,0.0,2.0,0.0,1.0,0.34607342067274854
NY_Z_B_res_water_heat_1,3,0,1,7.4,NY_Z_B,res_water_heat,1,0.0,2.0,0.0,1.0,0.34607342067274854
NY_Z_C&E_res_water_heat_1,4,0,1,14.7,NY_Z_C&E,res_water_heat,1,0.0,2.0,0.0,1.0,0.34607342067274854
NY_Z_D_res_water_heat_1,5,0,1,1.7,NY_Z_D,res_water_heat,1,0.0,2.0,0.0,1.0,0.34607342067274854
NY_Z_F_res_water_heat_1,6,0,1,9.0,NY_Z_F,res_water_heat,1,0.0,2.0,0.0,1.0,0.34607342067274854
NY_Z_G-I_res_water_heat_1,7,0,1,16.6,NY_Z_G-I,res_water_heat,1,0.0,2.0,0.0,1.0,0.34607342067274854
NY_Z_J_res_water_heat_1,8,0,1,59.6,NY_Z_J,res_water_heat,1,0.0,2.0,0.0,1.0,0.34607342067274854
NY_Z_K_res_water_heat_1,9,0,1,20.3,NY_Z_K,res_water_heat,1,0.0,2.0,0.0,1.0,0.34607342067274854
PJM_EMAC_res_water_heat_1,10,0,1,164.2,PJM_EMAC,res_water_heat,1,0.0,2.0,0.0,1.0,0.3337818280803511
PJM_Rest_res_water_heat_1,11,0,1,665.5,PJM_Rest,res_water_heat,1,0.0,2.0,0.0,1.0,0.3506865783744772
NENG_Rest_res_water_heat_1,1,0,1,122.8,NENG_Rest,res_water_heat,1,0.0,2.0,0.0,1.0,0.36325608067841925
NY_Z_A_trans_light_duty_1,2,0,1,240.2,NY_Z_A,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2763272028223388
NY_Z_B_trans_light_duty_1,3,0,1,182.0,NY_Z_B,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2763272028223388
NY_Z_C&E_trans_light_duty_1,4,0,1,360.2,NY_Z_C&E,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2763272028223388
NY_Z_D_trans_light_duty_1,5,0,1,41.6,NY_Z_D,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2763272028223388
NY_Z_F_trans_light_duty_1,6,0,1,220.1,NY_Z_F,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2763272028223388
NY_Z_G-I_trans_light_duty_1,7,0,1,407.2,NY_Z_G-I,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2763272028223388
NY_Z_J_trans_light_duty_1,8,0,1,1458.7,NY_Z_J,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2763272028223388
NY_Z_K_trans_light_duty_1,9,0,1,497.1,NY_Z_K,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2763272028223388
PJM_EMAC_trans_light_duty_1,10,0,1,4652.1,PJM_EMAC,trans_light_duty,1,0.0,5.0,0.0,1.0,0.26517484369129407
PJM_Rest_trans_light_duty_1,11,0,1,13706.4,PJM_Rest,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2734860159891179
NENG_Rest_trans_light_duty_1,1,0,1,3904.7,NENG_Rest,trans_light_duty,1,0.0,5.0,0.0,1.0,0.26001145818718446
