model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
GenX,BASN,BASN_batteries_1,Battery,2027,base_short_no_ccs,MW,935.8,935.8
GenX,BASN,BASN_biomass_1,Other,2027,base_short_no_ccs,MW,8.1,8.1
GenX,BASN,BASN_biomass_2,Other,2027,base_short_no_ccs,MW,20.6,20.6
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,base_short_no_ccs,MW,2489.6,2489.6
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2027,base_short_no_ccs,MW,1178.2,1178.2
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2027,base_short_no_ccs,MW,1822,1822
GenX,BASN,BASN_geothermal_1,Geothermal,2027,base_short_no_ccs,MW,462.4,462.4
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_no_ccs,MW,1018.3,1018.3
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_no_ccs,MW,7294,7294
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_no_ccs,MW,1946.8,1946.8
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_no_ccs,MW,236.2,236.2
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_no_ccs,MW,221.4,221.4
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_no_ccs,MW,468.5,468.5
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2027,base_short_no_ccs,MW,2030.1,2030.1
GenX,BASN,BASN_petroleum_liquids_1,Other,2027,base_short_no_ccs,MW,25.8,25.8
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2027,base_short_no_ccs,MW,173.1,173.1
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2027,base_short_no_ccs,MW,8006.2,8006.2
GenX,CANO,CANO_batteries_1,Battery,2027,base_short_no_ccs,MW,2650.6,2650.6
GenX,CANO,CANO_biomass_1,Other,2027,base_short_no_ccs,MW,156.2,156.2
GenX,CANO,CANO_biomass_2,Other,2027,base_short_no_ccs,MW,71.5,71.5
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,base_short_no_ccs,MW,7197.1,7197.1
GenX,CANO,CANO_geothermal_1,Geothermal,2027,base_short_no_ccs,MW,0,0
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2027,base_short_no_ccs,MW,2276.9,2276.9
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_no_ccs,MW,3112.8,3112.8
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_no_ccs,MW,8296.9,8296.9
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_no_ccs,MW,2248.7,2248.7
