model,line_name,planning_year,case,unit,value
SWITCH,PJMC_to_MISC,2027,current_policies_52_week_retire,MW,0.0
SWITCH,PJMC_to_PJMW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,PJMC_to_MISW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,PJME_to_NYUP,2027,current_policies_52_week_retire,MW,4224.96488
SWITCH,PJME_to_PJMW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,PJME_to_NYCW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,PJME_to_PJMD,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISE_to_MISC,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISE_to_PJMW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISE_to_MISW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,ISNE_to_NYUP,2027,current_policies_52_week_retire,MW,708.1465499999999
SWITCH,ISNE_to_NYCW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_SPPC,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_PJMW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_SRCE,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_SPPS,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_MISS,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_SPPN,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_MISW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,CANO_to_BASN,2027,current_policies_52_week_retire,MW,0.0
SWITCH,CANO_to_CASO,2027,current_policies_52_week_retire,MW,0.0
SWITCH,CANO_to_NWPP,2027,current_policies_52_week_retire,MW,0.0
SWITCH,TREW_to_TRE,2027,current_policies_52_week_retire,MW,0.0
SWITCH,TREW_to_SPPS,2027,current_policies_52_week_retire,MW,3021.53161
SWITCH,SPPC_to_SPPS,2027,current_policies_52_week_retire,MW,0.0
SWITCH,SPPC_to_MISS,2027,current_policies_52_week_retire,MW,0.0
SWITCH,SPPC_to_SPPN,2027,current_policies_52_week_retire,MW,1411.2135899999998
SWITCH,SPPC_to_MISW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,FRCC_to_SRSE,2027,current_policies_52_week_retire,MW,0.0
SWITCH,TRE_to_SPPS,2027,current_policies_52_week_retire,MW,1158.45846
SWITCH,SRCA_to_PJMW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,SRCA_to_SRCE,2027,current_policies_52_week_retire,MW,0.0
SWITCH,SRCA_to_PJMD,2027,current_policies_52_week_retire,MW,0.0
SWITCH,SRCA_to_SRSE,2027,current_policies_52_week_retire,MW,0.0
SWITCH,NYUP_to_NYCW,2027,current_policies_52_week_retire,MW,713.4691400000002
SWITCH,PJMW_to_SRCE,2027,current_policies_52_week_retire,MW,0.0
SWITCH,PJMW_to_PJMD,2027,current_policies_52_week_retire,MW,0.0
SWITCH,BASN_to_RMRG,2027,current_policies_52_week_retire,MW,0.0
SWITCH,BASN_to_CASO,2027,current_policies_52_week_retire,MW,0.0
SWITCH,BASN_to_NWPP,2027,current_policies_52_week_retire,MW,0.0
SWITCH,BASN_to_SRSG,2027,current_policies_52_week_retire,MW,0.0
SWITCH,SRCE_to_MISS,2027,current_policies_52_week_retire,MW,0.0
SWITCH,SRCE_to_SRSE,2027,current_policies_52_week_retire,MW,0.0
SWITCH,SPPS_to_MISS,2027,current_policies_52_week_retire,MW,3131.3705200000004
SWITCH,SPPS_to_SRSG,2027,current_policies_52_week_retire,MW,130.42648000000008
SWITCH,SPPS_to_SPPN,2027,current_policies_52_week_retire,MW,808.55558
SWITCH,RMRG_to_NWPP,2027,current_policies_52_week_retire,MW,0.0
SWITCH,RMRG_to_SRSG,2027,current_policies_52_week_retire,MW,0.0
SWITCH,MISS_to_SRSE,2027,current_policies_52_week_retire,MW,0.0
SWITCH,CASO_to_NWPP,2027,current_policies_52_week_retire,MW,0.0
SWITCH,CASO_to_SRSG,2027,current_policies_52_week_retire,MW,0.0
SWITCH,SPPN_to_MISW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,NWPP_to_SPPN,2027,current_policies_52_week_retire,MW,0.0
SWITCH,NWPP_to_MISW,2027,current_policies_52_week_retire,MW,0.0
SWITCH,RMRG_to_SPPN,2027,current_policies_52_week_retire,MW,2050.93463
SWITCH,RMRG_to_SPPC,2027,current_policies_52_week_retire,MW,671.46253
SWITCH,SRSG_to_TRE,2027,current_policies_52_week_retire,MW,0.0
SWITCH,PJMC_to_MISC,2030,current_policies_52_week_retire,MW,0.0
SWITCH,PJMC_to_PJMW,2030,current_policies_52_week_retire,MW,0.0
SWITCH,PJMC_to_MISW,2030,current_policies_52_week_retire,MW,0.0
SWITCH,PJME_to_NYUP,2030,current_policies_52_week_retire,MW,1760.99892
SWITCH,PJME_to_PJMW,2030,current_policies_52_week_retire,MW,0.0
SWITCH,PJME_to_NYCW,2030,current_policies_52_week_retire,MW,0.0
SWITCH,PJME_to_PJMD,2030,current_policies_52_week_retire,MW,638.89482
SWITCH,MISE_to_MISC,2030,current_policies_52_week_retire,MW,0.0
SWITCH,MISE_to_PJMW,2030,current_policies_52_week_retire,MW,0.0
SWITCH,MISE_to_MISW,2030,current_policies_52_week_retire,MW,0.0
SWITCH,ISNE_to_NYUP,2030,current_policies_52_week_retire,MW,3055.4703000000004
SWITCH,ISNE_to_NYCW,2030,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_SPPC,2030,current_policies_52_week_retire,MW,1951.8255199999999
SWITCH,MISC_to_PJMW,2030,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_SRCE,2030,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_SPPS,2030,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_MISS,2030,current_policies_52_week_retire,MW,0.0
SWITCH,MISC_to_SPPN,2030,current_policies_52_week_retire,MW,4.96991
SWITCH,MISC_to_MISW,2030,current_policies_52_week_retire,MW,0.0
SWITCH,CANO_to_BASN,2030,current_policies_52_week_retire,MW,0.0
