region,marginal_price,total_demand,planning_year,model,case,scenario,configuration,child_scenario
BASN,41.1,104415840.0,2027,GenX,full-base-200,base,base,carbon_price
CASO,43.4,106247405.0,2027,GenX,full-base-200,base,base,carbon_price
CANO,44.8,164112380.0,2027,GenX,full-base-200,base,base,carbon_price
FRCC,41.9,254835658.0,2027,GenX,full-base-200,base,base,carbon_price
ISNE,52.0,132079030.0,2027,GenX,full-base-200,base,base,carbon_price
MISC,41.8,186790489.0,2027,GenX,full-base-200,base,base,carbon_price
MISE,45.0,102056388.0,2027,GenX,full-base-200,base,base,carbon_price
MISS,40.2,175440371.0,2027,GenX,full-base-200,base,base,carbon_price
MISW,39.3,225553160.0,2027,GenX,full-base-200,base,base,carbon_price
NWPP,41.5,195981047.0,2027,GenX,full-base-200,base,base,carbon_price
NYCW,53.2,76993625.0,2027,GenX,full-base-200,base,base,carbon_price
NYUP,34.9,70257166.0,2027,GenX,full-base-200,base,base,carbon_price
PJMC,40.7,118765758.0,2027,GenX,full-base-200,base,base,carbon_price
PJMD,44.7,110841999.0,2027,GenX,full-base-200,base,base,carbon_price
PJME,41.0,289082184.0,2027,GenX,full-base-200,base,base,carbon_price
PJMW,42.7,310165370.0,2027,GenX,full-base-200,base,base,carbon_price
RMRG,37.0,88883482.0,2027,GenX,full-base-200,base,base,carbon_price
SPPC,38.9,78239307.0,2027,GenX,full-base-200,base,base,carbon_price
SPPN,36.8,49626459.0,2027,GenX,full-base-200,base,base,carbon_price
SPPS,36.3,122178131.0,2027,GenX,full-base-200,base,base,carbon_price
SRCA,45.6,218636717.0,2027,GenX,full-base-200,base,base,carbon_price
SRCE,41.6,214888614.0,2027,GenX,full-base-200,base,base,carbon_price
SRSE,42.8,242597067.0,2027,GenX,full-base-200,base,base,carbon_price
SRSG,41.2,137828950.0,2027,GenX,full-base-200,base,base,carbon_price
TRE,37.0,426645124.0,2027,GenX,full-base-200,base,base,carbon_price
TREW,33.2,19988250.0,2027,GenX,full-base-200,base,base,carbon_price
BASN,66.3,117622650.0,2030,GenX,full-base-200,base,base,carbon_price
CASO,70.8,115510879.0,2030,GenX,full-base-200,base,base,carbon_price
CANO,73.7,178550343.0,2030,GenX,full-base-200,base,base,carbon_price
FRCC,71.3,263664150.0,2030,GenX,full-base-200,base,base,carbon_price
ISNE,91.5,149354094.0,2030,GenX,full-base-200,base,base,carbon_price
MISC,66.1,200796305.0,2030,GenX,full-base-200,base,base,carbon_price
MISE,72.4,108618551.0,2030,GenX,full-base-200,base,base,carbon_price
MISS,64.9,185407544.0,2030,GenX,full-base-200,base,base,carbon_price
MISW,63.8,244560055.0,2030,GenX,full-base-200,base,base,carbon_price
NWPP,60.4,213747716.0,2030,GenX,full-base-200,base,base,carbon_price
NYCW,97.6,83015898.0,2030,GenX,full-base-200,base,base,carbon_price
NYUP,73.4,74762455.0,2030,GenX,full-base-200,base,base,carbon_price
PJMC,68.5,125041636.0,2030,GenX,full-base-200,base,base,carbon_price
PJMD,79.8,116835353.0,2030,GenX,full-base-200,base,base,carbon_price
PJME,84.6,308414943.0,2030,GenX,full-base-200,base,base,carbon_price
PJMW,70.1,328889729.0,2030,GenX,full-base-200,base,base,carbon_price
RMRG,54.4,100288099.0,2030,GenX,full-base-200,base,base,carbon_price
SPPC,60.3,83557695.0,2030,GenX,full-base-200,base,base,carbon_price
SPPN,58.3,54220969.0,2030,GenX,full-base-200,base,base,carbon_price
SPPS,57.2,131322851.0,2030,GenX,full-base-200,base,base,carbon_price
SRCA,73.9,228687588.0,2030,GenX,full-base-200,base,base,carbon_price
SRCE,66.6,225061849.0,2030,GenX,full-base-200,base,base,carbon_price
SRSE,71.6,255962582.0,2030,GenX,full-base-200,base,base,carbon_price
SRSG,64.8,147664933.0,2030,GenX,full-base-200,base,base,carbon_price
TRE,60.9,442846698.0,2030,GenX,full-base-200,base,base,carbon_price
TREW,55.2,20819394.0,2030,GenX,full-base-200,base,base,carbon_price
BASN,57.6,154373402.0,2035,GenX,full-base-200,base,base,carbon_price
CASO,60.8,141559023.0,2035,GenX,full-base-200,base,base,carbon_price
CANO,63.4,219102255.0,2035,GenX,full-base-200,base,base,carbon_price
FRCC,62.1,305390926.0,2035,GenX,full-base-200,base,base,carbon_price
ISNE,91.3,185912448.0,2035,GenX,full-base-200,base,base,carbon_price
MISC,54.6,243790194.0,2035,GenX,full-base-200,base,base,carbon_price
MISE,60.1,126030936.0,2035,GenX,full-base-200,base,base,carbon_price
MISS,54.6,223677305.0,2035,GenX,full-base-200,base,base,carbon_price
