Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0,Total
Zone,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,11,0
AnnualSum,6.194376583604856e-6,5.083269335865792e-5,932.8156734736538,7.762432706466477e-5,0.00017622900558752087,1.1013647590968818e-6,0.00010190178253349491,0.0001286200561531372,0.00010207748328711751,0.00021381398942290898,0.0,1.9701246188335583e-5,1.4508027163979952e-6,41.95318614273853,4.186933454392436e-5,1.7845101975690495e-6,3.4352873278551075e-5,0.00016488933029434197,673.8322233193413,0.0001428384627130999,0.0,64.33942298786617,0.0002685892047248873,0.0001268575615905303,0.00022175878358290734,156.1613735913705,9.513986718123078,0.00024017819270668916,0.00012990089432569232,0.0001719749404900653,86.92566135731147,0.00017938774811043459,0.00013340068234417649,0.0,272.3054288361299,531.6774842095487,7.5296545365813e-6,0.00013951466911468635,7.681062981950015e-5,2.052705546606889e-5,1.1868653169321267e-6,7.922687099739949e-7,355.7007374677872,1295.987867675243,1714.4490558744424,1782.028925902874,2045.0157635938142,9.31617676993301e-5,0.0002369567885891534,1.6983650290115745e-6,7.491567623502094e-6,4.201077709492671e-5,1.090462643198236e-6,5.437311489980446e-6,9.08998304795081e-6,4.630040639012248e-5,1.2251656358481098e-6,5.275519200178443e-6,1.1084465085467965e-5,4.329012395726268e-5,1.129477808834155e-6,5.448600993342169e-6,8.743546044271801e-6,4.347122208668713e-5,1.1133223524309295e-6,5.329210396561832e-6,7.488460016293281e-6,4.6651280076278146e-5,1.114669268893928e-6,5.798061706467427e-6,9.241825618991727e-6,4.3018201084820806e-5,1.234579268025618e-6,6.163122131686761e-6,1.2216790688954308e-5,4.065868379337005e-5,1.2146006621940032e-6,6.521063882269531e-6,7.47536603519913e-6,3.915732709695796e-5,9.699290035679721e-7,5.009514773236876e-6,8.539603145830203e-6,4.0097345641663016e-5,1.0545316875407754e-6,5.333527771816731e-6,8.31451280805754e-6,4.2287174928096155e-5,1.0303010098984793e-6,5.221476841796466e-6,6.674709724104987e-6,9.793156668086688e-6,4.777282473148292e-5,1.108659842877032e-6,6.8398633155884435e-6,9962.710762190272
t1,3.943345451681411e-10,1.603385147893486e-9,6.552511729033421e-10,3.532708397801826e-9,8.614571683306753e-9,7.318765280698458e-11,3.0872787071019818e-9,6.635295363442916e-9,4.401277655504696e-9,5.083760334877808e-9,0.0,1.6646973757013526e-9,1.437570125433149e-10,2.2791398125572022e-9,2.1238781265878238e-9,1.1515343986596177e-10,1.1326858382205619e-9,3.1027422079936603e-9,8.772660328553134e-10,2.9555189669146274e-9,0.0,3.810619144407166e-10,1.3161567116670358e-8,8.644775478397856e-9,1.3240838802366412e-8,3.856251012961757e-9,4.2823818286693596e-10,1.2851607079234604e-8,5.242842784847903e-9,3.888716758015083e-9,1.0431040999875508e-9,9.428921390734766e-9,5.360171007185223e-9,0.0,1.878047588476018e-9,4.1997527464606655e-10,4.4546623746343236e-10,6.512164077989961e-9,3.5043003047674034e-9,1.1945303599995516e-9,7.220121655635516e-11,6.713187721791517e-11,6.195360598067259e-10,3.142658308946017e-9,5.912542237179913e-10,2.1889408067048338e-8,3.5951520415904184e-9,6.254011512167654e-9,1.3314639403893444e-8,1.3837079381238964e-10,4.441221843670836e-10,2.1305341716239477e-9,1.0248432455557113e-10,4.0217391460488874e-10,5.10091587585754e-10,2.760649425129765e-9,1.2808320921805527e-10,4.3661337568582087e-10,4.808986570299436e-10,2.6379736460954255e-9,1.1534178407638246e-10,4.2103398436312926e-10,4.5131087358433956e-10,2.51422418915109e-9,1.1188033549535315e-10,4.025578078565706e-10,4.5000991000029323e-10,2.510588048970703e-9,1.1244464245699201e-10,4.161848418934567e-10,4.4985364647395195e-10,2.5033432629358346e-9,1.2056314257091e-10,4.23227904278115e-10,4.4714856278182065e-10,2.496343285700909e-9,1.1856027701095128e-10,4.24600892738235e-10,4.3650399478240353e-10,2.500409706857654e-9,9.884027653712856e-11,3.884077641815128e-10,4.317212395991805e-10,2.3838877993938857e-9,1.032976844189728e-10,3.924755434348235e-10,4.612325045605218e-10,2.255212407512379e-9,9.9885482365066e-11,4.1523990167302353e-10,5.448899755901389e-10,6.068550433588392e-10,3.180257930315495e-9,1.2328763694725844e-10,5.45059900313667e-10,2.2913313912993381e-7
t2,3.9500202707497823e-10,1.5908558978252094e-9,6.571051769943247e-10,3.554852076016297e-9,8.577012159118264e-9,7.324915461598511e-11,2.9802311193439264e-9,6.629420136088907e-9,4.4527220497574195e-9,4.9153628018496465e-9,0.0,1.6520991175998828e-9,1.4335979499027466e-10,2.2536976543653847e-9,2.1147222264606577e-9,1.1364301512994875e-10,1.1235656488476534e-9,3.01752909371998e-9,8.630102900653863e-10,2.880556983977583e-9,0.0,3.770219715686065e-10,1.2894341469554649e-8,8.572137651065588e-9,1.3343311036110502e-8,3.797884734389875e-9,4.262220152001787e-10,1.2891989669620037e-8,5.194878951170998e-9,3.855824886908653e-9,1.0457483053400637e-9,9.43378437486056e-9,5.332521020831937e-9,0.0,1.8522051044995877e-9,4.281606518012012e-10,4.4094303956661756e-10,6.472969215697113e-9,3.4882629600036723e-9,1.1982047345793914e-9,7.28637695023201e-11,6.784343454530538e-11,6.197927748006293e-10,3.0773532478401646e-9,5.914961639055582e-10,2.1732990707866086e-8,3.530294123773345e-9,6.273510822110634e-9,1.3225580258785163e-8,1.387313426659644e-10,4.542092452839224e-10,2.143845498214952e-9,1.0261088443393408e-10,4.009909246839655e-10,5.136570648352737e-10,2.7380091064868917e-9,1.2699943831910185e-10,4.264492575316086e-10,4.863843955860305e-10,2.622761640794556e-9,1.1464069779282709e-10,4.148280310840293e-10,4.576453762123992e-10,2.505563566085101e-9,1.1131375567380745e-10,3.984398165063528e-10,4.5511389177446604e-10,2.4978223342072617e-9,1.1175957067530403e-10,4.0979866457349587e-10,4.5590300545178754e-10,2.495193907110806e-9,1.1988546837607279e-10,4.175200969399645e-10,4.5359818076876173e-10,2.493807485998478e-9,1.18125923882308e-10,4.190680043965622e-10,4.4326462309730075e-10,2.504660129398635e-9,9.867568577909477e-11,3.863314726695455e-10,4.4029936985735695e-10,2.3957843071078765e-9,1.0339252027162797e-10,3.920878356541886e-10,4.702409767889705e-10,2.2696847252728594e-9,1.019096386148519e-10,4.1752646731485933e-10,5.396859785228437e-10,6.199527794040429e-10,3.175328242627703e-9,1.250682419178481e-10,5.370926666422766e-10,2.27851795757028e-7
t3,3.9747579980404553e-10,1.5890834116017725e-9,6.627344070861656e-10,3.594021123423542e-9,8.591321658376158e-9,7.374072694401405e-11,2.889587222308547e-9,6.636904995887623e-9,4.5344944945036296e-9,4.769156424736669e-9,0.0,1.6417093840889881e-9,1.4321425755513154e-10,2.238950272614644e-9,2.112042568723222e-9,1.1262536328012068e-10,1.1189416628745802e-9,2.9479470339659887e-9,8.540939458183273e-10,2.820535937585041e-9,0.0,3.7514099378126724e-10,1.267306697438554e-8,8.516689445689605e-9,1.3467503222710316e-8,3.759909532678688e-9,4.2600040057666493e-10,1.2923581248826151e-8,5.169653728810108e-9,3.833304119816168e-9,1.049488029641751e-9,9.435234016372095e-9,5.318671854255472e-9,0.0,1.8340568074873246e-9,4.336798113215305e-10,4.3563978497490596e-10,6.441847565061026e-9,3.4724523606086715e-9,1.2025073693030092e-9,7.286681556552804e-11,6.805860027247437e-11,6.199989287577095e-10,3.0031914819276226e-9,5.881095098377998e-10,2.155880797057874e-8,3.458395140558302e-9,6.251453076403242e-9,1.3063116623487228e-8,1.3675209881435552e-10,4.683022484167375e-10,2.1674929007450073e-9,1.0307477964370822e-10,4.020047715124861e-10,5.212721943667702e-10,2.722971494970702e-9,1.2618077181665798e-10,4.1788217944698096e-10,4.962769545317583e-10,2.6139322837682177e-9,1.1418826701373876e-10,4.0965542418371067e-10,4.684557830068376e-10,2.5048275087286658e-9,1.1099527114260128e-10,3.9569361932485715e-10,4.6387246996028666e-10,2.493719415582219e-9,1.11383242448727e-10,4.051588354247206e-10,4.669399645585194e-10,2.4948096237365654e-9,1.195448210152378e-10,4.135604560331544e-10,4.657151470199975e-10,2.4977919502951406e-9,1.1799037192149953e-10,4.1452289390028995e-10,4.542654948534838e-10,2.514774676617562e-9,9.867661098058757e-11,3.8557905852738584e-10,4.537400295035548e-10,2.4121022531055626e-9,1.0344901834123597e-10,3.9206270776658863e-10,4.832176469768939e-10,2.288778421735769e-9,1.0206016252804929e-10,4.18026970986575e-10,5.340377266908995e-10,6.328986763475551e-10,3.17778178548753e-9,1.2443287849684156e-10,5.290856994694697e-10,2.2693094366661288e-7
t4,3.9933621408668774e-10,1.5787750230086655e-9,6.667762015953767e-10,3.6325113509897174e-9,8.542349112943539e-9,7.420226349305153e-11,2.792786061021334e-9,6.641732608352028e-9,4.617615806880259e-9,4.609221492500749e-9,0.0,1.63118018318555e-9,1.4299228458267403e-10,2.2194523201885986e-9,2.108657186562225e-9,1.1155501650287033e-10,1.1129127410576375e-9,2.85904572052011e-9,8.429339229970058e-10,2.743032597687892e-9,0.0,3.723364129590173e-10,1.2403689524119602e-8,8.458291739875767e-9,1.359283913552496e-8,3.706793657216839e-9,4.245900205488494e-10,1.2793853056478329e-8,5.132159903556545e-9,3.795794741055047e-9,1.0506441065976336e-9,9.35259161131325e-9,5.278841850944886e-9,0.0,1.8191843425434296e-9,4.387137313786618e-10,4.298770550316107e-10,6.408400592003525e-9,3.4520485871224413e-9,1.2085085692623092e-9,7.275486095009109e-11,6.82058719700112e-11,6.202421451264208e-10,2.9302160971845996e-9,5.843054131974121e-10,2.1395562145367756e-8,3.380128778487629e-9,6.202788173666243e-9,1.2855536994916089e-8,1.3477997866172614e-10,4.823909706102062e-10,2.1913037922976817e-9,1.0351193902172363e-10,4.007302978492045e-10,5.290795504250259e-10,2.7070513035293188e-9,1.2531081684052098e-10,4.080486667288023e-10,5.069750160320477e-10,2.6046488918894657e-9,1.1369949669912127e-10,4.032949207198628e-10,4.796646976755288e-10,2.502587356759997e-9,1.1059649936641019e-10,3.9112357131441e-10,4.72718669871541e-10,2.4886768673232634e-9,1.1096451608578328e-10,3.9874539121369816e-10,4.78378858962924e-10,2.492521103912186e-9,1.191182288646314e-10,4.078202470005852e-10,4.783251758459651e-10,2.498673344696557e-9,1.178129917838209e-10,4.082708529584575e-10,4.655535617430255e-10,2.520655830153135e-9,9.85695014690236e-11,3.830737870924888e-10,4.678671227736019e-10,2.425138175654802e-9,1.0349749355900175e-10,3.900722276971936e-10,4.991617204765594e-10,2.313624731066569e-9,1.0231598925566012e-10,4.1834072594888354e-10,5.285447727166343e-10,6.467220581278195e-10,3.185863901809819e-9,1.2381736871641066e-10,5.199220401640746e-10,2.2541553224992004e-7
t5,4.006043155495233e-10,1.5598543992088335e-9,6.689757902913098e-10,3.671031704351637e-9,8.424844397866689e-9,7.460661786048272e-11,2.691604719726021e-9,6.645267210251001e-9,4.703423976503917e-9,4.432440664817675e-9,0.0,1.620338505738219e-9,1.4272896887585797e-10,2.1951640818739997e-9,2.1048463058920806e-9,1.1043043687531872e-10,1.105441969803379e-9,2.750703939172871e-9,8.291246214967354e-10,2.648288042908721e-9,0.0,3.6833417588657445e-10,1.2089327598091756e-8,8.39737618294418e-9,1.3720923320757169e-8,3.636661762791321e-9,4.212403319771446e-10,1.2486962004504567e-8,5.0816600974752045e-9,3.743145730270659e-9,1.0490513614569683e-9,9.177529138752245e-9,5.2099256913097094e-9,0.0,1.796822403435942e-9,4.408152179526121e-10,4.226864986301418e-10,6.348153094574217e-9,3.4094637714434686e-9,1.2148554036444931e-9,7.234184857227029e-11,6.81686811591043e-11,6.204811530456661e-10,2.8555996946370794e-9,5.797079667744747e-10,2.1229354450316938e-8,3.294229050583901e-9,6.119259964774752e-9,1.258764093821906e-8,1.328523008352807e-10,4.963658588020884e-10,2.213130863058218e-9,1.03897401531442e-10,3.9697792819991363e-10,5.37084409715887e-10,2.6896638913800468e-9,1.2437907468200205e-10,3.9694766657738524e-10,5.181877509541168e-10,2.5930640597354594e-9,1.13102852326278e-10,3.953595844833598e-10,4.910077169670312e-10,2.4980569838382294e-9,1.1003657128553544e-10,3.844824841886058e-10,4.812850173072449e-10,2.4812677232415933e-9,1.1042712676227222e-10,3.903995202144798e-10,4.900078916885593e-10,2.487854072770025e-9,1.1853252848439305e-10,4.0014179784536985e-10,4.912778371900984e-10,2.495624398816712e-9,1.1751481183423999e-10,3.9953947175455964e-10,4.767646132644071e-10,2.5210975883077007e-9,9.83692501178655e-11,3.7856766687143214e-10,4.825641608151393e-10,2.4343110046137326e-9,1.0351361026015341e-10,3.858448246409439e-10,5.158501416005579e-10,2.327041867490303e-9,1.0275592583313932e-10,4.168210507939442e-10,5.231793884760846e-10,6.605005913793798e-10,3.1873685511391847e-9,1.2330587642967476e-10,5.094186583684134e-10,2.2312718256991834e-7
t6,4.018552143214993e-10,1.5353791744674114e-9,6.695572501734158e-10,3.7118716372004223e-9,8.24692659205863e-9,7.503805466446194e-11,2.5882786247942716e-9,6.651228809659317e-9,4.7908389922561515e-9,4.235818756071886e-9,0.0,1.6089430643638033e-9,1.4235815210599496e-10,2.1668961831939453e-9,2.1004678360653717e-9,1.0934397780575071e-10,1.0955795539433316e-9,2.6208974846352586e-9,8.119687542625875e-10,2.5360654952367463e-9,0.0,3.6187901188095446e-10,1.1725052754690511e-8,8.330142529583456e-9,1.3843246449926265e-8,3.5430495302086243e-9,4.1403073930421336e-10,1.1991956433373335e-8,5.016607606978306e-9,3.675943752769626e-9,1.044708045864776e-9,8.911278524477238e-9,5.112437202708891e-9,0.0,1.7665385517092988e-9,4.3614423168820587e-10,4.1464828871105123e-10,6.264068862398632e-9,3.3472468246438043e-9,1.2220387620069642e-9,7.175022835186442e-11,6.815288027697463e-11,6.205687908922709e-10,2.7846973776958433e-9,5.746537969165757e-10,2.1078045130838138e-8,3.2006514336593834e-9,6.00401288080191e-9,1.2268092591729439e-8,1.31427763691876e-10,5.100660858515162e-10,2.236542868399375e-9,1.0440656819019321e-10,3.908569080272972e-10,5.447514145230559e-10,2.667110354471048e-9,1.2347181433962006e-10,3.846880785088911e-10,5.298186566151053e-10,2.576091798331612e-9,1.1233798639394043e-10,3.851441083657038e-10,5.018371740617414e-10,2.4893974645929468e-9,1.0923629741299552e-10,3.751928466945535e-10,4.887398110551267e-10,2.468796520140667e-9,1.0964568180554246e-10,3.795989663187501e-10,5.014960227025906e-10,2.480108638458093e-9,1.1782382399502363e-10,3.901332534325307e-10,5.054534998788983e-10,2.4881479019306144e-9,1.169811667535392e-10,3.893876936091113e-10,4.872306663208537e-10,2.5143067818674834e-9,9.836522839947623e-11,3.7138765029290463e-10,4.976876029360547e-10,2.440315118905041e-9,1.0352668726340001e-10,3.791567198840959e-10,5.326989932927768e-10,2.3404728745553685e-9,1.0333794281812897e-10,4.139017661186496e-10,5.116907808387348e-10,6.754753812896795e-10,3.1849407127954958e-9,1.232894699259508e-10,4.969419089381497e-10,2.2007437427636104e-7
t7,4.1197160747767455e-10,1.5701225026275007e-9,6.925890850006112e-10,3.832403107636576e-9,8.353012603154334e-9,7.7723652864995e-11,2.5873627431495823e-9,6.774503922790929e-9,4.9531493544068066e-9,4.227172036318242e-9,0.0,1.615954031649202e-9,1.4503510317815596e-10,2.2152604775265572e-9,2.139562905996976e-9,1.1401319321087137e-10,1.1197692192652535e-9,2.6081381218139756e-9,8.266349274084931e-10,2.5367898992696217e-9,0.0,3.6875919628306147e-10,1.1734131130185883e-8,8.375743667747706e-9,1.41230284160742e-8,3.583041014116012e-9,4.390038995335018e-10,1.1890859760475155e-8,5.11369235864493e-9,3.753155413888396e-9,1.0761990504933311e-9,8.956104042592335e-9,5.205161035764551e-9,0.0,1.7943892244699193e-9,4.61861593674353e-10,4.1412215340706975e-10,6.339232017140555e-9,3.3782523942240558e-9,1.241976931674853e-9,7.536028574212428e-11,7.031445868062433e-11,6.207768013283886e-10,2.702911992747022e-9,5.670330686206603e-10,2.0930902823305813e-8,3.097215309490556e-9,5.8381610448328095e-9,1.1852750269325838e-8,1.2911647910860918e-10,5.323287546050418e-10,2.3063595772562685e-9,1.0664909162738513e-10,3.980980431794445e-10,5.664432280889779e-10,2.7309353199367475e-9,1.2385852085348004e-10,3.869210766206119e-10,5.539582802642575e-10,2.643736824708642e-9,1.1312861728098335e-10,3.8793520333962915e-10,5.249445703428481e-10,2.552945868307479e-9,1.1011101643005902e-10,3.7819015304394314e-10,5.0931163023978e-10,2.5377725940768206e-9,1.1034996226513274e-10,3.815156716432502e-10,5.248560084182603e-10,2.5386439602122943e-9,1.1902053309994305e-10,3.936074701496274e-10,5.300358197036633e-10,2.547030892001628e-9,1.184650999879308e-10,3.8739989499639326e-10,5.097332358560075e-10,2.5776603737109983e-9,9.934273141953287e-11,3.7517149437812665e-10,5.238363887208193e-10,2.509706538417902e-9,1.0474524341031943e-10,3.847189464407489e-10,5.587717357488008e-10,2.439537987821313e-9,1.0415047119182946e-10,4.203887688938363e-10,5.048542642872853e-10,6.916113332243006e-10,3.243111685336697e-9,1.2178756886585388e-10,4.88520707871596e-10,2.2170662748659513e-7
t8,4.360429758300441e-10,1.7012234387271254e-9,7.518726777551345e-10,4.080914156855362e-9,8.972016556527977e-9,8.20759521945587e-11,2.8090441511547993e-9,7.130988875161835e-9,5.288499862414124e-9,4.60862569696342e-9,0.0,1.6530267994801834e-9,1.5007920092496093e-10,2.4134519837048347e-9,2.258604614613261e-9,1.1921964721745688e-10,1.2048856751748356e-9,2.849844786727317e-9,9.024363869951083e-10,2.772522471944326e-9,0.0,4.03076713908932e-10,1.2554592004203372e-8,8.599676435165122e-9,1.4609462609974343e-8,3.9201624965109904e-9,4.73019646972131e-10,1.2818842628935e-8,5.5229244938928726e-9,4.084607892483693e-9,1.1699293375525594e-9,9.582708363726946e-9,5.635250684614423e-9,0.0,1.9847337277972295e-9,5.124457257465604e-10,4.359753010460296e-10,6.880063168128387e-9,3.691814087572021e-9,1.2922466863960654e-9,8.020984904621777e-11,7.359928988544208e-11,6.210808751282345e-10,2.615111982138196e-9,5.582303214811209e-10,2.0775243753725658e-8,2.982557001445636e-9,5.61140727059033e-9,1.1354586541577691e-8,1.2840137033020615e-10,5.676728255274824e-10,2.4484270183901013e-9,1.0991235393454188e-10,4.2471333252496016e-10,6.053899870369049e-10,2.8845284557424616e-9,1.2795763049066248e-10,4.1430649321335335e-10,5.937702634516498e-10,2.78849566484702e-9,1.1654243399345115e-10,4.1549386823632753e-10,5.618737938991457e-10,2.6984639934299007e-9,1.1345942063326677e-10,4.0548028384716795e-10,5.42352615382531e-10,2.684207005204742e-9,1.1373333428586711e-10,4.094365055356216e-10,5.625416871939348e-10,2.6830712753333115e-9,1.2283991164917602e-10,4.236452818949549e-10,5.704723270844984e-10,2.6898969436789627e-9,1.2215007157736078e-10,4.2387425780149337e-10,5.457426199407035e-10,2.7188024907455473e-9,1.0201219754768847e-10,4.0260133758698016e-10,5.630140934515049e-10,2.6490188315190146e-9,1.0784957856638059e-10,4.1227936702597223e-10,6.004793883506907e-10,2.5583111077740423e-9,1.0700362406446789e-10,4.474195676258974e-10,4.862753258912944e-10,7.05186911831527e-10,3.220076485509554e-9,1.2203192348357552e-10,4.714429288935886e-10,2.3200159298597136e-7
t9,4.622970417162972e-10,1.847631813613255e-9,8.209540304688122e-10,4.3622970157470985e-9,9.599829845682216e-9,8.674973364812455e-11,3.062360049388096e-9,7.536380858570619e-9,5.6772311452939265e-9,5.041214078003245e-9,0.0,1.692915671866547e-9,1.5554565181606242e-10,2.6505623196890554e-9,2.3941853382144433e-9,1.2565999950625833e-10,1.3059293645512337e-9,3.1138369139441342e-9,9.950737729967372e-10,3.041200451045638e-9,0.0,4.4531879531615585e-10,1.3444904748225728e-8,8.844882219068415e-9,1.5155351034733494e-8,4.313059957632788e-9,5.170847062247338e-10,1.3683396675781822e-8,5.9951189616492896e-9,4.467870913894779e-9,1.2822374605145987e-9,1.0192498501027687e-8,6.11232753708819e-9,0.0,2.208208850231902e-9,5.666968827020689e-10,4.576404536956116e-10,7.476453207194962e-9,4.031988937672641e-9,1.3451173418822546e-9,8.497541571556975e-11,7.689381750145669e-11,6.832008127412397e-10,2.8276677332667944e-9,6.111313596126487e-10,2.2288546352914414e-8,3.221801795200983e-9,5.8526209842990345e-9,1.2054637271221423e-8,1.3478651636007972e-10,6.059870408267876e-10,2.6056168656534648e-9,1.133115075985642e-10,4.51801887137728e-10,6.497117879702246e-10,3.0559614949141664e-9,1.3201303487703652e-10,4.424503060295862e-10,6.399513800692871e-10,2.9509449338491257e-9,1.2010661370427805e-10,4.448458635954567e-10,6.039001048486081e-10,2.8612054135592415e-9,1.1693346323992112e-10,4.3406578487809475e-10,5.786242876762074e-10,2.849473012209725e-9,1.1732109076730417e-10,4.3911891598918834e-10,6.056923941887189e-10,2.843578058344397e-9,1.269053427855682e-10,4.562124767912046e-10,6.171349703368167e-10,2.847347899730553e-9,1.2633353623791182e-10,4.5865487735774326e-10,5.853456581866794e-10,2.8702688425794247e-9,1.0470481515400976e-10,4.3057209038913895e-10,6.074308412298946e-10,2.800771986993326e-9,1.109964120396643e-10,4.4079834127409225e-10,6.484677755562774e-10,2.742094080195838e-9,1.0925042434991022e-10,4.759949790750838e-10,5.170937866103901e-10,7.608121554380076e-10,3.452995138397123e-9,1.2489725429353805e-10,5.07929205124173e-10,2.4793390247118605e-7
