Resource,region,technology,cluster,R_ID,Zone,Num_VRE_Bins,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,LDS,CapRes_1,CapRes_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,ESR_1,MinCapTag_1,CapRes_9,CapRes_6,MinCapTag_4,Retro3_Source,MinCapTag_5,ESR_7,ESR_14,CapRes_10,ESR_4,ESR_6,ESR_3,ESR_9,MinCapTag_3,ESR_8,gen_is_variable,ESR_2,CapRes_8,ESR_13,CapRes_7,ESR_12,CapRes_4,ESR_11,CapRes_3,CapRes_5,ESR_10,ESR_16,ESR_5,Retro3_Efficiency,ESR_15,MinCapTag_2,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW,Capital_Recovery_Period,WACC,Lifetime,old_Inv_Cost_per_MWyr,old_Inv_Cost_per_MWhyr,old_capex_mw,old_capex_mwh,original_Fixed_OM_Cost_per_MWyr,original_Fixed_OM_Cost_per_MWhyr
BASN_batteries_1,BASN,Batteries,1,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0,0,1924.77,935.8,0.0,16.0,935.808,-1,58.49,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,7476,0.0,0,0,0.15,0.15,0,0,0.0,0.0,9.21,0.0,0.0,None,0.0,0.0,0.92,0.92,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.95,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,7476,0
BASN_biomass_2,BASN,Biomass,2,3,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,20.54,0.0,21.0,32.004,-1,0.98,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,157220,0.0,0,0,3.52,0.0,0,0,172.0,0.0,9.43,1.518,1.237,waste_biomass,0.469,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,157220,0
BASN_conventional_hydroelectric_1,BASN,Conventional Hydroelectric,1,4,1,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0.0,2489.6,0.0,45.0,2489.58,-1,55.32,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,47048,0.0,0,0,0.0,0.0,0,0,0.0,0.0,8.84,0.0,0.053,None,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3892699601891015,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.8,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,47048,0
BASN_conventional_steam_coal_1,BASN,Conventional Steam Coal,1,5,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1178.2,0.0,4.0,1178.2,-1,294.55,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,71499,0.0,0,0,1.88,0.0,0,0,124.0,16.5,10.57,0.845,0.638,mountain_coal,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.095,0.19,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,24,24,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,71499,0
BASN_conventional_steam_coal_2,BASN,Conventional Steam Coal,2,6,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1822.0,0.0,4.0,1822.0,-1,455.5,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,61341,0.0,0,0,1.88,0.0,0,0,124.0,16.5,10.34,0.447,0.35,mountain_coal,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.095,0.19,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,24,24,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,61341,0
BASN_geothermal_1,BASN,Geothermal,1,7,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,461.94,0.0,60.0,893.52,-1,7.71,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,209101,0.0,0,0,0.0,0.0,0,0,0.0,0.0,8.94,0.0,0.158,None,0.259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,209101,0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas Fired Combined Cycle,1,8,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1018.3,0.0,8.0,1018.304,-1,127.29,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,16492,0.0,0,0,4.55,0.0,0,0,92.0,2.0,8.25,0.762,0.763,mountain_naturalgas,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,16492,0
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas Fired Combined Cycle,2,9,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,7294.0,0.0,15.0,7294.005,-1,486.27,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,10628,0.0,0,0,3.59,0.0,0,0,92.0,2.0,7.56,0.521,0.622,mountain_naturalgas,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,10628,0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas Fired Combustion Turbine,1,10,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,1946.8,0.0,31.0,1946.8,-1,62.8,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,10311,0.0,0,0,6.8,0.0,0,0,119.0,3.5,12.06,1.172,1.77,mountain_naturalgas,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,10311,0
BASN_natural_gas_fired_combustion_turbine_2,BASN,Natural Gas Fired Combustion Turbine,2,11,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,358.3,0.0,20.0,236.2,-1,11.81,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,13412,0.0,0,0,6.8,0.0,0,0,119.0,3.5,11.14,2.211,2.058,mountain_naturalgas,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.106666667,0.213333333,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0.0,0.0,13412,0
