Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0,Total
Zone,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,11,0
AnnualSum,2.4766220208750712e-5,0.00016867060265746267,16.628894595532426,0.00020354634031066228,0.0004620474022721311,3.856247236952199e-6,0.00029919690251060737,0.00038181745674710163,0.00021089646956503006,0.00038956384327712223,0.0,6.65222469829934e-5,1.0814567665970898e-5,0.00048697429598874793,8.985076641555986e-5,6.957910704967181e-6,0.00010618926503675445,0.0003366009995813311,312.1140485802108,0.00036358258690490314,0.0,36.00003653194396,0.0009925183812025838,0.00044022491931197064,0.0008098871005062168,639.9988124628507,138.77119880209662,0.0007886628480675502,380.4057057333183,83.99519059176089,74.00017687423345,0.0005017283396013129,0.0003357420782446717,0.0,0.00012909751648101575,3.3904375729180107,2.670293128044285e-5,0.0004277219764140588,0.0002488285963472413,6.907504267971282e-5,4.813472682994675e-6,3.3640900209116712e-6,2.382348032062471e-5,161.67236223617306,13.56561573104929,33.00147986516237,1304.761867507146,0.00032006531394022426,0.0007805196281084608,4.696190343271914e-6,5.7101826838096527e-5,0.00010834668149279152,3.062067966040332e-6,2.1235768357327422e-5,4.079067895911351e-5,0.00020010323458156222,4.519944172792603e-6,2.847854456046e-5,2.733262337058288e-5,0.00017824703777190532,5.106902495730041e-6,1.93280520992066e-5,3.1069394097946344e-5,0.0001454721732720608,3.900976272448507e-6,2.029171937519238e-5,3.0659545758870834e-5,0.00014530722805839065,5.682628900982734e-6,2.2522043424983036e-5,2.6147585771990733e-5,0.00014384629732986948,3.936912525049022e-6,1.932940631920309e-5,3.8809108163634815e-5,0.0001809640037610162,4.5125760493309456e-6,2.9008942093090856e-5,3.0056248774153182e-5,0.00013951826624544202,3.2709538102970363e-6,2.3585899256829525e-5,4.9321270023622756e-5,0.00015404778203017777,3.4418760584408834e-6,2.1515608426910128e-5,5.5050128999482466e-5,0.00013826395842067262,3.27797257203256e-6,2.6356860234416252e-5,2.545523400106153e-5,3.7156595427409677e-5,0.00013598721511176782,3.966694460806894e-6,2.9160910406880653e-5,3198.3177709578026
t1,2.6592432316942985e-9,1.9618103037068657e-8,3.49579447509487e-8,2.459756426204232e-8,5.627643189445972e-8,4.167682249436002e-10,4.90489848797781e-8,5.2998597321173087e-8,3.194969567035949e-8,7.176561739301142e-8,0.0,8.946791630914314e-9,1.2450198377234852e-9,1.130770182304417e-7,1.3213099387887378e-8,7.842043772649864e-10,1.9425693265403205e-8,6.685420853163619e-8,3.255098143816686e-8,5.578893370184125e-8,0.0,7.534849197888472e-9,1.097736848308852e-7,4.53282873507675e-8,8.296264338087567e-8,5.203067029427391e-7,8.060519502624306e-8,7.90150671060116e-8,5.429687859389099e-8,9.48221815820408e-8,9.343632652311424e-8,5.902085869913893e-8,4.257250377774854e-8,0.0,1.3586932858942078e-8,3.795276076026677e-9,2.6384538816644963e-9,4.365895395982323e-8,2.4918326058887176e-8,6.557523440401207e-9,5.14358200086128e-10,4.3828275594131606e-10,4.059515088955624e-9,2.39053895606429e-8,2.362897528062033e-8,1.215906641045732e-7,2.5560635088089573e-8,3.179013492866259e-8,7.00278013997881e-8,6.140691901873552e-10,9.18314398648003e-9,1.4069923916520359e-8,3.9655904208536036e-10,2.606106275224127e-9,5.715112892636049e-9,2.8993909401260222e-8,5.982464908429109e-10,3.745563411416102e-9,3.4250356811497788e-9,2.6614757621205608e-8,6.819278330555516e-10,2.353508201029459e-9,3.943039634360286e-9,1.857257535379987e-8,4.981169339443935e-10,2.4637129299139496e-9,3.72709071037193e-9,1.8421200670597693e-8,6.685466452314741e-10,2.7848485728770822e-9,3.2188953855469233e-9,1.791356510441106e-8,4.990926595189089e-10,2.328376419835832e-9,5.299714521285873e-9,2.4601880263649314e-8,5.966909735375766e-10,3.658001239045753e-9,3.887954531177711e-9,1.7489295192557095e-8,4.21401678895345e-10,2.9222675804147435e-9,6.043056552548319e-9,1.98956941530828e-8,4.4231172042472964e-10,2.641523630901342e-9,5.747170236621335e-9,1.6302262098055644e-8,4.09983923384391e-10,3.3125113554623486e-9,3.173486945604045e-9,5.463612387972025e-9,1.7260756070853598e-8,5.49978941802696e-10,3.867001179430954e-9,2.6405447829014175e-6
t2,2.6621998763728797e-9,1.9884123776031414e-8,3.602571918837238e-8,2.4625325396200903e-8,5.625316830903801e-8,4.169358840830982e-10,4.7272190463631864e-8,5.269474740737956e-8,3.1154370701551314e-8,6.912599234435993e-8,0.0,8.922528680243549e-9,1.2275968541061668e-9,1.0491162639785511e-7,1.3114558113562839e-8,7.732677768026072e-10,1.8983686326153086e-8,6.277595112676207e-8,2.9320597962689257e-8,5.412636563666479e-8,0.0,7.054738670060777e-9,1.0931960153709852e-7,4.522011036601992e-8,8.277308226001662e-8,4.577298688126163e-7,7.134768349011812e-8,7.870171259548393e-8,5.423889500212211e-8,9.35127625081949e-8,8.369720887779146e-8,5.869509538534698e-8,4.234175009444406e-8,0.0,1.3648101610848285e-8,3.810222915668583e-9,2.6497158018486156e-9,4.3743958785273754e-8,2.5001193590089075e-8,6.564905519979328e-9,5.124918473332513e-10,4.369105095175495e-10,3.922602403143714e-9,2.3372357378476347e-8,2.1011027873051947e-8,1.196841896291958e-7,2.502147559786153e-8,3.1530507041083445e-8,6.88485648886245e-8,6.032314278896213e-10,8.889610173992896e-9,1.4148614398030654e-8,3.9678951780885146e-10,2.6092937298649637e-9,5.517002173219478e-9,2.8723732339259374e-8,5.919472644547142e-10,3.668352384608733e-9,3.3783232123237166e-9,2.6515875257022494e-8,6.739628319703283e-10,2.3321517157155616e-9,3.866266762918691e-9,1.8493399245017062e-8,4.937729541970126e-10,2.439508347699425e-9,3.654219978803108e-9,1.8302451283511326e-8,6.586077458908868e-10,2.739149569890453e-9,3.1932103258246946e-9,1.7946656241705217e-8,4.960371044584022e-10,2.322704681274772e-9,5.178105241799354e-9,2.459455274764752e-8,5.915602629399206e-10,3.627491739499113e-9,3.842294245701039e-9,1.7471764268954008e-8,4.179368571393534e-10,2.9029233656129877e-9,5.864182655597761e-9,1.9908652758772926e-8,4.397165541998912e-10,2.629455778980404e-9,5.774817738469049e-9,1.628678806717441e-8,4.087132057901482e-10,3.314962541190481e-9,3.1236241405984526e-9,5.2838317032699265e-9,1.7029266963934054e-8,5.460290146381251e-10,3.785691068781344e-9,2.5243389188012128e-6
t3,2.66701338766197e-9,2.0308108522513106e-8,3.8823130580969984e-8,2.4699222593377906e-8,5.645081087220704e-8,4.1648223238176607e-10,4.5813994032241416e-8,5.2460200789752204e-8,3.043290482960506e-8,6.719340765836843e-8,0.0,8.900888182820364e-9,1.2117669407445807e-9,1.0189378794173954e-7,1.3050197487813872e-8,7.640863252053154e-10,1.8736328311271527e-8,6.0760568324386e-8,2.7592075710185848e-8,5.355997766128842e-8,0.0,6.8314020392104216e-9,1.0958880017667477e-7,4.5182902570845444e-8,8.264387177169661e-8,4.891342496218644e-7,7.836668900077108e-8,7.869488397940054e-8,5.440734581488627e-8,9.472545518135246e-8,8.812253573054951e-8,5.870863108052426e-8,4.2426827347967204e-8,0.0,1.365655241584543e-8,3.815189989239e-9,2.603579052809702e-9,4.377774340503844e-8,2.5007514932779368e-8,6.570165061598137e-9,5.104663649765966e-10,4.355350279036581e-10,3.798889765275174e-9,2.2896985463234188e-8,1.8974959096776154e-8,1.177990367137412e-7,2.4564300212550157e-8,3.1288245055511215e-8,6.774681178147078e-8,5.940862929560236e-10,8.876187333051591e-9,1.4249612333268012e-8,3.9661884921194986e-10,2.620621799721845e-9,5.348881350415865e-9,2.8567704317690698e-8,5.861565017815532e-10,3.602292697004604e-9,3.3430513422156774e-9,2.6598045453728844e-8,6.668426769637431e-10,2.312623167280911e-9,3.821753853796315e-9,1.8578650748544672e-8,4.896360458161787e-10,2.4182496561842875e-9,3.609835068943197e-9,1.83269467244266e-8,6.507976121221988e-10,2.7020824588590587e-9,3.181646336397136e-9,1.8097610806087648e-8,4.933177831563384e-10,2.314387987940421e-9,5.122585945917209e-9,2.472108984050986e-8,5.869598134724449e-10,3.6173354947838483e-9,3.82549059024067e-9,1.7544345366251827e-8,4.1519033617102267e-10,2.8895822963004866e-9,5.795340330311191e-9,2.001384728544627e-8,4.376457647081321e-10,2.6218139228281927e-9,5.792899759403998e-9,1.6464102136062787e-8,4.072232806357219e-10,3.315936261602965e-9,3.0819154923926998e-9,5.117500707056279e-9,1.6879003941782588e-8,5.41824525523629e-10,3.718710278451459e-9,2.5533725036064454e-6
t4,2.6717006706596808e-9,2.0853782627189046e-8,4.304563723434918e-8,2.4813909331164644e-8,5.682504934514716e-8,4.1514768711672467e-10,4.4871124295764415e-8,5.233341257178092e-8,2.984660637617435e-8,6.61197858345151e-8,0.0,8.885642886255529e-9,1.2005351197755671e-9,1.0039502343897157e-7,1.3007980267801682e-8,7.564952535403803e-10,1.859010576931516e-8,5.965005374383195e-8,2.7171778715124045e-8,5.3603874049788306e-8,0.0,6.742117743458277e-9,1.1028899258489972e-7,4.519852124970124e-8,8.25797719136608e-8,5.434551808700252e-7,8.963325723616083e-8,7.904980635872411e-8,5.480633346428651e-8,9.736475120449122e-8,9.595605856955992e-8,5.90067796901871e-8,4.276718572173634e-8,0.0,1.367017543383748e-8,3.828677368665224e-9,2.612479846182733e-9,4.3828498791333484e-8,2.5012850248045167e-8,6.5773309238374605e-9,5.084233379372913e-10,4.341656705420094e-10,3.7075559080542542e-9,2.255989296683954e-8,1.7556484255307427e-8,1.1618355006386177e-7,2.4214722899282737e-8,3.1105600989683426e-8,6.687633057206596e-8,5.868563597570263e-10,8.963926556900432e-9,1.4385154703750405e-8,3.9667574438576224e-10,2.6337514475082077e-9,5.220400996077958e-9,2.845620437401768e-8,5.816904135992935e-10,3.556212257372983e-9,3.323304232103699e-9,2.665170028190563e-8,6.620518998964256e-10,2.3002000103441136e-9,3.797725807676948e-9,1.8634763392596808e-8,4.867548845971483e-10,2.4028471809680855e-9,3.583784700824269e-9,1.833251697704461e-8,6.456648758616649e-10,2.674087519040376e-9,3.180115029503502e-9,1.8203821080734576e-8,4.917760389705161e-10,2.307975195037708e-9,5.101661588487407e-9,2.4872715016244873e-8,5.840194009438348e-10,3.6211710930276183e-9,3.8299189384964555e-9,1.7639722574480716e-8,4.1345994522111903e-10,2.8873831989471225e-9,5.779348041035161e-9,2.015876561355403e-8,4.3662682280869164e-10,2.6204964541634133e-9,5.814076192397336e-9,1.660286077861377e-8,4.056239864307058e-10,3.319459222389644e-9,3.0536560422902093e-9,4.993278142902434e-9,1.67791018382195e-8,5.379849856562861e-10,3.6729016372362062e-9,2.6261673345746545e-6
t5,2.6828003576822927e-9,2.1767245021377438e-8,5.1621173107980106e-8,2.5033866821005426e-8,5.7686009374421634e-8,4.1193273132386184e-10,4.533799210097861e-8,5.2478778209805473e-8,2.965355904772039e-8,6.692596593820536e-8,0.0,8.886495964996192e-9,1.1971949645552872e-9,1.048511900516488e-7,1.301342579170384e-8,7.52584133972962e-10,1.8732146242855217e-8,6.109019390214667e-8,2.9044656927133335e-8,5.5462317968814986e-8,0.0,6.979011614789873e-9,1.1214704410692312e-7,4.530818305375148e-8,8.261069719332718e-8,8.839209296957602e-7,1.6315911368062464e-7,8.01681223146067e-8,5.5759066461657114e-8,1.0378688767167403e-7,1.1916964671518222e-7,5.9807083913572e-8,4.357930501663021e-8,0.0,1.3546927109927925e-8,3.772367618876647e-9,2.6085641598578104e-9,4.367393561461513e-8,2.4839488237417775e-8,6.570569428005005e-9,5.046994478695568e-10,4.3160316290902697e-10,3.624193365759438e-9,2.225368924426691e-8,1.6372668673970885e-8,1.1464542686236002e-7,2.3892037901472802e-8,3.089660969230135e-8,6.602669412163005e-8,5.794104423557976e-10,9.372946428959428e-9,1.454160216096918e-8,3.9606186956697284e-10,2.6539637387646243e-9,5.203210106604861e-9,2.8472910425747384e-8,5.795891526297561e-10,3.5464012082759996e-9,3.3353307968637143e-9,2.6762518036102845e-8,6.612023270026494e-10,2.2987623339831727e-9,3.81569220691486e-9,1.872890055469475e-8,4.860541528801036e-10,2.394893540477563e-9,3.595388605761728e-9,1.839404856794033e-8,6.446119258638736e-10,2.661981865814881e-9,3.2013100114203678e-9,1.8345363131563007e-8,4.922263020175828e-10,2.3049243140566487e-9,5.179152433581301e-9,2.5103440162759185e-8,5.838627493308906e-10,3.653787691188878e-9,3.879310745830265e-9,1.7788481196511655e-8,4.1319519717497317e-10,2.898663007636314e-9,5.890505151939343e-9,2.0350905783711346e-8,4.3723677521295293e-10,2.627182391341331e-9,5.787366703231436e-9,1.6639319527667658e-8,4.0337951775674454e-10,3.3041439610079754e-9,3.0289348139856266e-9,4.881651676650286e-9,1.664595440956551e-8,5.338284148544057e-10,3.6307374093242845e-9,3.093814438665561e-6
t6,2.7069149092951113e-9,2.2915159020135487e-8,7.05914047601422e-8,2.533548617569787e-8,5.884923401886581e-8,4.0486021711841825e-10,4.595009692954105e-8,5.264928388573992e-8,2.9493077655612845e-8,6.802077732106015e-8,0.0,8.888616860368079e-9,1.1954545077761176e-9,1.1000963001251825e-7,1.3028278937548991e-8,7.485048531356671e-10,1.8916810491970105e-8,6.28478234149499e-8,3.134638006406098e-8,5.771335910678252e-8,0.0,7.283240237978797e-9,1.1432668878708053e-7,4.5427307145542855e-8,8.263805321800175e-8,2.805995159258228e-6,1.5841921601536166e-6,8.16196713005066e-8,5.690661627359752e-8,1.1162366044729219e-7,1.6024680435854992e-7,6.08015585283143e-8,4.456524411281064e-8,0.0,1.3408353245642863e-8,3.7074751466201547e-9,2.6028424175356123e-9,4.3470563705503717e-8,2.465737956207454e-8,6.563718383627334e-9,5.016552727328148e-10,4.2975230064980207e-10,3.5457463685028724e-9,2.195838104107924e-8,1.526813063545911e-8,1.131692580345237e-7,2.3586787287874265e-8,3.063533592097876e-8,6.513621825896762e-8,5.714518463159035e-10,9.886084630090419e-9,1.4785567680537168e-8,3.9506572992612384e-10,2.6995189490721994e-9,5.2011356847462055e-9,2.845895666902584e-8,5.806923415074749e-10,3.5476886856632343e-9,3.3527235600422165e-9,2.684518343066689e-8,6.648669704096622e-10,2.3010724280982163e-9,3.8434367147682e-9,1.8828493107974966e-8,4.887248344840648e-10,2.3951410344022675e-9,3.614198687214973e-9,1.8451763655688905e-8,6.483109066936676e-10,2.6580014697947954e-9,3.2286587903870635e-9,1.8487022990329143e-8,4.960997427158096e-10,2.308598395869047e-9,5.279572117884327e-9,2.5325347821001916e-8,5.875696815488071e-10,3.7040312478107777e-9,3.942755073968473e-9,1.7956957049010884e-8,4.1550208053703814e-10,2.923481471061372e-9,6.033121052817991e-9,2.0561560268301532e-8,4.4074742304081337e-10,2.645773284098302e-9,5.739243304833214e-9,1.675421410458703e-8,4.0210094762625074e-10,3.2929616999152184e-9,2.9915212690778836e-9,4.790030530695079e-9,1.6558939009870263e-8,5.307978754345734e-10,3.5761801314810114e-9,6.5250697809266384e-6
t7,2.6984014285575803e-9,2.368563913996764e-8,9.339563929144671e-8,2.5581197954634582e-8,5.968782885389085e-8,3.8862387191312495e-10,4.5474767471417315e-8,5.261838544384476e-8,2.90438024874731e-8,6.722809503770816e-8,0.0,8.874608833250188e-9,1.1913963221635062e-9,1.0765055020415466e-7,1.2999428603502419e-8,7.413903001164678e-10,1.8811564114012703e-8,6.178123356112639e-8,3.065765070842356e-8,5.779426714521092e-8,0.0,7.217980840593961e-9,1.1533807575966825e-7,4.543980163440398e-8,8.252710535518886e-8,7.498918578868191e-6,0.657048526576189,8.230100588093352e-8,5.7421130161813115e-8,1.1470941977680911e-7,1.827743751761094e-7,6.120985044044476e-8,4.500433667015243e-8,0.0,1.3237349494292909e-8,3.6152700794219265e-9,2.5968347424726733e-9,4.320548281943551e-8,2.443128164404345e-8,6.553010673479631e-9,4.97912954108556e-10,4.2754994218923066e-10,3.473876788064575e-9,2.1685628813715615e-8,1.4135069971587792e-8,1.1184365225523277e-7,2.327737262908755e-8,3.031360810982342e-8,6.425577300306741e-8,5.619797174829793e-10,1.007753337245741e-8,1.4725427238374575e-8,3.9806911349238097e-10,2.770697999174071e-9,5.121040246230335e-9,2.8164800555125876e-8,5.828004486972034e-10,3.5192072419751046e-9,3.3375725944320447e-9,2.6670439557720524e-8,6.705133480442851e-10,2.286241879578197e-9,3.829204099975088e-9,1.879994515394178e-8,4.934797469793647e-10,2.3828566833392254e-9,3.597537731602073e-9,1.8382057194943025e-8,6.545934265383363e-10,2.6406624093880477e-9,3.2293729081147064e-9,1.849698160054372e-8,5.020070307484363e-10,2.2998619459220895e-9,5.284048540407571e-9,2.5310399438842805e-8,5.931423270783467e-10,3.7210512948789138e-9,3.9615841541027116e-9,1.7984542733188998e-8,4.191220637495152e-10,2.929791698636823e-9,6.034560902956527e-9,2.0598656432963327e-8,4.4557093587104897e-10,2.646061262701708e-9,5.661619750457358e-9,1.6879994173676934e-8,4.005494365384663e-10,3.2741122590426295e-9,2.9349800493929716e-9,4.720746184034704e-9,1.644705784334765e-8,5.269293679593467e-10,3.5003862248975084e-9,0.6570582017617843
t8,2.6259848948466474e-9,2.405719001677087e-8,8.227083952742249e-8,2.5464473706668038e-8,6.014224221506009e-8,4.426567275861016e-10,4.4802521835040195e-8,5.2569706778141e-8,2.8535005027430264e-8,6.613486533106957e-8,0.0,8.866816445762375e-9,1.1931791236807623e-9,1.0092266932655182e-7,1.2975526562080897e-8,7.138853367368364e-10,1.856187191976019e-8,5.929640796057755e-8,2.8657522092436233e-8,5.670341841180707e-8,0.0,6.967036570012632e-9,1.157983943628531e-7,4.5382053328581943e-8,8.232943588186213e-8,2.247856804747392e-6,8.698360655917863e-7,8.275039548318666e-8,5.764189495156178e-8,1.1434868273398465e-7,1.515470456676204e-7,6.143161861167765e-8,4.5267453676768545e-8,0.0,1.364987482642705e-8,3.6949112444567997e-9,2.6464014221958945e-9,4.4019188484505465e-8,2.510674381238788e-8,6.587996236863722e-9,5.009200055692298e-10,4.29573384852837e-10,3.4580640805990404e-9,2.1778275671171685e-8,1.3396657583612461e-8,1.1136283207968422e-7,2.3067230346328854e-8,3.003128921335781e-8,6.38594217062808e-8,5.545554344701801e-10,9.583982204862951e-9,1.4157453967551145e-8,4.026120806593689e-10,2.703513630691401e-9,5.029601652901626e-9,2.7748339245802678e-8,5.858394545050952e-10,3.4898086031019343e-9,3.31833505112959e-9,2.6377251854830993e-8,6.777620446174514e-10,2.2748237823743137e-9,3.7961405807052014e-9,1.8707745357982275e-8,4.997211749004999e-10,2.375588524787445e-9,3.565584739399013e-9,1.8225001420221353e-8,6.6237617319845e-10,2.6255749284707675e-9,3.220090142401383e-9,1.8443475154617445e-8,5.097330047393739e-10,2.296968578527674e-9,5.245212671478981e-9,2.516624121674312e-8,6.012828439804842e-10,3.725852590290609e-9,3.9592197199925466e-9,1.794345330411796e-8,4.2372580117488976e-10,2.9362320614168867e-9,5.9595496899167995e-9,2.058243472026127e-8,4.5123555969674344e-10,2.6518098542107506e-9,5.930505824095829e-9,1.693479885097852e-8,4.004538469307453e-10,3.338529110963541e-9,2.9022900781991826e-9,4.757202857058804e-9,1.6397526856564947e-8,5.239440010117049e-10,3.4516416797184744e-9,5.2357980668712635e-6
t9,2.6070056579442136e-9,2.3575461457699715e-8,5.218910613598932e-8,2.5487005752375388e-8,5.969267662311962e-8,4.3038914839796347e-10,4.2751688619519386e-8,5.212180202829939e-8,2.766347369752996e-8,6.312779547945059e-8,0.0,8.852322137139818e-9,1.1966306069607373e-9,8.511381765883758e-8,1.2895870350354231e-8,7.072809583456659e-10,1.836536403245211e-8,5.734482221276952e-8,2.2592929281091083e-8,5.2866061998219965e-8,0.0,6.426953529300539e-9,1.1500241042987601e-7,4.5323192520252146e-8,8.204214670870886e-8,5.670459103501722e-7,7.813926120865206e-8,8.209867609369306e-8,5.705715202009001e-8,1.0873934837579725e-7,9.304803316329121e-8,6.13036598585691e-8,4.523754547845023e-8,0.0,1.3723661027882318e-8,3.7229288995232745e-9,2.660751303210291e-9,4.372502487961825e-8,2.5113133532578147e-8,6.590562987895716e-9,4.990984274004632e-10,4.2951422205194195e-10,3.862440099568933e-9,2.6000900663192364e-8,1.564771978148635e-8,1.2711553741727665e-7,2.377118857512636e-8,3.171741295319346e-8,6.957866470335349e-8,5.751615434981428e-10,8.803391663935872e-9,1.4373236889831472e-8,4.0069779576544406e-10,2.670748885905871e-9,4.851440180632426e-9,2.7354697688388793e-8,5.96977008135572e-10,3.432386871841918e-9,3.272964679412579e-9,2.6026364029348045e-8,6.847679528139047e-10,2.258972437043406e-9,3.7238414312073224e-9,1.8566038472377094e-8,5.063474444016069e-10,2.365069877058925e-9,3.5476232791689357e-9,1.8224946852070486e-8,6.718492402763009e-10,2.630109574224223e-9,3.1808792311616275e-9,1.8328351042219603e-8,5.178434852178765e-10,2.2867288253828457e-9,5.11081906934964e-9,2.51446903732341e-8,6.101447620586206e-10,3.7004917096463615e-9,3.9093557815229305e-9,1.7989682372344734e-8,4.2912115033249374e-10,2.931209187536817e-9,5.768481309719725e-9,2.0787349045924156e-8,4.580508337891308e-10,2.6623642528038706e-9,5.742206873330742e-9,1.6563700897883835e-8,4.00726693241225e-10,3.3205130259091024e-9,3.1695172129221886e-9,5.110803383078357e-9,1.8452127115553693e-8,5.326701482496906e-10,3.730838197915139e-9,2.6615806328243732e-6
