resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value,start_MWh,end_MWh
BASN_batteries_1,BASN,Battery,SWITCH,2027,base_short_tx_100,MW,935.8,935.8,2195.6,2195.6
BASN_biomass_1,BASN,Other,SWITCH,2027,base_short_tx_100,MW,8.0892,8.0892,0.0,0.0
BASN_biomass_2,BASN,Other,SWITCH,2027,base_short_tx_100,MW,20.544,20.544,0.0,0.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2027,base_short_tx_100,MW,2489.6,2489.6,0.0,0.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2027,base_short_tx_100,MW,1178.2,1178.2,0.0,0.0
BASN_conventional_steam_coal_2,BASN,Coal,SWITCH,2027,base_short_tx_100,MW,1822.0,1822.0,0.0,0.0
BASN_distributed_generation_1,BASN,Distributed Solar,SWITCH,2027,base_short_tx_100,MW,1193.0,1193.0,0.0,0.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2027,base_short_tx_100,MW,461.9395,461.9395,0.0,0.0
BASN_landbasedwind_class3_moderate_0_anyQual_0,BASN,Wind,SWITCH,2027,base_short_tx_100,MW,0.0,6902.96,0.0,0.0
BASN_landbasedwind_class3_moderate_1_anyQual_1,BASN,Wind,SWITCH,2027,base_short_tx_100,MW,0.0,8168.11,0.0,0.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2027,base_short_tx_100,MW,1508.3,1508.3,0.0,0.0
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2027,base_short_tx_100,MW,7294.0,7294.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2027,base_short_tx_100,MW,1946.8,1946.8,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_2,BASN,Natural Gas,SWITCH,2027,base_short_tx_100,MW,236.2,236.2,0.0,0.0
