Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,449197.43778750265,935.8,0.0
BASN_biomass_2,1,179961.59999999273,20.6,0.9999999999999596
BASN_conventional_hydroelectric_1,1,8.46634848954009e6,2489.6,0.3892726935231925
BASN_conventional_steam_coal_1,1,1.4576182702435164e6,1178.2,0.14161594654884208
BASN_conventional_steam_coal_2,1,3.7046950134919244e6,1822.0,0.23275095027326295
BASN_geothermal_1,1,4.034753683816311e6,462.4,0.9988184961029865
BASN_natural_gas_fired_combined_cycle_1,1,1.0392917217118202e6,1018.3,0.1168285802182492
BASN_natural_gas_fired_combined_cycle_2,1,3.820619378989799e7,7294.0,0.5995913927621339
BASN_natural_gas_fired_combustion_turbine_1,1,5339.351739069625,1946.8,0.00031394572147686294
BASN_natural_gas_fired_combustion_turbine_2,1,4775.788974135686,236.2,0.002314475617325297
BASN_natural_gas_internal_combustion_engine_1,1,13090.907140803269,221.4,0.006768298442976962
BASN_natural_gas_steam_turbine_1,1,3785.6236837825318,468.5,0.0009249435312465872
BASN_onshore_wind_turbine_1,1,3.9892708905296214e6,2030.1,0.2249383325440232
BASN_petroleum_liquids_1,1,415.6168688167238,25.8,0.0018439996522308286
BASN_small_hydroelectric_1,1,1.5122015999999626e6,173.1,0.9999999999999752
BASN_solar_photovoltaic_1,1,1.997128524860976e7,8006.2,0.2855399995493671
CANO_batteries_1,2,1.506734867005306e6,2650.6,0.0
CANO_biomass_1,2,1.3645632000000556e6,156.2,1.0000000000000409
CANO_biomass_2,2,624624.0,71.5,1.0
CANO_conventional_hydroelectric_1,2,1.905567820071271e7,7197.1,0.30307788488692367
CANO_hydroelectric_pumped_storage_1,2,432900.53926230856,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,776564.2264022874,3112.8,0.028557062831987924
CANO_natural_gas_fired_combined_cycle_2,2,5.110247367648022e7,8296.9,0.7050394886399413
CANO_natural_gas_fired_combustion_turbine_1,2,7533.110428611178,2248.7,0.0003834689361327356
CANO_natural_gas_fired_combustion_turbine_2,2,7456.072480735008,2426.8,0.0003516928260537686
CANO_natural_gas_internal_combustion_engine_1,2,25081.937853818734,444.4,0.006460623188130644
CANO_onshore_wind_turbine_1,2,2.4480124903972885e6,1442.0,0.19432816226170221
CANO_petroleum_liquids_1,2,622.9708522127056,177.3,0.00040220398223344157
CANO_small_hydroelectric_1,2,2.0075327999999295e6,229.8,0.9999999999999648
CANO_solar_photovoltaic_1,2,1.5350460345352247e7,6328.2,0.2776697583525813
CASO_batteries_1,3,7.753421760634634e6,8927.8,0.0
CASO_biomass_1,3,1.0247327999999595e6,117.3,0.9999999999999605
CASO_biomass_2,3,207916.80000000657,23.8,1.0000000000000318
CASO_conventional_hydroelectric_1,3,2.4254593111141506e6,973.3,0.28525590584472527
CASO_geothermal_1,3,205436.26631755658,23.6,0.9964430561904207
CASO_hydroelectric_pumped_storage_1,3,793662.3019603435,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,110987.54423618948,2104.9,0.006035734789730854
CASO_natural_gas_fired_combined_cycle_2,3,5.385607447744856e7,7481.6,0.8240007070926179
CASO_natural_gas_fired_combustion_turbine_1,3,8098.559755964822,1872.1,0.0004951834512571644
CASO_natural_gas_fired_combustion_turbine_2,3,9853.91146417846,4573.4,0.00024663621285722523
CASO_natural_gas_internal_combustion_engine_1,3,65002.3328521415,50.2,0.14822197668151
CASO_onshore_wind_turbine_1,3,1.2462441573458867e7,4055.5000000000005,0.35175971777176795
CASO_petroleum_liquids_1,3,445.54593480999927,14.1,0.0036171019309517256
CASO_small_hydroelectric_1,3,593174.3999999756,67.9,0.9999999999999588
CASO_solar_photovoltaic_1,3,3.1602404817783564e7,13797.3,0.2621883552562499
FRCC_batteries_1,4,174200.86926486867,555.2,0.0
FRCC_biomass_1,4,734697.6000000294,84.1,1.0000000000000402
FRCC_biomass_2,4,996777.6000000351,114.1,1.0000000000000353
FRCC_conventional_hydroelectric_1,4,116617.3738579734,43.5,0.3068749048934082
FRCC_conventional_steam_coal_1,4,1.0338194652136461e6,3135.0,0.037748051116049376
FRCC_conventional_steam_coal_2,4,3645.8116245698748,442.0,0.0009441898568595013
FRCC_natural_gas_fired_combined_cycle_1,4,1.9411527859262046e8,31114.2,0.7141483797286943
FRCC_natural_gas_fired_combined_cycle_2,4,4.20197256362753e6,2698.7,0.17823212209129088
FRCC_natural_gas_fired_combustion_turbine_1,4,77280.17399595426,7864.4,0.0011248377197590604
FRCC_natural_gas_fired_combustion_turbine_2,4,3772.9862298780654,1068.9,0.00040405037832426247
FRCC_natural_gas_internal_combustion_engine_1,4,194313.32563479658,250.9,0.08865215518765986
FRCC_natural_gas_steam_turbine_1,4,5071.717075150176,746.0,0.0007782221105895325
FRCC_nuclear_1,4,3.2644498315782707e7,3737.0,0.9999407688957467
FRCC_petroleum_liquids_1,4,634.8331512212771,455.6,0.0001595009436951065
FRCC_solar_photovoltaic_1,4,1.8572221024980284e7,9458.5,0.224765137325608
ISNE_batteries_1,5,172343.47235123737,368.3,0.0
ISNE_biomass_1,5,528528.0,60.5,1.0
ISNE_biomass_2,5,1.153152e6,132.0,1.0
ISNE_conventional_hydroelectric_1,5,3.4169460326019865e6,875.9,0.44655089885071464
ISNE_conventional_steam_coal_2,5,2.8217004426922905e6,330.0,0.9787783198372082
ISNE_hydroelectric_pumped_storage_1,5,1.0312961137525222e6,1830.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,2.5393523698172984e6,3370.8,0.08623376713519228
ISNE_natural_gas_fired_combined_cycle_2,5,5.8459839478626974e7,10513.3,0.6365110328964763
