model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,BASN_to_CANO,2027,full-base-200,MW,100,100
USENSYS,BASN_to_CASO,2027,full-base-200,MW,5920,5920
USENSYS,BASN_to_NWPP,2027,full-base-200,MW,3350,3350
USENSYS,BASN_to_RMRG,2027,full-base-200,MW,3750,3750
USENSYS,BASN_to_SRSG,2027,full-base-200,MW,5385,5385
USENSYS,CANO_to_CASO,2027,full-base-200,MW,3675,3675
USENSYS,CANO_to_NWPP,2027,full-base-200,MW,3675,3675
USENSYS,CASO_to_NWPP,2027,full-base-200,MW,2858,2858
USENSYS,CASO_to_SRSG,2027,full-base-200,MW,4354,4354
USENSYS,FRCC_to_SRSE,2027,full-base-200,MW,3600,3600
USENSYS,ISNE_to_NYCW,2027,full-base-200,MW,760,914
USENSYS,ISNE_to_NYUP,2027,full-base-200,MW,1400,1400
USENSYS,MISC_to_MISS,2027,full-base-200,MW,1039,1039
USENSYS,MISC_to_MISW,2027,full-base-200,MW,1655,1655
USENSYS,MISC_to_PJMC,2027,full-base-200,MW,5244,5244
USENSYS,MISC_to_PJMW,2027,full-base-200,MW,5441,5441
USENSYS,MISC_to_SPPC,2027,full-base-200,MW,1430,1430
USENSYS,MISC_to_SPPS,2027,full-base-200,MW,1172,1172
USENSYS,MISC_to_SRCE,2027,full-base-200,MW,3745,3745
USENSYS,MISE_to_PJMW,2027,full-base-200,MW,2662,2662
USENSYS,MISS_to_SPPS,2027,full-base-200,MW,1697,1697
USENSYS,MISS_to_SRCE,2027,full-base-200,MW,4092,4092
USENSYS,MISS_to_SRSE,2027,full-base-200,MW,891,891
USENSYS,MISW_to_NWPP,2027,full-base-200,MW,200,200
USENSYS,MISW_to_PJMC,2027,full-base-200,MW,3200,3200
USENSYS,MISW_to_SPPN,2027,full-base-200,MW,5512,5512
USENSYS,NWPP_to_RMRG,2027,full-base-200,MW,400,400
USENSYS,NYCW_to_NYUP,2027,full-base-200,MW,2489,2489
USENSYS,NYCW_to_PJME,2027,full-base-200,MW,660,5398
USENSYS,NYUP_to_PJME,2027,full-base-200,MW,1255,1255
USENSYS,PJMC_to_PJMW,2027,full-base-200,MW,980,980
USENSYS,PJMD_to_PJME,2027,full-base-200,MW,1200,1200
USENSYS,PJMD_to_PJMW,2027,full-base-200,MW,6930,6930
USENSYS,PJMD_to_SRCA,2027,full-base-200,MW,1000,1000
USENSYS,PJME_to_PJMW,2027,full-base-200,MW,3885,3885
USENSYS,PJMW_to_SRCA,2027,full-base-200,MW,1219,1219
USENSYS,PJMW_to_SRCE,2027,full-base-200,MW,3333,3333
USENSYS,RMRG_to_SPPC,2027,full-base-200,MW,210,210
USENSYS,RMRG_to_SPPN,2027,full-base-200,MW,410,1878
USENSYS,RMRG_to_SRSG,2027,full-base-200,MW,614,614
USENSYS,SPPC_to_SPPN,2027,full-base-200,MW,1433,3024
